username,year,tweet_count
0alwaysdreamer0,2021.0,1
0alwaysdreamer0,2025.0,110
0alwaysdreamer0,2026.0,20
0mfahzf4tebztdl,2022.0,1
0mfahzf4tebztdl,2023.0,3
0mfahzf4tebztdl,2024.0,1
0mfahzf4tebztdl,2025.0,3
0mfahzf4tebztdl,2026.0,1
0qcgdh3bdamfozf,2024.0,77
0qcgdh3bdamfozf,2025.0,27
105_sakariyou,2021.0,68
105_sakariyou,2022.0,12
1364ghazal62816,2023.0,1
13virginiawoolf,2025.0,1
13virginiawoolf,2026.0,118
1pezeshk_plus,2016.0,2
1wqrz,2023.0,53
1wqrz,2024.0,30
1wqrz,2025.0,11
2017siyasi,2024.0,2
2017siyasi,2025.0,94
2017siyasi,2026.0,21
20lincoln20,2022.0,43
20lincoln20,2023.0,57
20lincoln20,2024.0,13
20rapcom,2025.0,109
20rapcom,2026.0,5
2_rebelgirl,2025.0,29
2_rebelgirl,2026.0,30
2bender,2020.0,1
2bender,2022.0,67
2bender,2023.0,51
2ndravanparish,2020.0,1
2ndravanparish,2026.0,79
2x0x2x4,2024.0,3
2x0x2x4,2025.0,83
34gwr77liku4hw8,2021.0,3
35anj,2019.0,1
35anj,2020.0,3
35anj,2021.0,23
35anj,2022.0,40
35anj,2023.0,9
35anj,2024.0,6
35anj,2025.0,8
35anj,2026.0,6
3eyedamir,2024.0,1
3eyedamir,2026.0,57
3tareee,2026.0,58
404arsynotfound,2025.0,49
404arsynotfound,2026.0,4
4freedom4iran,2015.0,1
4freedom4iran,2026.0,113
4freedominiran,2026.0,94
5ogand,2026.0,103
5y6aahcdftzn4me,2020.0,4
5y6aahcdftzn4me,2021.0,70
5y6aahcdftzn4me,2022.0,3
61pari93357,2018.0,1
61pari93357,2025.0,61
61pari93357,2026.0,17
9tantiope,2020.0,56
9tantiope,2021.0,38
9tantiope,2022.0,10
9tantiope,2023.0,5
9tantiope,2024.0,16
___mohsen_,2012.0,1
___mohsen_,2024.0,3
___mohsen_,2025.0,3
___mohsen_,2026.0,112
__injaneb96,2023.0,1
__injaneb96,2026.0,90
_aespect,2025.0,1
_aespect,2026.0,114
_ali_najjar_,2026.0,117
_aliemili_,2022.0,1
_aliemili_,2025.0,162
_aliemili_,2026.0,26
_angry_n___,2026.0,120
_fatemeramezani,2022.0,20
_fatemeramezani,2023.0,88
_h_o_o_r_,2024.0,3
_h_o_o_r_,2025.0,63
_h_o_o_r_,2026.0,9
_ipesarekhob,2024.0,191
_ipesarekhob,2025.0,107
_iweni,2022.0,7
_iweni,2023.0,1
_iweni,2024.0,51
_iweni,2025.0,2
_iweni,2026.0,1
_iwftw,2025.0,83
_iwftw,2026.0,2
_mahdiyar313,2026.0,54
_mehrabooon,2021.0,156
_mehrabooon,2022.0,20
_thejimbo_,2017.0,1
_thejimbo_,2018.0,96
_theleftover,2021.0,1
_theleftover,2023.0,1
_theleftover,2024.0,1
_theleftover,2026.0,128
_ya_karim_,2025.0,94
_ya_karim_,2026.0,67
a_01_2024,2024.0,1
a_01_2024,2025.0,66
a_01_2024,2026.0,17
a_abothman,2026.0,55
a_f_cebeci,2026.0,100
a_rnazari,2025.0,2
a_rnazari,2026.0,62
a_z_im,2024.0,2
a_z_im,2025.0,5
a_z_im,2026.0,107
aa1915898,2025.0,4
aa51_ansari,2023.0,1
aa51_ansari,2024.0,8
