tweet_id,created_at,text,likes,retweets,replies
2000214245628104884,Sun Dec 14 14:40:12 +0000 2025,"خواندن لولیتا هنوز ریسکی است!
نقد و بررسی فیلم و کتاب «لولیتاخوانی در تهران»
نوشته عبدی کلانتری
-
نام‌نویسی در «ایران درفت» رایگان اما بهترین شیوه حمایت از این پایگاه و تداوم آن خرید اشتراک ماهانه یا سالانه است.
https://t.co/ZqrGy6OKn1 https://t.co/UX7olLNn0B",15,1,2
1999203610039574985,Thu Dec 11 19:44:18 +0000 2025,"در طول مناظره فقط دو بار سریع به طرف مقابل که زن است نگاه می‌اندازد، با انزجار. حرف‌هاش که هیچ، تمام زبان بدنش نشان از موجودی است که یک عمر خودارضایی کرده به شدت از زنان متنفر است. سیمای روانی کسانی که با انقلاب به قدرت رسیدند و نیم قرن بر ما حکومت کردند.
https://t.co/vccffCMTUt",33,2,0
1986817151538258240,Fri Nov 07 15:24:56 +0000 2025,"محور کارزار انتخاباتی زُهران ممدانی که پیروزیِ او را باعث شد طرح‌های بی‌سابقه‌اش برای «بحران مسکن» و «بحران مهد کودک» در نیویورک بود، دو مشکل اصلیِ زندگی و سکونت در این شهر. تنها کلید فهم پیروزی ممدانی در انتخابات شهردار این کلان‌شهر را تشریح کرده‌ایم.
https://t.co/Qxk5OJKSYm",19,1,0
1984971640833269965,Sun Nov 02 13:11:32 +0000 2025,"کتاب جدید حمید دباشی «پس از بربریت: غزه، نسل‌کشی، و توهم تمدن غربی» منتشر شد. سیاوش شهابی نقدی عالی نوشته و ضمن همدلی، دریافت دباشی از «تمدن غرب» را به چالش کشیده. عضویت در «ایران‌درفت» رایگان اما خرید اشتراک ضامن تداومش است.
https://t.co/5tR2QYK2Io",27,1,1
1982410402677055864,Sun Oct 26 11:34:06 +0000 2025,"ملودرام انتخابات شهردار نیویورک
یک یادداشت شخصی از عبدی کلانتری👇👇
https://t.co/gMmNfZ7yUT https://t.co/qhn63tELaT",11,3,1
1981598542020874297,Fri Oct 24 05:48:03 +0000 2025,"جنجالی‌ترین بانک خصوصی ایران دو روز پیش منحل شد.  ۹۰ درصد تسهیلات «بانک آینده» به وابستگان خود و پروژه‌هایی مثل ایران‌مال و مشهد‌مال اختصاص یافته بود. وام‌ها هرگز بازپرداخت نشد. 

ماجرای یک فساد ساختاری
نوشته عبدی کلانتری
https://t.co/Pc4n9jLpQQ",23,0,0
1977756403449147864,Mon Oct 13 15:20:46 +0000 2025,"در تهران اگر زندگی می‌کنید، چه توصیفی از زندگی و معیشت در این کلانشهر گویای احوال شماست؟ ناظری که هزاران فرسنگ دورتر از مرزهاست چه تصوری از زندگیِ این روزهای تهران دارد؟

گذار از تونل: زندگی و اقتصاد در تهران
نوشته عبدی کلانتری
-
https://t.co/b9OMuvQo0h",22,4,1
1962531450122633485,Mon Sep 01 15:02:14 +0000 2025,"نظر اکثریت کارشناسان نسل‌کُشی
هاآرتص به نقل از رویترز، دوشنبه ۱ اوت ۲۰۲۵ – «انجمن بین‌المللی کارشناسان نسل‌کشی» متشکل از برجسته ترین محققان نسل‌کُشی در جهان قطعنامه ای را تصویب کرد که می‌گوید معیارهای قانونی برای اثبات اینکه اسرائیل در غزه مرتکب نسل‌کشی می‌شود برآورده شده است.👇",164,20,2
1962514486650114110,Mon Sep 01 13:54:50 +0000 2025,"گذشته نه تنها در کتاب‌های درسی یا آرشیوهای رسمی که در سریال‌های تلویزیونی، روزنامه‌ها و رسانه‌های اپوزیسیون نیز بازسازی می‌شود؛ و همین گذشته می‌تواند مسیر آینده را تعیین کند. سریال «تاسیان» تازه‌ترین نمونه از این میدان جنگ حافظه است.
https://t.co/7gkZKu41V3",35,1,1
1957592383425495248,Mon Aug 18 23:56:09 +0000 2025,"بن‌بست کنونی سیاست

چه قدم‌هایی در سیاست داخلی باید برداشته شود تا ما به ورطه‌ی تهاجم نظامی از خارج، کودتا، جنگ داخلی، و فروپاشی اقتصادی و زیست‌محیطی درنغلطیم؟

عبدی کلانتری

https://t.co/ZLQsWYZ4oc",8,1,1
1953076707348357555,Wed Aug 06 12:52:28 +0000 2025,"ثبت نام رایگان در «ایران‌درفت»
چرا «اعتدال‌گرایان» خوشحالند؟
عبدی کلانتری
پس از جنگ، ضرورت تغییر «پارادایم حکمرانی» را عَلَم کرده‌اند. پارادایمی که باید تغییر کند اسلاموفاشیسم محور مقاومت است، اما شروع تغییر با پذیرش سبک زندگی طبقات متوسط نشاندار می‌شود.
https://t.co/AK3LpLPJRQ",11,1,0
1951308248906158448,Fri Aug 01 15:45:14 +0000 2025,"پس از ماهها تدارک، «ایران‌درَفت» پایگاهی جدید در تحلیل خبر و اندیشه‌ورزی، می‌خواهد مستقل باشد  بدون وابستگی به فاندها و بودجه‌های دولتی و لابی‌ها. اشتراک فعلاً رایگان، به زودی دسترسی کامل به همه‌ی مطالب فقط با اشتراک پولی (خیلی اندک) میسر خواهد بود.
https://t.co/EeI2M7UEof",27,5,4
