tweet_id,created_at,text,likes,retweets,replies
2005321229667025233,Sun Dec 28 16:53:32 +0000 2025,"العمل من أجل الشعب لايحتاج الى ضجيجاً ،
يحتاج إخلاصاً ، تخطيطاً ، وهدوءاً  في القرار .",28,1,3
2002360772119163256,Sat Dec 20 12:49:44 +0000 2025,"في الأوقات الحساسة، لا تكون الحكمة في رفع الصوت ،
بل في خفض حدّة الخلاف وتقديم #مصلحة_الدولة على كل اعتبار .",24,1,5
2000862938479878492,Tue Dec 16 09:37:53 +0000 2025,"ليس المهم من ينتصر في الجدل السياسي،
المهم أن ينتصر #العراق على أزماته المتراكمة .",34,2,10
1999020896816914630,Thu Dec 11 07:38:16 +0000 2025,"عن الرسول الأعظم (ص) :
"" مَنْ زَارَ قَبْرِي بَعْدَ مَوْتِي كَانَ كَمَنْ هَاجَرَ إِلَيَّ فِي حَيَاتِي، فَإِنْ لَمْ تَسْتَطِيعُوا فَابْعَثُوا إِلَيَّ بِالسَّلَامِ، فَإِنَّهُ يَبْلُغُنِي..""

#صبحكم الله بالخير",20,2,2
1993963674843685062,Thu Nov 27 08:42:40 +0000 2025,"روي عن رسول الله ( صلى الله عليه وآله وسلم ) : 
فاطمة بهجة قلبي ، وابناها ثمرة فؤادي ، وبعلها نور بصري ، والأئمة من ولدها امناء ربي وحبل ممدود بينه وبين خلقه ، من اعتصم بهم نجا ، ومن تخلف عنهم هوى . https://t.co/hkKVYwjdyE",34,3,3
1992964623922762048,Mon Nov 24 14:32:48 +0000 2025,https://t.co/Y1LcF0AAbL,45,6,5
1992714388281721311,Sun Nov 23 21:58:27 +0000 2025,"رؤية مقترحة للإصلاح
دراسة عن الوضع المائي في العراق
 
مقدمة
يواجه العراق، بوصفه دولة مصب نهري دجلة والفرات، أزمة مائية مركبة تُعدّ من أخطر التحديات الوطنية التي تهدد الأمن الاقتصادي والاجتماعي والصحي.
هذه الأزمة ناتجة عن تضافر عوامل إقليمية (تقليص الإطلاقات المائية من دول المنبع) https://t.co/WSgZrUtQr8",30,2,8
1991849543776797117,Fri Nov 21 12:41:52 +0000 2025,"ثِقَلُ الديون وتراكمُها لم يعد ملفا يمكن تأجيله… بل جرس إنذار يفرض علاجا شجاعا يعيد هيكلة الإنفاق، ويُنعش الاقتصاد، ويمنح الدولة قدرة حقيقية على النهوض واستمرار التنمية.
رؤيتنا واضحة: الإصلاح المالي يبدأ من ضبط الهدر، وتنويع الموارد، واستعادة ثقة المواطن بأن المال العام أمانة لا",71,6,21
1991770832075657330,Fri Nov 21 07:29:06 +0000 2025,"عن #أمير_المؤمنين (ع):
"" ذِكْرُنَا أَهْلَ الْبَيْتِ شِفَاءٌ مِنَ الْوَعْكِ وَ الْأَسْقَامِ وَ وَسْوَاسِ الرَّيْبِ وَ حُبُّنَا رِضَى الرَّبِّ تَبَارَكَ وَ تَعَالَى..""

#جمعتكم_عافية_وأمان",54,3,8
1991507853421494733,Thu Nov 20 14:04:07 +0000 2025,"هنالك خطوات كثيرة يمكن للحكومة القادمة أن تعتمدها للخروج من الأزمة المالية الحالية، وتعزيز إيراداتها بشكل مدروس ومسؤول، من دون اللجوء إلى رفع سعر صرف الدولار، حفاظا على المواطنين وتجنيبهم المزيد من الضغوطات المعيشية.

إن مواجهة التحديات الاقتصادية لا تتطلب قرارات مؤلمة بقدر ما",78,6,23
1989662539077058605,Sat Nov 15 11:51:30 +0000 2025,"أتقدّم بخالص #التهاني_والتبريكات
إلى الإخوة الأعزاء:
الدكتور علي حاتم الحسن
والأخ العزيز مصطفى سند 
والدكتور علي صابر الكناني 
والأخ أحمد شهيد

بمناسبة نيلهم #ثقة_أبناء_شعبنا. 
متمنّيًا لهم دوام التوفيق والسداد
في خدمة العراق وأهله. 
وأن يجعل مسيرة العمل النيابي صفحةً مشرّفة في https://t.co/WkT4U8DYww",196,12,30
1988856261962567970,Thu Nov 13 06:27:38 +0000 2025,اللَّهُم صَلِّ عَلَى #مُحَمَّدٍ_وآلِ_مُحَمَّدٍ وعَجِّل فَرَجَهُمْ وسَهِّلْ مَخْرَجَهُمْ والعَنْ أعْدَاءَهم .,155,7,23
1988708388725788768,Wed Nov 12 20:40:02 +0000 2025,"الحمد لله على كل حال،

أشكر من القلب كل من منحني ثقته وصوته، فقد نلت قرابة ٦٢٠٠ صوت من أبناء هذا الشعب الكريم حسب الإحصاءات الأولية ، وهي بالنسبة لي وسام فخر واعتزاز، وأمانة سأحملها في خدمة الناس أينما كنت.

الانتخابات كانت محطة ديمقراطية مهمة، شهدت مشاركة جماهيرية واسعة تعبّر عن",174,4,28
