tweet_id,created_at,text,likes,retweets,replies
1961413769302872375,Fri Aug 29 13:00:58 +0000 2025,"#ایران روزهاى سرنوشت‌سازی را می‌گذراند.آینده ایران و‌ مردم به فرصت‌شناسی و تدبیر حکومت و دولت گره خورده‌است.
#جامعه‌_مدنی در این فرایند فرصت عاملیت و نقش فعال ندارد و بانگرانی و بی‌اطلاع از آنچه در ذهن‌ها و پس‌پرده می‌گذرد فقط نظاره‌گر سرنوشتی‌ست که برای مردم و ايران رقم می‌خورد.",20,0,12
1706468313142862172,Tue Sep 26 00:38:45 +0000 2023,۱۳سال تداوم حصر نمونه بارزی از #جنگ_اراده‌ها است. دراین مصاف یک طرف تصمیم‌گیرنده است و #حیثیت می‌بازد و طرف دیگر مقاومت می‌کند و #عمر_و_جان می‌بازد. شروع را اراده تصمیم‌گیرنده رقم زده است اما سرنوشت آن را اراده مقاومت مشخص می‌کند. مرگ بدترین پایان است. پیش از آن باید تصمیم گرفت.,213,21,41
1697226183270662528,Thu Aug 31 12:33:49 +0000 2023,"RT @jafarian1964: در دویست سال دوره صفوی، در نجوم و کائنات الجو و فالنامه نویسی و تعبیر خواب و طب سنتی، شبه علم تولید کردیم.
همان وقتی که غ…",0,100,0
1682212386474717185,Fri Jul 21 02:14:21 +0000 2023,"رویکرد مردم به انتخابات دو سطح دارد. ابتدا تصمیم می‌گیرند در آن شرکت کنند یا نه، و در صورت تصمیم به شرکت، دست به انتخاب می‌زنند.
حاکمیت می‌گوید #میزان_مشارکت موضوعی امنیتی است و ربطی به معنادار بودن انتخابات ندارد.
آنچه ما می‌گويیم صرفا #برآورد_رویکرد_مردم است، نه توصیه و تحذیر.",54,5,19
1668525761911717891,Tue Jun 13 07:48:36 +0000 2023,"تشکیل #شورا‌یعالی_هماهنگی_سران_قوا با اختیارات فراقانونی و انتصاب دبیر برای آن نشان‌دهنده ادامه روند ناپسند دور زدن قانون اساسی در کشور است.
امام فرمودند: همه باید به قانون برگردیم!
مطالبه مشترک معترضان، اصلاح این شیوه حکمرانی و تمکین به رأی و اراده مردم است. 
#میزان_رأی_ملت_است",122,18,28
1653582540735643648,Wed May 03 02:09:34 +0000 2023,"«دادستان تهران: در روزهای اخیر کتایون ریاحی،پانته‌آ بهرام، افسانه بایگان، فاطمه معتمدآریا و رضاکیانیان احضارشدند*
برخی‌ازچهره‌های احضارشده تاکنون به مقام قضایی مراجعه نکرده‌اند و درصورتی‌که درمهلت قانونی به دادسرا نروند جلب خواهندشد»
احسنت به این همه عدالت و اقتدار دستگاه قضا!!!",129,7,18
1647821065605767169,Mon Apr 17 04:35:31 +0000 2023,"#فرهنگ_و_اخلاق زیربنای یک جامعه سالم‌ و بالنده است.
اگر #رهبری_نظام توجه خود را به #موضوعات_مورد_اجماع فرهنگی و اخلاقی معطوف و همت خود را صرف ترویج آن نمایند برخلاف اجبار در مواردی ‌که محل اختلاف صاحب‌نظران بوده و با عدم همراهی جامعه مواجه است، مفید و تأثیر آن ماندگار خواهد بود.",38,3,10
1640592417928691712,Tue Mar 28 05:51:27 +0000 2023,"جناب آقای #مهندس_میرحسین_موسوی 
درگذشت برادر ارجمندتان مرحوم میرعبدالله را به شما که در عسرت حصر ظالمانه سیزده‌ساله دچار این مصیبت و اندوه شده‌اید تسلیت می‌گویم. صبر و استقامت شما فراتر از این مصیبت‌هاست. مزید آن را از رب کریم مسالت دارم.
جایگاه آن مرحوم جوار دوست و خلد برین باد.",206,16,15
1634230259288555543,Fri Mar 10 16:30:31 +0000 2023,"#دکتر_رضا_یوسفیان از اندوه‌سرای این سامان رفت و در جوار معبود مهربان آرام گرفت.
آزاده قهرمان جنگ تحمیلی، نماینده سرافراز مجلس ششم از شیراز، فعال جنبش دانشجویی، عضو جبهه مشارکت و سپس حزب اتحادملت، پزشک و انسانی شریف، از نیکان روزگار!
تسلیت به خانواده‌، دوستانش و ملت شریف ایران https://t.co/KLm4bUe3rP",152,9,13
1626129173243744256,Thu Feb 16 07:59:41 +0000 2023,"تحلیل #یرواند_آبرامیان، تحلیگر برجسته تاریخ، که کلیپ آن به‌تازگی منتشر شده‌است، بسیار واقع‌بینانه است.
به همگان از جمله مقامات عالیه کشور توصیه می‌کنم به آن توجه کنند.
#واقعیت_را_نمی‌شود_دیکته_کرد
باید آن را به درستی دریافت و براساس آن تحلیل و عمل کرد!

https://t.co/LeKDEflqL2",286,53,27
