tweet_id,created_at,text,likes,retweets,replies
1998296845433630770,Tue Dec 09 07:41:09 +0000 2025,"RT @baziyaPodcast: چهره‌ی خوب، بد، زشت دولت‌ها با دکتر محمد یاوری.
اگه برای شما هم سواله که چه افرادی دولت‌ها رو کنترل می‌کنن و تو پشت پرده…",0,2,0
1998296808930558387,Tue Dec 09 07:41:00 +0000 2025,RT @havas_paart: میشه ساعت‌های زیاد این راه رفتن فلامینگو‌های میانکاله رو دید و لذت برد از این شکوهی که دارن... https://t.co/89ctgNt6xq,0,11,0
1998296651753230372,Tue Dec 09 07:40:22 +0000 2025,RT @hesamism: اینو تو شمال دیدیم عالی بود:))) https://t.co/vpP5QyQB1X,0,47,0
1998295870656200994,Tue Dec 09 07:37:16 +0000 2025,پیر شدن اینجوریه که دیگه کنسل شدن برنامه‌های بیرون ضد حال نیست، پیش خودت میگی ایول، بشینم خونه سریالمو تماشا کنم.,690,15,170
1995580335036494227,Mon Dec 01 19:46:42 +0000 2025,شکر که خدا به فکر بود و یه بارون اومد، وگرنه به اینا بود که تا آخر سال همه باید ریه پیوند می‌زدیم.,497,8,462
1994321535041945987,Fri Nov 28 08:24:41 +0000 2025,"RT @baziyaPodcast: آخرین باری که همه‌چی آروم بود کِی بود؟
حمید طالب‌زاده یحتمل جوابش رو بدونه. https://t.co/nSIyeJKojq",0,3,0
1994082672310632571,Thu Nov 27 16:35:32 +0000 2025,RT @s_saffarianpour: حیف حیف,0,3,0
1993263643836719353,Tue Nov 25 10:21:00 +0000 2025,مثل خیلی از چیزها، بلک‌فرایدی واقعی هم تفسیر‌های زیادی تو این کشور داره که هیچکدوم واقعی نیستن.,136,2,27
1993263209831075902,Tue Nov 25 10:19:16 +0000 2025,فرهاد آییش واقعا دلنشین صحبت می‌کرد.,399,2,36
1992996312174747931,Mon Nov 24 16:38:43 +0000 2025,RT @baziyaPodcast: از عناصر چهارگانه، آب و خاک و هوا رو نداریم دیگه. یه آتش برامون مونده که اونم شده بلای جونمون.,0,3,0
1991930647586431188,Fri Nov 21 18:04:09 +0000 2025,"RT @KavehMadani: ما میراثی طبیعی را از دست می‌دهیم که از تمدن ایرانی کهن‌تر است.

#الیت",0,1059,0
1991884674864759084,Fri Nov 21 15:01:28 +0000 2025,"RT @rezasaki: هیرکانی نیازمند اقدامی ملی است
https://t.co/ZtWoXHRaJf https://t.co/zKdayNsVQX",0,907,0
1991559815701885238,Thu Nov 20 17:30:36 +0000 2025,RT @baziyaPodcast: غم‌انگیزترین حالت تهران و فیلم و سیگار و خواب و بی‌پولی... داستانی آشنا از زبون امیر عظیمی. https://t.co/kWWG62C9fI,0,1,0
1990530131849605356,Mon Nov 17 21:19:00 +0000 2025,RT @baziyaPodcast: سندی می‌گه زنم برزیلیه و به معنای واقعی کلمه آبادان و برزیل رو پیوند زدم به هم :)))) آدم کنار سندی پیر نمی‌شه واقعا. از…,0,1,0
1990462748187414984,Mon Nov 17 16:51:14 +0000 2025,عاشقانه‌های آبادان تا برزیل با شهرام آذر🔥  https://t.co/IT4zo2fSt0,210,7,81
1990408785119035616,Mon Nov 17 13:16:49 +0000 2025,🧢🌊🪘,59,0,8
1989028518244524361,Thu Nov 13 17:52:07 +0000 2025,"RT @baziyaPodcast: با این وضعیت بحران آب کشور و تهران، اینطور که کاوه مدنی پیش‌بینی می‌کنه، به احتمال زیاد همه‌مون تا عید رفتنی‌ایم.
به امی…",0,14,0
1986693776904232984,Fri Nov 07 07:14:42 +0000 2025,"RT @baziyaPodcast: مهران احمدی اسلحه به دست منتظر نشسته. این قسمت رو از دست ندید.

https://t.co/9IQjyFbWDl https://t.co/qo8LQ8gcPF",0,1,0
1983483140372132345,Wed Oct 29 10:36:46 +0000 2025,وضعیت دمای هوا همینجوری پیش بره مجبوریم هودی و لباس‌های گرممون رو زیر کولر بپوشیم، یادمون نره لباس‌های پاییزی چطوری بودن.,211,3,47
1982872956855590931,Mon Oct 27 18:12:07 +0000 2025,RT @baziyaPodcast: با علی زند وکیل یه برنامه ساختیم، چیزی نمی‌گم، فقط ببینید و عشق کنید. (پیانو آورده بودیم کلی آهنگ‌های خاطره‌انگیز خوند ب…,0,1,0
