username,success,tweet_count,error
aboutmes7,True,0,Already completed
afsharmog,True,0,Already completed
ala_tre6,True,0,Already completed
aidin_og,True,0,Already completed
ali_cheshomi,True,0,Already completed
aliahmadolfati,True,0,Already completed
7continentnewss,True,0,Already completed
activistrafiey,True,0,Already completed
aahassas,True,0,Already completed
adelirani04833,False,0,Account doesn't exist or is suspended
ajdemarang,True,0,Already completed
0alwaysdreamer0,True,0,Already completed
1364ghazal62816,True,0,Already completed
alikalaei62,True,0,Already completed
_iwftw,True,0,Already completed
2_rebelgirl,True,0,Already completed
ahwaztammoz2021,True,0,Already completed
aalbahrayn5356,True,0,Already completed
ahsana30012,True,0,Already completed
al_bayynat,False,0,Account doesn't exist or is suspended
abttaniq,True,84,
al_ardwi,True,72,
ahmedalharbi0_,True,110,
_freeeagle_,True,0,No tweets in date range
almodarresisays,True,72,
61pari93357,True,79,
afzalieli,True,0,No tweets in date range
abas_asgharpour,True,59,
ali_albadiri90,True,0,No tweets in date range
afsamaryam96589,True,0,No tweets in date range
abbasi_j_5,True,55,
abarsaber,True,0,No tweets in date range
aliebrahimzade_,True,87,
ahmedabdal94,True,1,
aidanajra,True,67,
2ndravanparish,True,80,
abbasiniho,True,78,
abmolana,True,0,No tweets in date range
ageofpahlavi,True,51,
adorno_persian,True,44,
ahlebeytmedia,True,62,
abtinhoveyda,True,0,No tweets in date range
alivesali,True,99,
0mfahzf4tebztdl,True,9,
_iweni,True,62,
ahmadnaderi_ir,True,80,
_atefehshams_,True,0,No tweets in date range
21molana,True,0,No tweets in date range
1pezeshk_plus,True,2,
3tareee,True,58,
7khaiiam,True,0,No tweets in date range
alihars6,True,70,
_mohammad_1987_,True,0,No tweets in date range
aj_torgheh,True,0,No tweets in date range
alarabiya_fa,True,89,
ali_hedielou,True,68,
ali_damghani_84,True,7,
aghmamrez,True,126,
alimokhtari102,True,120,
3eyedamir,True,58,
ali_rajabi,True,76,
alibazdarian,True,11,
alavi2183,True,55,
ali_bitarafan5,True,59,
abehtarin,True,70,
alinazarij,True,7,
alirezasayeh,True,61,
alisakhravi80,True,0,No tweets in date range
alirezaroashan,True,0,No tweets in date range
1wqrz,True,94,
1366_t,True,0,No tweets in date range
al_bayynat2,False,0,Account doesn't exist or is suspended
alirezaami58678,True,59,
alireza84808379,True,63,
alireza4759,True,85,
aesmailnazhad,True,70,
adarehgharibi,True,32,
afintlarabic,True,53,
afcasiancup_ar,True,52,
ahmadalirezaei,True,55,
ahmadi_fae83290,True,33,
aa1915898,True,4,
aban_paris,True,55,
abasabolfathi43,True,0,No tweets in date range
77abolfazlhz,True,0,No tweets in date range
a_abothman,True,55,
alirezakiani2,True,69,
adfiranofficial,True,10,
afrasyabia,True,86,
a_rnazari,True,64,
abolie17386,True,54,
aliaalei,True,82,
_mahdiyar313,True,54,
alijafarifo,True,131,
aliiorgi,True,111,
alihoseini692,True,2,
alimoujani,True,72,
aliziyak,True,66,
