Name,Wikipedia_Link,wikidata_qid,wikidata_url
Nazem al-Atebba,https://en.wikipedia.org/wiki/Nazem_al-Atebba,Q5960936,https://www.wikidata.org/wiki/Q5960936
Ernest Cloquet,https://en.wikipedia.org/wiki/Ernest_Cloquet,Q26263339,https://www.wikidata.org/wiki/Q26263339
William Cormick,https://en.wikipedia.org/wiki/William_Cormick,Q26243169,https://www.wikidata.org/wiki/Q26243169
Abubakr Esfarayeni,https://en.wikipedia.org/wiki/Abubakr_Esfarayeni,Q4670514,https://www.wikidata.org/wiki/Q4670514
Hajji Baba Afshar,https://en.wikipedia.org/wiki/Hajji_Baba_Afshar,Q6414381,https://www.wikidata.org/wiki/Q6414381
Hakim Yazghel Haqnazar,https://en.wikipedia.org/wiki/Hakim_Yazghel_Haqnazar,Q108324930,https://www.wikidata.org/wiki/Q108324930
Ebrahim Hakimi,https://en.wikipedia.org/wiki/Ebrahim_Hakimi,Q722455,https://www.wikidata.org/wiki/Q722455
Jalal al-Din Muhammad al-Isfahani,https://en.wikipedia.org/wiki/Jalal_al-Din_Muhammad_al-Isfahani,Q16866457,https://www.wikidata.org/wiki/Q16866457
David Khan (diplomat),https://en.wikipedia.org/wiki/David_Khan_%28diplomat%29,,
Mirza Ali Khan La'li,https://en.wikipedia.org/wiki/Mirza_Ali_Khan_La%27li,,
Mirza Mahmud Khan Hakim ol-Molk,https://en.wikipedia.org/wiki/Mirza_Mahmud_Khan_Hakim_ol-Molk,Q11743864,https://www.wikidata.org/wiki/Q11743864
