Name,Wikipedia_Link
Neda Alijani,https://en.wikipedia.org/wiki/Neda_Alijani
Ahmad Reza Djalali,https://en.wikipedia.org/wiki/Ahmad_Reza_Djalali
Masoumeh Ebtekar,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar
Seyed Nasser Emadi,https://en.wikipedia.org/wiki/Seyed_Nasser_Emadi
Bahram Eynollahi,https://en.wikipedia.org/wiki/Bahram_Eynollahi
Omid Cameron Farokhzad,https://en.wikipedia.org/wiki/Omid_Cameron_Farokhzad
Morvarid Karimi,https://en.wikipedia.org/wiki/Morvarid_Karimi
Armen Kocharian,https://en.wikipedia.org/wiki/Armen_Kocharian
Maryam Lustberg,https://en.wikipedia.org/wiki/Maryam_Lustberg
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran
Mohammad Reza Mokhber Dezfouli,https://en.wikipedia.org/wiki/Mohammad_Reza_Mokhber_Dezfouli
Minoo Mohraz,https://en.wikipedia.org/wiki/Minoo_Mohraz
Azarakhsh Mokri,https://en.wikipedia.org/wiki/Azarakhsh_Mokri
Hassan Tarighat Monfared,https://en.wikipedia.org/wiki/Hassan_Tarighat_Monfared
Alireza Noori,https://en.wikipedia.org/wiki/Alireza_Noori
Andranik Ovassapian,https://en.wikipedia.org/wiki/Andranik_Ovassapian
Masoumeh Pashaei Bahram,https://en.wikipedia.org/wiki/Masoumeh_Pashaei_Bahram
Akram Pedramnia,https://en.wikipedia.org/wiki/Akram_Pedramnia
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian
Mohammadreza Sargolzaee,https://en.wikipedia.org/wiki/Mohammadreza_Sargolzaee
Abdoulreza Soudbakhsh,https://en.wikipedia.org/wiki/Abdoulreza_Soudbakhsh
Saba Valadkhan,https://en.wikipedia.org/wiki/Saba_Valadkhan
Parvaneh Vossough,https://en.wikipedia.org/wiki/Parvaneh_Vossough
Yazdan Yazdanpanah,https://en.wikipedia.org/wiki/Yazdan_Yazdanpanah
Aida Rostami,https://en.wikipedia.org/wiki/Aida_Rostami
Farzaneh Sharifi,https://en.wikipedia.org/wiki/Farzaneh_Sharifi
