Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Neda Alijani,https://en.wikipedia.org/wiki/Neda_Alijani,Q85164946,https://www.wikidata.org/wiki/Q85164946,female,infectious disease physician,,,1981-01-01T00:00:00Z
Ahmad Reza Djalali,https://en.wikipedia.org/wiki/Ahmad_Reza_Djalali,Q31066897,https://www.wikidata.org/wiki/Q31066897,male,physician; researcher,Iran; Sweden,Sarab,1971-01-14T00:00:00Z
Masoumeh Ebtekar,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar,Q738196,https://www.wikidata.org/wiki/Q738196,female,blogger; environmentalist; immunologist; journalist; politician; translator; writer,Iran,Tehran,1960-09-21T00:00:00Z
Seyed Nasser Emadi,https://en.wikipedia.org/wiki/Seyed_Nasser_Emadi,Q111182898,https://www.wikidata.org/wiki/Q111182898,male,,,,
Bahram Eynollahi,https://en.wikipedia.org/wiki/Bahram_Eynollahi,Q108394820,https://www.wikidata.org/wiki/Q108394820,male,ophthalmologist; politician,Iran,Sarab,1958-01-01T00:00:00Z
Omid Cameron Farokhzad,https://en.wikipedia.org/wiki/Omid_Cameron_Farokhzad,Q64009055,https://www.wikidata.org/wiki/Q64009055,male,scientist,,Tehran,1969-01-01T00:00:00Z
Morvarid Karimi,https://en.wikipedia.org/wiki/Morvarid_Karimi,Q39058309,https://www.wikidata.org/wiki/Q39058309,female,scientist,,Isfahan,1971-09-25T00:00:00Z
Armen Kocharian,https://en.wikipedia.org/wiki/Armen_Kocharian,Q26709668,https://www.wikidata.org/wiki/Q26709668,male,physician,,Tehran,1948-01-01T00:00:00Z
Maryam Lustberg,https://en.wikipedia.org/wiki/Maryam_Lustberg,Q92301825,https://www.wikidata.org/wiki/Q92301825,female,editor; physician,,,1975-01-01T00:00:00Z
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran,Q43249705,https://www.wikidata.org/wiki/Q43249705,female,cardiologist; researcher,,,2000-01-01T00:00:00Z
Mohammad Reza Mokhber Dezfouli,https://en.wikipedia.org/wiki/Mohammad_Reza_Mokhber_Dezfouli,Q5921465,https://www.wikidata.org/wiki/Q5921465,male,physician; politician,Iran,Dezful,1961-01-01T00:00:00Z
Minoo Mohraz,https://en.wikipedia.org/wiki/Minoo_Mohraz,Q5835086,https://www.wikidata.org/wiki/Q5835086,female,physician; researcher,Iran,Tehran,1946-01-19T00:00:00Z
Azarakhsh Mokri,https://en.wikipedia.org/wiki/Azarakhsh_Mokri,Q5946887,https://www.wikidata.org/wiki/Q5946887,male,physician; psychiatrist,Iran,,1968-01-01T00:00:00Z
Hassan Tarighat Monfared,https://en.wikipedia.org/wiki/Hassan_Tarighat_Monfared,Q5915596,https://www.wikidata.org/wiki/Q5915596,male,physician; politician,Iran,Tehran,1946-01-01T00:00:00Z
Alireza Noori,https://en.wikipedia.org/wiki/Alireza_Noori,Q4726891,https://www.wikidata.org/wiki/Q4726891,male,physician; politician; surgeon,Iran,Isfahan,1963-03-28T00:00:00Z
Andranik Ovassapian,https://en.wikipedia.org/wiki/Andranik_Ovassapian,Q30566335,https://www.wikidata.org/wiki/Q30566335,male,anaesthesiology,Iran; United States,Arak,1936-01-01T00:00:00Z
Masoumeh Pashaei Bahram,https://en.wikipedia.org/wiki/Masoumeh_Pashaei_Bahram,Q86653695,https://www.wikidata.org/wiki/Q86653695,female,politician,,,1981-01-01T00:00:00Z
Akram Pedramnia,https://en.wikipedia.org/wiki/Akram_Pedramnia,Q56367355,https://www.wikidata.org/wiki/Q56367355,female,literary critic; novelist; physician; poet; translator; writer,,Iran,1969-02-17T00:00:00Z
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian,Q5933752,https://www.wikidata.org/wiki/Q5933752,male,academic; cardiac surgeon; general practitioner; general surgeon; politician,Iran,Mahabad,1954-09-29T00:00:00Z
Mohammadreza Sargolzaee,https://en.wikipedia.org/wiki/Mohammadreza_Sargolzaee,Q65198460,https://www.wikidata.org/wiki/Q65198460,male,,,,
Abdoulreza Soudbakhsh,https://en.wikipedia.org/wiki/Abdoulreza_Soudbakhsh,Q4665188,https://www.wikidata.org/wiki/Q4665188,male,physician,Iran,Tabriz,1949-01-01T00:00:00Z
Saba Valadkhan,https://en.wikipedia.org/wiki/Saba_Valadkhan,Q4795299,https://www.wikidata.org/wiki/Q4795299,female,biologist; researcher; university teacher,Iran; United States,,
Parvaneh Vossough,https://en.wikipedia.org/wiki/Parvaneh_Vossough,Q16048346,https://www.wikidata.org/wiki/Q16048346,female,philanthropist; physician,Iran,,1936-02-01T00:00:00Z
Yazdan Yazdanpanah,https://en.wikipedia.org/wiki/Yazdan_Yazdanpanah,Q88536415,https://www.wikidata.org/wiki/Q88536415,male,gastroenterologist; infectious disease physician; university teacher,France; Iran,Shiraz,1965-12-27T00:00:00Z
Aida Rostami,https://en.wikipedia.org/wiki/Aida_Rostami,Q115787019,https://www.wikidata.org/wiki/Q115787019,female,physician,Iran,,1986-01-01T00:00:00Z
Farzaneh Sharifi,https://en.wikipedia.org/wiki/Farzaneh_Sharifi,Q129032570,https://www.wikidata.org/wiki/Q129032570,female,urologist,Iran,,1961-01-01T00:00:00Z
