Twitter_username,Full_Name,Followers_Collected,Following_Collected,Error,wikidata_qid,Twitter_url
amir_jadidi,Amir Jadidi,68,43,,,https://x.com/amir_jadidi
OAradwinwin,Official.ARADWINWIN,60,78,,,https://x.com/OAradwinwin
aydenmayeri,,10,10,,,https://x.com/aydenmayeri
davood_eldeniz,dr. eldeniz,80,61,,,https://x.com/davood_eldeniz
BitaAlahyan,Bita Alahyan,39,80,,,https://x.com/BitaAlahyan
dastournezhad,Boshra Dastournezhad,62,10,,,https://x.com/dastournezhad
_iamnaaz_,Elnaaz Norouzi,64,80,,,https://x.com/_iamnaaz_
LivinginTehran,Living in Tehran (LiT),80,80,,,https://x.com/LivinginTehran
FreemaOfficial,Freema Agyeman,73,80,,,https://x.com/FreemaOfficial
Golshifteh,Golshifteh Farahani,80,80,,,https://x.com/Golshifteh
HurieMoghadam,Hurie Moghadam,13,12,,,https://x.com/HurieMoghadam
MrKheiron,Kheiron,80,80,,,https://x.com/MrKheiron
MahlaghaJaberi,Mahlagha,60,62,,,https://x.com/MahlaghaJaberi
AfsharMahnaz,,10,10,,,https://x.com/AfsharMahnaz
manizhe,Mandana karimi,65,55,,,https://x.com/manizhe
Walklikeakhan,,10,10,,,https://x.com/Walklikeakhan
MaryamZakaria,Maryam Zakaria,64,79,,,https://x.com/MaryamZakaria
MehrdadRaissi,Mehrdad Raissi,62,62,,,https://x.com/MehrdadRaissi
MoeBarEl1,Moe Bar-El,10,11,,,https://x.com/MoeBarEl1
NavidNegahban,Navid Negahban,68,80,,,https://x.com/NavidNegahban
thirst,thirst,66,80,,,https://x.com/thirst
NazaninNour,Nazanin Nour,80,80,,,https://x.com/NazaninNour
AbtahiOmid,Omid Abtahi,64,74,,,https://x.com/AbtahiOmid
apps,,5,5,,,https://x.com/apps
pepepito1983,Pegah Ferydoni,67,80,,,https://x.com/pepepito1983
title,,10,10,,,https://x.com/title
poonehhm,,10,10,,,https://x.com/poonehhm
PouriaPoursorkh,Pouria Poursorkh,60,18,,,https://x.com/PouriaPoursorkh
reyparsa,,10,10,,,https://x.com/reyparsa
sahardolatshahi,sahar dolatshahi,61,53,,,https://x.com/sahardolatshahi
SaharValadbeygi,Sahar Valadbeygi,66,38,,,https://x.com/SaharValadbeygi
21Sahel,サヘルローズ,80,80,,,https://x.com/21Sahel
SepidehMoafi,Sepideh Moafi,80,80,,,https://x.com/SepidehMoafi
platform,,10,10,,,https://x.com/platform
shahram_hds,shahram haghighat doust,62,13,,,https://x.com/shahram_hds
ShaunToub,Shaun Toub,65,49,,,https://x.com/ShaunToub
ShivaBoloorian,Shiva Boloorian,17,10,,,https://x.com/ShivaBoloorian
shivanegar,ky,16,63,,,https://x.com/shivanegar
SAghdashloo,Shohreh Aghdashloo,80,80,,,https://x.com/SAghdashloo
talaashe,Tala Ashe,80,80,,,https://x.com/talaashe
IAmTehran,IG: @IAmTehran,80,80,,,https://x.com/IAmTehran
yarashahidi,Yara Shahidi,61,10,,,https://x.com/yarashahidi
Zar_Amir,Zar Amir Ebrahimi,65,80,,,https://x.com/Zar_Amir
IranIntl_En,Iran International English,79,15,,,https://x.com/IranIntl_En
SayedModarresi,Sayed Mahdi Modarresi,64,80,,,https://x.com/SayedModarresi
