iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,33,17,17,KFold,5,LogReg,TFIDF_description,55,False,0.53,0.493778801843318,0.53,0.4181643356643356,
1,target_population,3,17,17,17,17,KFold,5,LogReg,TFIDF_description,55,True,0.3333333333333333,0.4033119658119657,0.3333333333333333,0.3186631174208814,
1,target_population,2,50,33,0,33,KFold,5,LogReg,TFIDF_description,55,False,0.6265060240963856,1.0,0.0606060606060606,0.1142857142857142,0.4733333333333333
1,target_population,2,33,33,0,33,KFold,5,LogReg,TFIDF_description,55,True,0.4848484848484848,0.4827586206896552,0.4242424242424242,0.4516129032258064,0.5055096418732783
1,target_population,3,50,33,17,17,LOOCV,100,LogReg,TFIDF_description,55,False,0.5,0.3904269662921348,0.5,0.3923306006357704,
1,target_population,3,17,17,17,17,LOOCV,51,LogReg,TFIDF_description,55,True,0.3529411764705882,0.3680033416875521,0.3529411764705882,0.2988801054018445,
1,target_population,2,50,33,0,33,LOOCV,83,LogReg,TFIDF_description,55,False,0.6024096385542169,0.5,0.0303030303030303,0.0571428571428571,0.3393939393939393
1,target_population,2,33,33,0,33,LOOCV,66,LogReg,TFIDF_description,55,True,0.2575757575757575,0.25,0.2424242424242424,0.2461538461538461,0.3829201101928375
1,target_population,3,50,33,17,17,KFold,5,DecisionTree,TFIDF_description,55,False,0.45,0.3238888888888888,0.45,0.3395238095238095,
1,target_population,3,17,17,17,17,KFold,5,DecisionTree,TFIDF_description,55,True,0.3333333333333333,0.5508274231678487,0.3333333333333333,0.2266203703703703,
1,target_population,2,50,33,0,33,KFold,5,DecisionTree,TFIDF_description,55,False,0.5421686746987951,0.1428571428571428,0.0303030303030303,0.05,0.4493939393939394
1,target_population,2,33,33,0,33,KFold,5,DecisionTree,TFIDF_description,55,True,0.4696969696969697,0.4642857142857143,0.3939393939393939,0.4262295081967213,0.4972451790633608
1,target_population,3,50,33,17,17,LOOCV,100,DecisionTree,TFIDF_description,55,False,0.41,0.3072073170731707,0.41,0.3304276250880902,
1,target_population,3,17,17,17,17,LOOCV,51,DecisionTree,TFIDF_description,55,True,0.3333333333333333,0.2018518518518518,0.3333333333333333,0.2037890424987199,
1,target_population,2,50,33,0,33,LOOCV,83,DecisionTree,TFIDF_description,55,False,0.4819277108433735,0.1428571428571428,0.0606060606060606,0.0851063829787234,0.2003030303030303
1,target_population,2,33,33,0,33,LOOCV,66,DecisionTree,TFIDF_description,55,True,0.2878787878787879,0.15,0.0909090909090909,0.1132075471698113,0.2869605142332415
1,target_population,3,50,33,17,17,KFold,5,RandomForest,TFIDF_description,55,False,0.47,0.4109848484848485,0.47,0.3757370600414079,
1,target_population,3,17,17,17,17,KFold,5,RandomForest,TFIDF_description,55,True,0.4117647058823529,0.5634920634920634,0.4117647058823529,0.3521002210759027,
1,target_population,2,50,33,0,33,KFold,5,RandomForest,TFIDF_description,55,False,0.5662650602409639,0.3636363636363636,0.1212121212121212,0.1818181818181818,0.4448484848484849
1,target_population,2,33,33,0,33,KFold,5,RandomForest,TFIDF_description,55,True,0.5151515151515151,0.5135135135135135,0.5757575757575758,0.5428571428571428,0.5165289256198347
1,target_population,3,50,33,17,17,LOOCV,100,RandomForest,TFIDF_description,55,False,0.42,0.3114550264550264,0.42,0.3398375832385902,
1,target_population,3,17,17,17,17,LOOCV,51,RandomForest,TFIDF_description,55,True,0.3529411764705882,0.2469512195121951,0.3529411764705882,0.2524137931034483,
1,target_population,2,50,33,0,33,LOOCV,83,RandomForest,TFIDF_description,55,False,0.5662650602409639,0.3636363636363636,0.1212121212121212,0.1818181818181818,0.3327272727272727
1,target_population,2,33,33,0,33,LOOCV,66,RandomForest,TFIDF_description,55,True,0.2727272727272727,0.2580645161290322,0.2424242424242424,0.25,0.3659320477502296
1,target_population,3,50,33,17,17,KFold,5,SVM,TFIDF_description,55,False,0.52,0.5027083333333333,0.52,0.3891299518696779,
1,target_population,3,17,17,17,17,KFold,5,SVM,TFIDF_description,55,True,0.2745098039215686,0.2694805194805195,0.2745098039215686,0.2589126071884692,
1,target_population,2,50,33,0,33,KFold,5,SVM,TFIDF_description,55,False,0.6385542168674698,1.0,0.0909090909090909,0.1666666666666666,0.5127272727272727
1,target_population,2,33,33,0,33,KFold,5,SVM,TFIDF_description,55,True,0.4848484848484848,0.4827586206896552,0.4242424242424242,0.4516129032258064,0.5027548209366391
1,target_population,3,50,33,17,17,LOOCV,100,SVM,TFIDF_description,55,False,0.5,0.3625773195876289,0.5,0.3516666666666666,
1,target_population,3,17,17,17,17,LOOCV,51,SVM,TFIDF_description,55,True,0.0784313725490196,0.1637566137566138,0.0784313725490196,0.0944684944684944,
1,target_population,2,50,33,0,33,LOOCV,83,SVM,TFIDF_description,55,False,0.6024096385542169,0.5,0.0303030303030303,0.0571428571428571,0.3745454545454545
1,target_population,2,33,33,0,33,LOOCV,66,SVM,TFIDF_description,55,True,0.2575757575757575,0.25,0.2424242424242424,0.2461538461538461,0.3847566574839302
1,target_population,3,50,33,17,17,KFold,5,XGBoost,TFIDF_description,55,False,0.44,0.2993333333333333,0.44,0.3306976744186046,
1,target_population,3,17,17,17,17,KFold,5,XGBoost,TFIDF_description,55,True,0.2941176470588235,0.2952380952380952,0.2941176470588235,0.287445340076919,
1,target_population,2,50,33,0,33,KFold,5,XGBoost,TFIDF_description,55,False,0.6024096385542169,0.0,0.0,0.0,0.49
1,target_population,2,33,33,0,33,KFold,5,XGBoost,TFIDF_description,55,True,0.4696969696969697,0.475,0.5757575757575758,0.5205479452054794,0.4632690541781451
1,target_population,3,50,33,17,17,LOOCV,100,XGBoost,TFIDF_description,55,False,0.46,0.2395833333333333,0.46,0.3150684931506849,
1,target_population,3,17,17,17,17,LOOCV,51,XGBoost,TFIDF_description,55,True,0.1764705882352941,0.0697674418604651,0.1764705882352941,0.0999999999999999,
1,target_population,2,50,33,0,33,LOOCV,83,XGBoost,TFIDF_description,55,False,0.6024096385542169,0.0,0.0,0.0,0.0284848484848484
1,target_population,2,33,33,0,33,LOOCV,66,XGBoost,TFIDF_description,55,True,0.303030303030303,0.0,0.0,0.0,0.0
1,target_population,3,50,33,17,17,KFold,5,AdaBoost,TFIDF_description,55,False,0.47,0.367231884057971,0.47,0.3512698295033358,
1,target_population,3,17,17,17,17,KFold,5,AdaBoost,TFIDF_description,55,True,0.4117647058823529,0.5406976744186046,0.4117647058823529,0.3365079365079365,
1,target_population,2,50,33,0,33,KFold,5,AdaBoost,TFIDF_description,55,False,0.5301204819277109,0.25,0.0909090909090909,0.1333333333333333,0.4818181818181818
1,target_population,2,33,33,0,33,KFold,5,AdaBoost,TFIDF_description,55,True,0.4696969696969697,0.4736842105263157,0.5454545454545454,0.5070422535211268,0.4508723599632691
1,target_population,3,50,33,17,17,LOOCV,100,AdaBoost,TFIDF_description,55,False,0.48,0.3973139534883721,0.48,0.385766399583089,
1,target_population,3,17,17,17,17,LOOCV,51,AdaBoost,TFIDF_description,55,True,0.392156862745098,0.4823232323232322,0.392156862745098,0.3034348165495706,
1,target_population,2,50,33,0,33,LOOCV,83,AdaBoost,TFIDF_description,55,False,0.5180722891566265,0.1818181818181818,0.0606060606060606,0.0909090909090909,0.2121212121212121
1,target_population,2,33,33,0,33,LOOCV,66,AdaBoost,TFIDF_description,55,True,0.3333333333333333,0.3720930232558139,0.4848484848484848,0.4210526315789473,0.2828282828282827
1,target_population,3,50,33,17,17,KFold,5,LogReg,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,LogReg,TFIDF_username,100,True,0.2941176470588235,0.2909090909090908,0.2941176470588235,0.2876447876447877,
1,target_population,2,50,33,0,33,KFold,5,LogReg,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.4818181818181818
1,target_population,2,33,33,0,33,KFold,5,LogReg,TFIDF_username,100,True,0.4696969696969697,0.4615384615384615,0.3636363636363636,0.4067796610169492,0.4632690541781451
1,target_population,3,50,33,17,17,LOOCV,100,LogReg,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,LogReg,TFIDF_username,100,True,0.0,0.0,0.0,0.0,
1,target_population,2,50,33,0,33,LOOCV,83,LogReg,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.0
1,target_population,2,33,33,0,33,LOOCV,66,LogReg,TFIDF_username,100,True,0.0,0.0,0.0,0.0,0.0
1,target_population,3,50,33,17,17,KFold,5,DecisionTree,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,DecisionTree,TFIDF_username,100,True,0.2941176470588235,0.2952380952380952,0.2941176470588235,0.287445340076919,
1,target_population,2,50,33,0,33,KFold,5,DecisionTree,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.5
1,target_population,2,33,33,0,33,KFold,5,DecisionTree,TFIDF_username,100,True,0.4696969696969697,0.4615384615384615,0.3636363636363636,0.4067796610169492,0.4696969696969696
1,target_population,3,50,33,17,17,LOOCV,100,DecisionTree,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,DecisionTree,TFIDF_username,100,True,0.0,0.0,0.0,0.0,
1,target_population,2,50,33,0,33,LOOCV,83,DecisionTree,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.5
1,target_population,2,33,33,0,33,LOOCV,66,DecisionTree,TFIDF_username,100,True,0.0,0.0,0.0,0.0,0.0
1,target_population,3,50,33,17,17,KFold,5,RandomForest,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,RandomForest,TFIDF_username,100,True,0.3137254901960784,0.3075268817204301,0.3137254901960784,0.287037037037037,
1,target_population,2,50,33,0,33,KFold,5,RandomForest,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.4818181818181818
1,target_population,2,33,33,0,33,KFold,5,RandomForest,TFIDF_username,100,True,0.4848484848484848,0.4814814814814814,0.3939393939393939,0.4333333333333333,0.4696969696969697
1,target_population,3,50,33,17,17,LOOCV,100,RandomForest,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,RandomForest,TFIDF_username,100,True,0.0196078431372549,0.0185185185185185,0.0196078431372549,0.019047619047619,
1,target_population,2,50,33,0,33,LOOCV,83,RandomForest,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.2139393939393939
1,target_population,2,33,33,0,33,LOOCV,66,RandomForest,TFIDF_username,100,True,0.1363636363636363,0.0,0.0,0.0,0.0055096418732782
1,target_population,3,50,33,17,17,KFold,5,SVM,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,SVM,TFIDF_username,100,True,0.2941176470588235,0.2909090909090908,0.2941176470588235,0.2731622199707306,
1,target_population,2,50,33,0,33,KFold,5,SVM,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.4818181818181818
