iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
3,person_vs_organization,3,88,191,21,21,KFold,5,LogReg,TFIDF_description,117,False,0.68,0.6982222222222222,0.68,0.5880044056457535,
3,person_vs_organization,3,21,21,21,21,KFold,5,LogReg,TFIDF_description,117,True,0.4444444444444444,0.5684754521963824,0.4444444444444444,0.431382793451759,
3,person_vs_organization,2,88,191,0,88,KFold,5,LogReg,TFIDF_description,117,False,0.7240143369175627,0.7126865671641791,1.0,0.8322440087145969,0.6808960019038555
3,person_vs_organization,2,88,88,0,88,KFold,5,LogReg,TFIDF_description,117,True,0.6534090909090909,0.6046511627906976,0.8863636363636364,0.7188940092165899,0.6487603305785125
3,person_vs_organization,3,88,191,21,21,LOOCV,300,LogReg,TFIDF_description,117,False,0.69,0.69375,0.69,0.6087331917905168,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,LogReg,TFIDF_description,117,True,0.4603174603174603,0.4629629629629629,0.4603174603174603,0.3705747126436782,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,LogReg,TFIDF_description,117,False,0.7275985663082437,0.7153558052434457,1.0,0.834061135371179,0.5001784864350309
3,person_vs_organization,2,88,88,0,88,LOOCV,176,LogReg,TFIDF_description,117,True,0.6363636363636364,0.5923076923076923,0.875,0.7064220183486238,0.4879907024793388
3,person_vs_organization,3,88,191,21,21,KFold,5,DecisionTree,TFIDF_description,117,False,0.67,0.6250525210084034,0.67,0.5966247114023981,
3,person_vs_organization,3,21,21,21,21,KFold,5,DecisionTree,TFIDF_description,117,True,0.3492063492063492,0.2853107344632768,0.3492063492063492,0.2039855072463768,
3,person_vs_organization,2,88,191,0,88,KFold,5,DecisionTree,TFIDF_description,117,False,0.7060931899641577,0.7171314741035857,0.9424083769633508,0.8144796380090498,0.5301344597810567
3,person_vs_organization,2,88,88,0,88,KFold,5,DecisionTree,TFIDF_description,117,True,0.5625,0.5364238410596026,0.9204545454545454,0.6778242677824268,0.5429364669421488
3,person_vs_organization,3,88,191,21,21,LOOCV,300,DecisionTree,TFIDF_description,117,False,0.6533333333333333,0.5901240023293255,0.6533333333333333,0.5893823201174743,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,DecisionTree,TFIDF_description,117,True,0.3809523809523809,0.45,0.3809523809523809,0.2561728395061728,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,DecisionTree,TFIDF_description,117,False,0.7060931899641577,0.7224489795918367,0.9267015706806284,0.8119266055045872,0.2726677772489291
3,person_vs_organization,2,88,88,0,88,LOOCV,176,DecisionTree,TFIDF_description,117,True,0.5511363636363636,0.5302013422818792,0.8977272727272727,0.6666666666666666,0.2230759297520661
3,person_vs_organization,3,88,191,21,21,KFold,5,RandomForest,TFIDF_description,117,False,0.6833333333333333,0.6466296296296296,0.6833333333333333,0.6148449085137935,
3,person_vs_organization,3,21,21,21,21,KFold,5,RandomForest,TFIDF_description,117,True,0.4126984126984127,0.4540229885057472,0.4126984126984127,0.3054203180785459,
3,person_vs_organization,2,88,191,0,88,KFold,5,RandomForest,TFIDF_description,117,False,0.7347670250896058,0.7349397590361446,0.9581151832460733,0.8318181818181818,0.6661411232746312
3,person_vs_organization,2,88,88,0,88,KFold,5,RandomForest,TFIDF_description,117,True,0.6136363636363636,0.5714285714285714,0.9090909090909092,0.7017543859649122,0.64036673553719
3,person_vs_organization,3,88,191,21,21,LOOCV,300,RandomForest,TFIDF_description,117,False,0.6866666666666666,0.6473158551810236,0.6866666666666666,0.6223607251554849,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,RandomForest,TFIDF_description,117,True,0.4285714285714285,0.412987012987013,0.4285714285714285,0.3270676691729324,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,RandomForest,TFIDF_description,117,False,0.7204301075268817,0.728744939271255,0.9424083769633508,0.821917808219178,0.493277010947168
3,person_vs_organization,2,88,88,0,88,LOOCV,176,RandomForest,TFIDF_description,117,True,0.625,0.5797101449275363,0.9090909090909092,0.7079646017699115,0.4882489669421487
3,person_vs_organization,3,88,191,21,21,KFold,5,SVM,TFIDF_description,117,False,0.68,0.6641867212834954,0.68,0.5981225844231896,
3,person_vs_organization,3,21,21,21,21,KFold,5,SVM,TFIDF_description,117,True,0.3492063492063492,0.5532879818594104,0.3492063492063492,0.2911600476817867,
3,person_vs_organization,2,88,191,0,88,KFold,5,SVM,TFIDF_description,117,False,0.7275985663082437,0.722007722007722,0.9790575916230366,0.8311111111111111,0.6885709186101856
3,person_vs_organization,2,88,88,0,88,KFold,5,SVM,TFIDF_description,117,True,0.6193181818181818,0.5724137931034483,0.9431818181818182,0.7124463519313304,0.6465005165289256
3,person_vs_organization,3,88,191,21,21,LOOCV,300,SVM,TFIDF_description,117,False,0.68,0.6512363636363636,0.68,0.6041509362300125,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,SVM,TFIDF_description,117,True,0.0158730158730158,0.3333333333333333,0.0158730158730158,0.0303030303030303,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,SVM,TFIDF_description,117,False,0.7311827956989247,0.7283464566929134,0.9685863874345548,0.8314606741573034,0.6735780580675869
3,person_vs_organization,2,88,88,0,88,LOOCV,176,SVM,TFIDF_description,117,True,0.5965909090909091,0.5570469798657718,0.9431818181818182,0.70042194092827,0.4848915289256198
3,person_vs_organization,3,88,191,21,21,KFold,5,XGBoost,TFIDF_description,117,False,0.6666666666666666,0.6134956304619226,0.6666666666666666,0.5994746592563187,
3,person_vs_organization,3,21,21,21,21,KFold,5,XGBoost,TFIDF_description,117,True,0.3174603174603174,0.2092307692307692,0.3174603174603174,0.2286661143330571,
3,person_vs_organization,2,88,191,0,88,KFold,5,XGBoost,TFIDF_description,117,False,0.7096774193548387,0.7083333333333334,0.9790575916230366,0.8219780219780219,0.5572643979057592
3,person_vs_organization,2,88,88,0,88,KFold,5,XGBoost,TFIDF_description,117,True,0.5738636363636364,0.5419354838709678,0.9545454545454546,0.691358024691358,0.5755423553719009
3,person_vs_organization,3,88,191,21,21,LOOCV,300,XGBoost,TFIDF_description,117,False,0.6666666666666666,0.62,0.6666666666666666,0.5912801099450274,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,XGBoost,TFIDF_description,117,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,XGBoost,TFIDF_description,117,False,0.7132616487455197,0.7176470588235294,0.9581151832460733,0.820627802690583,0.2949190861494526
3,person_vs_organization,2,88,88,0,88,LOOCV,176,XGBoost,TFIDF_description,117,True,0.5738636363636364,0.5436241610738255,0.9204545454545454,0.6835443037974683,0.2661415289256198
3,person_vs_organization,3,88,191,21,21,KFold,5,AdaBoost,TFIDF_description,117,False,0.6733333333333333,0.6479365079365078,0.6733333333333333,0.5900311015680916,
3,person_vs_organization,3,21,21,21,21,KFold,5,AdaBoost,TFIDF_description,117,True,0.3809523809523809,0.3706896551724138,0.3809523809523809,0.2572151898734177,
3,person_vs_organization,2,88,191,0,88,KFold,5,AdaBoost,TFIDF_description,117,False,0.7168458781362007,0.71875,0.9633507853403142,0.8232662192393736,0.5663374583531652
3,person_vs_organization,2,88,88,0,88,KFold,5,AdaBoost,TFIDF_description,117,True,0.5795454545454546,0.5460526315789473,0.9431818181818182,0.6916666666666667,0.5842587809917356
3,person_vs_organization,3,88,191,21,21,LOOCV,300,AdaBoost,TFIDF_description,117,False,0.66,0.6154360812425329,0.66,0.5738481358578958,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,AdaBoost,TFIDF_description,117,True,0.3968253968253968,0.3894736842105263,0.3968253968253968,0.282051282051282,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,AdaBoost,TFIDF_description,117,False,0.7168458781362007,0.7170542635658915,0.9685863874345548,0.8240534521158129,0.2291170871013803
3,person_vs_organization,2,88,88,0,88,LOOCV,176,AdaBoost,TFIDF_description,117,True,0.5852272727272727,0.5503355704697986,0.9318181818181818,0.6919831223628692,0.3010072314049586
3,person_vs_organization,3,88,191,21,21,KFold,5,LogReg,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,LogReg,TFIDF_username,200,True,0.3174603174603174,0.2119298245614035,0.3174603174603174,0.2515352493244903,
3,person_vs_organization,2,88,191,0,88,KFold,5,LogReg,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.4921168491194668
3,person_vs_organization,2,88,88,0,88,KFold,5,LogReg,TFIDF_username,200,True,0.4886363636363636,0.490566037735849,0.5909090909090909,0.5360824742268041,0.4909607438016529
3,person_vs_organization,3,88,191,21,21,LOOCV,300,LogReg,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,LogReg,TFIDF_username,200,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,LogReg,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.0
3,person_vs_organization,2,88,88,0,88,LOOCV,176,LogReg,TFIDF_username,200,True,0.0,0.0,0.0,0.0,0.0
3,person_vs_organization,3,88,191,21,21,KFold,5,DecisionTree,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,DecisionTree,TFIDF_username,200,True,0.3492063492063492,0.2415384615384615,0.3492063492063492,0.2576636288318144,
3,person_vs_organization,2,88,191,0,88,KFold,5,DecisionTree,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.5033019990480723
3,person_vs_organization,2,88,88,0,88,KFold,5,DecisionTree,TFIDF_username,200,True,0.5,0.5,0.2045454545454545,0.2903225806451613,0.5090392561983471
3,person_vs_organization,3,88,191,21,21,LOOCV,300,DecisionTree,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,DecisionTree,TFIDF_username,200,True,0.1746031746031746,0.0691823899371069,0.1746031746031746,0.0990990990990991,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,DecisionTree,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.2085613993336506
3,person_vs_organization,2,88,88,0,88,LOOCV,176,DecisionTree,TFIDF_username,200,True,0.5,0.0,0.0,0.0,0.2134555785123967
3,person_vs_organization,3,88,191,21,21,KFold,5,RandomForest,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,RandomForest,TFIDF_username,200,True,0.3492063492063492,0.2415384615384615,0.3492063492063492,0.2576636288318144,
3,person_vs_organization,2,88,191,0,88,KFold,5,RandomForest,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.5010411708710139
3,person_vs_organization,2,88,88,0,88,KFold,5,RandomForest,TFIDF_username,200,True,0.5,0.5,0.2045454545454545,0.2903225806451613,0.5090392561983471
3,person_vs_organization,3,88,191,21,21,LOOCV,300,RandomForest,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,RandomForest,TFIDF_username,200,True,0.1746031746031746,0.0691823899371069,0.1746031746031746,0.0990990990990991,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,RandomForest,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.2366135173726797
3,person_vs_organization,2,88,88,0,88,LOOCV,176,RandomForest,TFIDF_username,200,True,0.4375,0.0,0.0,0.0,0.2102272727272727
3,person_vs_organization,3,88,191,21,21,KFold,5,SVM,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,SVM,TFIDF_username,200,True,0.3174603174603174,0.2092307692307692,0.3174603174603174,0.2286661143330571,
3,person_vs_organization,2,88,191,0,88,KFold,5,SVM,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.4987803426939553
3,person_vs_organization,2,88,88,0,88,KFold,5,SVM,TFIDF_username,200,True,0.4886363636363636,0.490566037735849,0.5909090909090909,0.5360824742268041,0.4863119834710743
3,person_vs_organization,3,88,191,21,21,LOOCV,300,SVM,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,SVM,TFIDF_username,200,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,SVM,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.0
3,person_vs_organization,2,88,88,0,88,LOOCV,176,SVM,TFIDF_username,200,True,0.0,0.0,0.0,0.0,0.0
3,person_vs_organization,3,88,191,21,21,KFold,5,XGBoost,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,XGBoost,TFIDF_username,200,True,0.3174603174603174,0.2092307692307692,0.3174603174603174,0.2286661143330571,
3,person_vs_organization,2,88,191,0,88,KFold,5,XGBoost,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.5012196573060448
3,person_vs_organization,2,88,88,0,88,KFold,5,XGBoost,TFIDF_username,200,True,0.4886363636363636,0.490566037735849,0.5909090909090909,0.5360824742268041,0.4909607438016529
3,person_vs_organization,3,88,191,21,21,LOOCV,300,XGBoost,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,XGBoost,TFIDF_username,200,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,XGBoost,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.0
3,person_vs_organization,2,88,88,0,88,LOOCV,176,XGBoost,TFIDF_username,200,True,0.1761363636363636,0.1724137931034483,0.1704545454545454,0.1714285714285714,0.0832902892561983
3,person_vs_organization,3,88,191,21,21,KFold,5,AdaBoost,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,KFold,5,AdaBoost,TFIDF_username,200,True,0.3333333333333333,0.2207017543859649,0.3333333333333333,0.2628346843527389,
3,person_vs_organization,2,88,191,0,88,KFold,5,AdaBoost,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.4911054259876249
3,person_vs_organization,2,88,88,0,88,KFold,5,AdaBoost,TFIDF_username,200,True,0.5113636363636364,0.5142857142857142,0.4090909090909091,0.4556962025316455,0.5090392561983471
3,person_vs_organization,3,88,191,21,21,LOOCV,300,AdaBoost,TFIDF_username,200,False,0.6366666666666667,0.4053444444444444,0.6366666666666667,0.4953292600135777,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,AdaBoost,TFIDF_username,200,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,AdaBoost,TFIDF_username,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.0
3,person_vs_organization,2,88,88,0,88,LOOCV,176,AdaBoost,TFIDF_username,200,True,1.0,1.0,1.0,1.0,1.0
3,person_vs_organization,3,88,191,21,21,KFold,5,LogReg,TFIDF_full_name,200,False,0.65,0.7041554054054053,0.65,0.5249049192036425,
3,person_vs_organization,3,21,21,21,21,KFold,5,LogReg,TFIDF_full_name,200,True,0.3492063492063492,0.4382615020912893,0.3492063492063492,0.2908496732026144,
3,person_vs_organization,2,88,191,0,88,KFold,5,LogReg,TFIDF_full_name,200,False,0.6881720430107527,0.6870503597122302,1.0,0.814498933901919,0.5799321751546882
3,person_vs_organization,2,88,88,0,88,KFold,5,LogReg,TFIDF_full_name,200,True,0.5795454545454546,0.5443037974683544,0.9772727272727272,0.6991869918699187,0.5797391528925621
3,person_vs_organization,3,88,191,21,21,LOOCV,300,LogReg,TFIDF_full_name,200,False,0.65,0.7041554054054053,0.65,0.5249049192036425,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,LogReg,TFIDF_full_name,200,True,0.0634920634920634,0.2666666666666666,0.0634920634920634,0.1025641025641025,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,LogReg,TFIDF_full_name,200,False,0.6845878136200717,0.6845878136200717,1.0,0.8127659574468085,0.2473227034745359
3,person_vs_organization,2,88,88,0,88,LOOCV,176,LogReg,TFIDF_full_name,200,True,0.5738636363636364,0.5408805031446541,0.9772727272727272,0.6963562753036437,0.2212035123966942
3,person_vs_organization,3,88,191,21,21,KFold,5,DecisionTree,TFIDF_full_name,200,False,0.66,0.6764337533409698,0.66,0.550321255935321,
3,person_vs_organization,3,21,21,21,21,KFold,5,DecisionTree,TFIDF_full_name,200,True,0.365079365079365,0.448087431693989,0.365079365079365,0.2287027218098268,
3,person_vs_organization,2,88,191,0,88,KFold,5,DecisionTree,TFIDF_full_name,200,False,0.7168458781362007,0.7137404580152672,0.9790575916230366,0.82560706401766,0.5756782484531175
3,person_vs_organization,2,88,88,0,88,KFold,5,DecisionTree,TFIDF_full_name,200,True,0.5681818181818182,0.5375,0.9772727272727272,0.6935483870967742,0.5874870867768595
3,person_vs_organization,3,88,191,21,21,LOOCV,300,DecisionTree,TFIDF_full_name,200,False,0.6566666666666666,0.6258058608058609,0.6566666666666666,0.5567057179265836,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,DecisionTree,TFIDF_full_name,200,True,0.365079365079365,0.3388888888888889,0.365079365079365,0.228395061728395,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,DecisionTree,TFIDF_full_name,200,False,0.7060931899641577,0.7056603773584905,0.9790575916230366,0.8201754385964912,0.1935982865302237
3,person_vs_organization,2,88,88,0,88,LOOCV,176,DecisionTree,TFIDF_full_name,200,True,0.5625,0.5337423312883436,0.9886363636363636,0.6932270916334662,0.1721978305785123
3,person_vs_organization,3,88,191,21,21,KFold,5,RandomForest,TFIDF_full_name,200,False,0.6666666666666666,0.6674734208880551,0.6666666666666666,0.5673671927862243,
3,person_vs_organization,3,21,21,21,21,KFold,5,RandomForest,TFIDF_full_name,200,True,0.365079365079365,0.3408662900188324,0.365079365079365,0.2305555555555555,
3,person_vs_organization,2,88,191,0,88,KFold,5,RandomForest,TFIDF_full_name,200,False,0.7168458781362007,0.7105263157894737,0.9895287958115184,0.8271334792122538,0.6021834840552118
3,person_vs_organization,2,88,88,0,88,KFold,5,RandomForest,TFIDF_full_name,200,True,0.5795454545454546,0.5443037974683544,0.9772727272727272,0.6991869918699187,0.5916193181818182
3,person_vs_organization,3,88,191,21,21,LOOCV,300,RandomForest,TFIDF_full_name,200,False,0.6566666666666666,0.6356018518518518,0.6566666666666666,0.5525633959638135,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,RandomForest,TFIDF_full_name,200,True,0.3968253968253968,0.3894736842105263,0.3968253968253968,0.282051282051282,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,RandomForest,TFIDF_full_name,200,False,0.7132616487455197,0.7078651685393258,0.9895287958115184,0.8253275109170306,0.2941456449309853
3,person_vs_organization,2,88,88,0,88,LOOCV,176,RandomForest,TFIDF_full_name,200,True,0.5795454545454546,0.5443037974683544,0.9772727272727272,0.6991869918699187,0.2481921487603306
3,person_vs_organization,3,88,191,21,21,KFold,5,SVM,TFIDF_full_name,200,False,0.65,0.7041554054054053,0.65,0.5249049192036425,
3,person_vs_organization,3,21,21,21,21,KFold,5,SVM,TFIDF_full_name,200,True,0.3333333333333333,0.5511111111111111,0.3333333333333333,0.2613458528951487,
3,person_vs_organization,2,88,191,0,88,KFold,5,SVM,TFIDF_full_name,200,False,0.6989247311827957,0.6945454545454546,1.0,0.8197424892703863,0.5931996668253213
3,person_vs_organization,2,88,88,0,88,KFold,5,SVM,TFIDF_full_name,200,True,0.5795454545454546,0.54375,0.9886363636363636,0.7016129032258065,0.5805139462809917
3,person_vs_organization,3,88,191,21,21,LOOCV,300,SVM,TFIDF_full_name,200,False,0.65,0.7041554054054053,0.65,0.5249049192036425,
3,person_vs_organization,3,21,21,21,21,LOOCV,63,SVM,TFIDF_full_name,200,True,0.0,0.0,0.0,0.0,
3,person_vs_organization,2,88,191,0,88,LOOCV,279,SVM,TFIDF_full_name,200,False,0.6989247311827957,0.6945454545454546,1.0,0.8197424892703863,0.5878153260352215
