confidence_level,created_at,description,description_en,display_name,display_name_en,followers_count,following_count,iteration_source,location,manual_target_population,predicted_class,profile_banner_url,profile_image_url,statuses_count,target_population,uncertainty_score,url,username,verified,manual_label,prob_0,prob_1,prob_2,confidence_group
,September 2023,,,CathyBryce,,112.0,4623.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,0.0,,,0dybbxx0o1b5xa,False,,,,,
,September 2023,,,SaraThoreau,,127.0,4554.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,0.0,,,0l8o0xgtjkorcjb,False,,,,,
,April 2021,زندگی نکردم ولی فعلا زنده ام,,کلول,,81.0,53.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,150.0,1.0,,,0mfahzf4tebztdl,False,,,,,
,August 2024,"@_Alignments ,",,Think,,22.0,159.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,18.0,0.0,,,0pps__,False,,,,,
,September 2021,,,هيثم عبده نعمان الحجري,,80.0,218.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3761.0,0.0,,,0qcgdh3bdamfozf,False,,,,,
,October 2024,,,A.B.110,,0.0,7.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3.0,2.0,,,110_m_ah_b,False,,,,,
0.5316501364284394,June 2024,,,Monkey,Monkey,226.0,1945.0,3.0,"Dubai, United Arab Emirates",2.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2327.0,,0.4683498635715606,,1983ms13,False,,,,,
,July 2025,,,MavisColclough,,33.0,1289.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,1bl51ilj2fkkt,False,,,,,
,May 2016,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,,Aaron Vallance,,5435.0,3587.0,2.0,"London, England",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2327.0,0.0,,,1dish4theroad,False,,,,,
,December 2025,,,ابو علي,,0.0,16.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,1m9od5,False,,,,,
,March 2015,,,Mehdi.Sharifi.Mo.,,107.0,550.0,2.0,ایران,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1311.0,1.0,,,1meshmo,False,,,,,
,July 2016,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,,«یک پزشک» پلاس,,233.0,740.0,2.0,Islamic Republic of Iran,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4.0,1.0,,,1pezeshk_plus,False,,,,,
,November 2025,,,محمدحسین امینایی,,1.0,20.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,1.0,,,2000mhac,False,,,,,
,March 2017,,,Dr siyasi,,206.0,306.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,6949.0,1.0,,,2017siyasi,False,,,,,
,November 2025,,,Dr . Samuel 2025 Samuel arockiasamy (Sam),,50.0,786.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,19.0,0.0,,,2025_samuel,False,,,,,
,December 2024,,,Sajad,,5.0,39.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,53.0,2.0,,,2088sajad24892,False,,,,,
,September 2020,جمهوری خواه-سکولار دموکرات,,tohid2001,,4085.0,4396.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2456.0,1.0,,,20lincoln20,False,,,,,
0.5007043873462862,March 2011,رسانه‌ی مستقل هیپ‌هاپ/رپ فارسی، تاسیس ۱۳۸۸,رسانه‌ی مستقل هیپ‌هاپ/رپ فارسی، تاسیس ۱۳۸۸,20RAP.com,20RAP.com,,13.0,3.0,Iran,1.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5214.0,,0.4992956126537138,,20rapcom,False,,,,,
0.5318817158659984,January 2024,,,xcxcxc,xcxcxc,0.0,495.0,3.0,,2.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,0.4681182841340016,,27484b,False,,,,,
,March 2016,,,Cotton Headed Ninny Muggins,,102.0,1586.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,287.0,0.0,,,2_ncqr,False,,,,,
,February 2025,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,,Rebel girl,,1399.0,1004.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,9779.0,1.0,,,2_rebelgirl,False,,,,,
,December 2018,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,,روانپریش دوم درب اول,,35500.0,,2.0,"Dubai, UAE",1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,1.0,,,2ndravanparish,False,,,,,
0.5242210882052246,December 2023,جمهوری اسلامی در دریای خونی که به راه انداخته، غرق خواهد شد...  #زن_زندگی_آزادی #مهسا_امینی,جمهوری اسلامی در دریای خونی که به راه انداخته، غرق خواهد شد...  #زن_زندگی_آزادی #مهسا_امینی,KolKa,KolKa,133.0,95.0,3.0,,1.0,0.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,987.0,,0.4757789117947754,,2x0x2x4,False,,,,,
,April 2013,Iranian singer,,Sina Hejazi,,4400.0,16.0,2.0,Islamic Republic of Iran,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,297.0,1.0,,,30nahejazi,False,,,,,
,June 2013,Every moment is a fresh beginning.,,Isis,,345.0,472.0,2.0,"Buffalo, NY.",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,458.0,0.0,,,32kennocha,False,,,,,
,February 2013,از روی نعش جمهوری اسلامی رد می‌شویم #همکاری_ملی,,نشريه سه‌پنج,,27700.0,0.0,2.0,35anj,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2021.0,1.0,,,35anj,False,,,,,
,July 2019,,,Максат,,0.0,4.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,6.0,2.0,,,35pmrc4xezu0tvd,False,,,,,
,September 2025,,,Third Coast Cinema,,1.0,154.0,2.0,"Milwaukee, WI",2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,3ccmke,False,,,,,
,January 2020,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,,SeyedAmir Sayyah,,46200.0,438.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,1.0,,,3eyedamir,False,,,,,
,December 2025,,,R,,1.0,85.0,2.0,"New York, USA",2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,3pm_est,False,,,,,
,May 2016,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,,سه تا رِ,,1206.0,212.0,2.0,شهری عاری از مونوگامی,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1.0,,,3tareee,False,,,,,
,June 2022,Living proof that sleep is optional.,,Arsy,,8.0,72.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,35.0,1.0,,,404arsynotfound,False,,,,,
,January 2012,“in-betweenness is a fundamental condition of our times.” ==BUILDING mode==,,Muchacho,,154.0,2398.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0.0,,,424xh,False,,,,,
,October 2023,,,Ishita Dasgupta,,1.0,77.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,42potatoesss,False,,,,,
,November 2020,منصة رياضية إماراتية  تغطي الحدث محلياً وعالمياً,,عميد الرياضة,,29300.0,178.0,2.0,الامارات العربية المتحدة,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,0.0,,,433_uae2,False,,,,,
,May 2022,,,Abtinn,,17.0,391.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,12.0,1.0,,,4bteen,False,,,,,
,September 2022,,,Freedom,,18.0,214.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,682.0,1.0,,,4freedom4iran,False,,,,,
0.504050508189258,August 2013,"Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran","Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran",Iran Freedom,Iran Freedom,,698.0,3.0,,1.0,1.0,,https://pbs.twimg.com/profile_images/1427297293242441731/1vPaoNnm_200x200.jpg,2018.0,,0.495949491810742,,4freedominiran,False,,,,,
,December 2011,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",,Women's Initiatives for Gender Justice,,5771.0,1516.0,2.0,"The Hague, The Netherlands",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,8749.0,0.0,,,4genderjustice,False,,,,,
,November 2025,,,Payton Brown 4LtgmLpx,,3.0,195.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,4ltgmlpx61671,False,,,,,
,September 2021,,,.,,104.0,383.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,8.0,0.0,,,4m2dvxbg7uptwhz,False,,,,,
,November 2009,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",,Noura Erakat,,192900.0,2719.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0.0,,,4noura,False,,,,,
,January 2019,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,,50 Uses For The Word Love Podcast,,489.0,2753.0,2.0,"London, England",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,396.0,0.0,,,50uses,False,,,,,
0.5314166352808952,November 2021,Gamification Enthusiast Crypto Enthusiast,Gamification Enthusiast Crypto Enthusiast,54hzwhale,54hzwhale,59.0,1363.0,3.0,,0.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,55.0,,0.4685833647191048,,54hz_whale,False,,,,,
,July 2016,پیش ما بیا خوش میگذره,,زندانی پنجم,,6351.0,265.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1.0,,,5thprisoner,False,,,,,
0.5271995804299091,December 2020,دلخوشی ها کم‌نیست، دیده ها، نابیناست..‌.,دلخوشی ها کم‌نیست، دیده ها، نابیناست..‌.,پرنسس,پرنسس,26.0,10.0,3.0,,1.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,125.0,,0.4728004195700909,,5y6aahcdftzn4me,False,,,,,
0.5109886263800162,June 2019,,,Wojtek,Wojtek,146.0,807.0,3.0,"Warszawa, Polska",0.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,9241.0,,0.4890113736199838,,677krzych,False,,,,,
,September 2018,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,,اونجلیناجیلی,,164500.0,,2.0,İstanbul-Turkey,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5593.0,1.0,,,6njeli,False,,,,,
0.5027174890117818,December 2025,,,حسين,حسين,0.0,28.0,3.0,,0.0,0.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,0.4972825109882182,,77o7h,False,,,,,
0.5207777031311835,October 2022,"Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.","Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.",Amara,Amara,304.0,396.0,3.0,,0.0,0.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3321.0,,0.4792222968688164,,9122432itw,False,,,,,
0.5340450324423253,December 2015,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,9T Antiope,9T Antiope,550.0,202.0,3.0,Tehran / Paris,1.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,927.0,,0.4659549675576747,,9tantiope,False,,,,,
,December 2020,Not everyone likes us.But not everyone matters Nothing is permanent!,,Joker,,31100.0,31.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,0.0,,,_3pehr__,False,,,,,
,March 2023,,,🎞️,,0.0,424.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4.0,2.0,,,___cfilm,False,,,,,
0.5248863212551076,April 2019,,,آندره ی بالکونسکی,آندره ی بالکونسکی,284.0,483.0,3.0,,1.0,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1363.0,,0.4751136787448924,,___mohsen_,False,,,,,
,November 2025,@_aespect 's evil twin,,aespect's evil twin ⋆˚꩜｡𝜗ৎ,,3.0,40.0,2.0,EVIL aespect city,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,26.0,0.0,,,__aespect,False,,,,,
,March 2019,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",,ثنا ابراهیمی | Sana Ebrahimi,,145400.0,837.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5593.0,1.0,,,__injaneb96,False,,,,,
,January 2020,linktr.ee/mareux,,mareux,,4384.0,131.0,2.0,"Los Angeles, CA",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,508.0,0.0,,,__mareux__,False,,,,,
,December 2025,,,mehmet__aslan,,2.0,5.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,__mehmetaslan__,False,,,,,
,November 2023,,,rumi,,13.0,491.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,134.0,2.0,,,__rumi22_,False,,,,,
,September 2017,,,Sh!m@,,5769.0,523.0,2.0,NY,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1.0,,,__shim__shim,False,,,,,
,June 2025,"Striving for a proud, independent and prosperous United Kingdom. We stand for nation, freedom, democracy and equality under the law.  Led by  @benhabib6",,Advance UK,,93800.0,362.0,2.0,http://www.advanceuk.org.uk,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1638.0,0.0,,,_advanceuk,False,,,,,
,December 2025,,,Alev Gündoğan,,0.0,4.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,2.0,,,_alevgundogan_,False,,,,,
,December 2018,او از پیروان م ح م د بن حسن بود,,علی نجار,,770.0,890.0,2.0,کهکشان راه شیری ، دست چپ,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4161.0,1.0,,,_ali_najjar_,False,,,,,
,December 2025,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,,Ali Emili,,9.0,132.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,87.0,1.0,,,_aliemili_,False,,,,,
,June 2025,"@__Think_ ,",,Alignments,,15.0,13.0,2.0,,,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2.0,,,,_alignments,False,,,,,
,August 2016,Jugador de New York city,,Alonso Martínez,,7990.0,102.0,2.0,"Puntarenas, Costa Rica",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,77.0,0.0,,,_alonso11,False,,,,,
,July 2024,just be real,,amiir,,140.0,1333.0,2.0,istanbull,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1337.0,1.0,,,_amiir_75,False,,,,,
,October 2015,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,,i N !,,149.0,160.0,2.0,!,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4797.0,1.0,,,_angry_n___,False,,,,,
,August 2018,はむさんはこちら  @hamuppi_,,お父さん,,8556.0,803.0,2.0,,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,780.0,0.0,,,_articlle_,False,,,,,
,August 2025,روزنامه‌نگار,,عاطفه شمس,,4.0,50.0,2.0,,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,1.0,,,_atefehshams_,False,,,,,
,November 2022,,,🌟,,40.0,7500.0,2.0,,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2.0,,,_bonos_,False,,,,,
,April 2009,"/ perto do osso a carne é mais gostosa / ˚ ༘✶ videomaker, mama snake na  @MAMBANEGRAHHHH  y kweeng em  @TETOPRETOOO",,♡ *ೃ°༄ 𝓢𝓪𝓫𝓻𝓲𝓷𝓪 𝓢𝓾𝓻𝓽𝓸 ¸.•°*°⋆.ೃ࿔*,,1806.0,425.0,2.0,"São Paulo, Brasil",0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2277.0,0.0,,,_carneosso,False,,,,,
