username,predicted_class,confidence_level,uncertainty_score,prob_0,prob_1,description,display_name,description_en,display_name_en,followers_count,following_count,statuses_count,verified,location,url,sampling_reason,manual_label_person_vs_organization,created_at,profile_image_url,profile_banner_url,prob_2
alex99889,1,0.9966274653276862,0.0033725346723137,0.0033725346723137,0.9966274653276862,,alex,,alex,750.0,7499.0,3214.0,False,iran,,high_confidence,1,July 2019,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
adellenaz,1,0.9946965031884016,0.0053034968115983,0.0053034968115983,0.9946965031884016,American Media Personality | Veteran Journalist | Geopolitical Mastermind | Visionary Entrepreneur,Adelle Nazarian,American Media Personality | Veteran Journalist | Geopolitical Mastermind | Visionary Entrepreneur,Adelle Nazarian,1.0,8866.0,5768.0,False,,,high_confidence,,October 2010,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
999qol9196,1,0.9927516892656684,0.0072483107343315,0.0072483107343315,0.9927516892656684,,あああ,,あああ,486.0,7500.0,2124.0,False,,,high_confidence,,March 2024,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alexcurran95,1,0.9923690967180172,0.0076309032819829,0.0076309032819829,0.9923690967180172,,𝐀𝐥𝐞𝐱 𝐂𝐮𝐫𝐫𝐚𝐧,,𝐀𝐥𝐞𝐱 𝐂𝐮𝐫𝐫𝐚𝐧,2603.0,7343.0,1376.0,False,Contae Lú,,high_confidence,,November 2018,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alrfat13271,1,0.9897682965380972,0.0102317034619027,0.0102317034619027,0.9897682965380972,,احمد صالح,,Ahmed Saleh,362.0,5657.0,5.0,False,,,high_confidence,,October 2023,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
a_f_cebeci,1,0.983707196940127,0.016292803059873,0.016292803059873,0.983707196940127,konu vatansa gerisi teferruat,Ali Fuat Cebeci,konu vatansa gerisi teferruat,Ali Fuat Cebeci,9013.0,5337.0,,False,Türkiye,,high_confidence,,May 2021,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
0x778899,1,0.9826303888383756,0.0173696111616245,0.0173696111616245,0.9826303888383756,Thanks Crypto and Bitcoin,Parth,Thanks Crypto and Bitcoin,Parth,110.0,4666.0,8607.0,False,Howrah,,high_confidence,,June 2016,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aghajanii76m,1,0.9822726329026474,0.0177273670973525,0.0177273670973525,0.9822726329026474,teaching physics is so interesting!,aghajanii76m,teaching physics is so interesting!,aghajanii76m,1431.0,6575.0,81.0,False,wherever GOD wants...,,high_confidence,,November 2022,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aldo369369369,1,0.9804774681078324,0.0195225318921675,0.0195225318921675,0.9804774681078324,"Assoc. Prof at DTU Health (Denmark), CTO & co-founder OuroBionics, CEO & co-founder Cybosense, co-founder #TeamBioEngine.lCyborganicsl&lLivingMaterialsl",Alireza Dolatshahi-Pirouz,"Assoc. Prof at DTU Health (Denmark), CTO & co-founder OuroBionics, CEO & co-founder Cybosense, co-founder #TeamBioEngine.lCyborganicsl&lLivingMaterialsl",Alireza Dolatshahi-Pirouz,,5503.0,1092.0,False,DTU (Kgs. Lyngby 2800),,high_confidence,,January 2015,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alikalaei62,1,0.980353213513134,0.019646786486866,0.019646786486866,0.980353213513134,همسر- روزنامه نگار - مدافع حقوق بشر Spouse - Journalist - Human Rights Defender peace-mark.org  Retweets ≠ endorsements,Ali Kalaei,Spouse - Journalist - Human Rights Defender peace-mark.org Retweets ≠ endorsements,Ali Kalaei,5599.0,4991.0,1373.0,False,Sweden,,high_confidence,,December 2014,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ahangparvaz_co,1,0.9799418441939892,0.0200581558060107,0.0200581558060107,0.9799418441939892,| کارگزار و مجری مستقیم تورهای اروپایی، آسیایی و داخلی، متخصص اخذ ویزا شنگن اروپا، رزرو هتل و بلیط های داخلی و خارجی,آژانس هواپیمایی آهنگ پرواز,"| Broker and direct operator of European, Asian and domestic tours, specialist in obtaining European Schengen visas, hotel reservations and domestic and foreign tickets.",Song Flight Airline Agency,890.0,5415.0,69.0,False,Islamic Republic of Iran,,high_confidence,,October 2018,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
