algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
SVM,TFIDF_description+username,LOOCV,False,0.74375,0.7198350694444444,0.74375,0.6971841572251407,0.6772946859903382
XGBoost,TFIDF_description+username,LOOCV,False,0.68125,0.6663206427955133,0.68125,0.6725160134207717,0.6745893719806764
LogReg,TFIDF_description+username,LOOCV,False,0.7375,0.7317343604108311,0.7375,0.6601966130884042,0.669951690821256
XGBoost,TFIDF_description+username,LOOCV,True,0.5666666666666667,0.566699604743083,0.5666666666666667,0.5666131621187801,0.6651851851851852
XGBoost,TFIDF_description+username+full_name,LOOCV,False,0.69375,0.667724609375,0.69375,0.6760895997007108,0.6620289855072464
LogReg,TFIDF_description+username+full_name,LOOCV,False,0.725,0.6927419354838709,0.725,0.6353703703703704,0.6585507246376812
XGBoost,TFIDF_username,LOOCV,True,0.6,0.6018099547511312,0.6,0.5982142857142857,0.6577777777777778
LogReg,TFIDF_description,KFold,True,0.6222222222222222,0.6708074534161491,0.6222222222222222,0.5933014354066986,0.6575308641975308
LogReg,TFIDF_description+username+full_name,KFold,False,0.725,0.7093949044585987,0.725,0.6259191176470589,0.6546859903381643
SVM,TFIDF_description+username+full_name,LOOCV,False,0.7625,0.7514140271493213,0.7625,0.7217585646411603,0.6521739130434782
LogReg,TFIDF_description+username,KFold,False,0.725,0.7093949044585987,0.725,0.6259191176470589,0.6519806763285024
DecisionTree,TFIDF_description+username+full_name,LOOCV,True,0.6555555555555556,0.65625,0.6555555555555556,0.6551724137931034,0.6501234567901234
RandomForest,TFIDF_description+username+full_name,LOOCV,False,0.64375,0.6040865384615384,0.64375,0.619030612244898,0.6493719806763285
SVM,TFIDF_description+username,KFold,False,0.7375,0.714421903599756,0.7375,0.6747159090909091,0.6477294685990338
LogReg,TFIDF_description+full_name,KFold,False,0.7125,0.6318548387096774,0.7125,0.6187962962962963,0.6465700483091787
RandomForest,TFIDF_description+username,LOOCV,False,0.65,0.6144661165291322,0.65,0.6278041415012942,0.6441545893719807
RandomForest,TFIDF_description+username,KFold,False,0.6625,0.6291104026006502,0.6625,0.6410968507333908,0.6439613526570048
XGBoost,TFIDF_description+username+full_name,LOOCV,True,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.642962962962963
SVM,TFIDF_description+username+full_name,KFold,False,0.70625,0.6472908512720157,0.70625,0.6465233132021561,0.6324637681159421
AdaBoost,TFIDF_description+username,LOOCV,False,0.69375,0.6222786203522505,0.69375,0.6314817520618221,0.6307246376811595
