algorithm,feature_set,balanced,K,accuracy,precision,recall,F1,AUC
AdaBoost,TFIDF_description+username+full_name,False,40.0,0.8,0.8,0.8,0.8,0.7635327635327636
AdaBoost,TFIDF_description+username+full_name,False,40.0,0.8,0.8,0.8,0.8,0.7635327635327636
AdaBoost,TFIDF_description+username,False,40.0,0.65,0.7003759398496241,0.65,0.6609375,0.7492877492877493
AdaBoost,TFIDF_description+username,False,40.0,0.65,0.7003759398496241,0.65,0.6609375,0.7492877492877493
AdaBoost,TFIDF_description+username+full_name,False,5.0,0.775,0.7800824175824176,0.775,0.7770440251572326,0.7407407407407407
AdaBoost,TFIDF_description+username+full_name,False,5.0,0.775,0.7800824175824176,0.775,0.7770440251572326,0.7407407407407407
AdaBoost,TFIDF_description+username,False,5.0,0.725,0.7453125,0.725,0.7311359026369167,0.7350427350427349
AdaBoost,TFIDF_description+username,False,5.0,0.725,0.7453125,0.725,0.7311359026369167,0.7350427350427349
RandomForest,TFIDF_description+username+full_name,True,5.0,0.7307692307692307,0.7708333333333333,0.7307692307692307,0.7204301075268817,0.7278106508875739
RandomForest,TFIDF_description+username+full_name,True,5.0,0.7307692307692307,0.7708333333333333,0.7307692307692307,0.7204301075268817,0.7278106508875739
LogReg,TFIDF_description+username+full_name,True,5.0,0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.7218934911242604
LogReg,TFIDF_description+username+full_name,True,5.0,0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.7218934911242604
DecisionTree,TFIDF_description+username+full_name,False,40.0,0.7,0.7496240601503759,0.7,0.709375,0.7179487179487178
DecisionTree,TFIDF_description+username+full_name,False,40.0,0.7,0.7496240601503759,0.7,0.709375,0.7179487179487178
RandomForest,TFIDF_username,False,5.0,0.725,0.7309065934065934,0.725,0.7274982529699511,0.7136752136752136
RandomForest,TFIDF_username,False,5.0,0.725,0.7309065934065934,0.725,0.7274982529699511,0.7136752136752136
AdaBoost,TFIDF_username,False,5.0,0.675,0.696875,0.675,0.6822515212981745,0.7108262108262109
AdaBoost,TFIDF_username,False,5.0,0.675,0.696875,0.675,0.6822515212981745,0.7108262108262109
RandomForest,TFIDF_username,False,40.0,0.75,0.7781329923273657,0.75,0.7566666666666666,0.707977207977208
RandomForest,TFIDF_username,False,40.0,0.75,0.7781329923273657,0.75,0.7566666666666666,0.707977207977208
