Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
8,Iran candidate,Ash Koosha,AshKoosha,https://x.com/AshKoosha,Candidates,active,https://en.wikipedia.org/wiki/Kamshad_Kooshan
11,Iran candidate,CameliaEntekhabifard,CameliaFard,https://x.com/CameliaFard,Candidates,active,https://en.wikipedia.org/wiki/Camelia_Entekhabifard
14,Iran candidate,Firouz M. Naderi,Firouz_Naderi,https://x.com/Firouz_Naderi,Candidates,active,https://en.wikipedia.org/wiki/Firouz_Naderi
15,Iran candidate,Roxana Moslehi (رکسانا مصلحی),Genomicien,https://x.com/Genomicien,Candidates,active,https://en.wikipedia.org/wiki/Roxana_Moslehi
16,Iran candidate,Seyed Mohammad Ali Hosseini,HossainiSma,https://x.com/HossainiSma,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Ali_Hosseini
25,Iran candidate,Jason Reza Jorjani,Jason_Jorjani,https://x.com/Jason_Jorjani,Candidates,active,https://en.wikipedia.org/wiki/Jason_Jorjani
28,Iran candidate,MehdiKhalaji,MehdiKhalaji,https://x.com/MehdiKhalaji,Candidates,active,https://en.wikipedia.org/wiki/Mehdi_Khalaji
32,Iran candidate,Nazanin Afshin-Jam MacKay,NazaninAJ,https://x.com/NazaninAJ,Candidates,active,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam
38,Iran candidate,Reza Pahlavi,PahlaviReza,https://x.com/PahlaviReza,Candidates,active,https://en.wikipedia.org/wiki/Reza_Taghavi
39,Iran candidate,Ali Reza Panahian,PanahianEN,https://x.com/PanahianEN,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Panahian
45,Iran candidate,Sabrina Ghayour-Lynn,SabrinaGhayour,https://x.com/SabrinaGhayour,Candidates,active,https://en.wikipedia.org/wiki/Sabrina_Ghayour
47,Iran candidate,Darya Safai MP,SafaiDarya,https://x.com/SafaiDarya,Candidates,active,https://en.wikipedia.org/wiki/Darya_Safai
48,Iran candidate,Kianoosh Sanjari,Sanjaribaf,https://x.com/Sanjaribaf,Candidates,active,https://en.wikipedia.org/wiki/Kianush_Sanjari
64,Iran candidate,behzadbolour,behzadbolour,https://x.com/behzadbolour,Candidates,active,https://en.wikipedia.org/wiki/Behzad_Bolour
69,Iran candidate,Dr. David Samadi,drdavidsamadi,https://x.com/drdavidsamadi,Candidates,active,https://en.wikipedia.org/wiki/David_B._Samadi
71,Iran candidate,Massoumeh Ebtekar,ebtekarm,https://x.com/ebtekarm,Candidates,active,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar
77,Iran candidate,mohammadi ziarani,gmziarani,https://x.com/gmziarani,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Marandi
84,Iran candidate,jadi,jadi,https://x.com/jadi,Candidates,active,https://en.wikipedia.org/wiki/Asjadi
87,Iran candidate,Kris Esfandiari,kngwmn,https://x.com/kngwmn,Candidates,active,https://en.wikipedia.org/wiki/Kristina_Esfandiari
94,Iran candidate,masoud.aghaie,masoud,https://x.com/masoud,Candidates,active,https://en.wikipedia.org/wiki/Masoud_Gholami
97,Iran candidate,MirHossein Mousavi,mousavi1388,https://x.com/mousavi1388,Candidates,active,https://en.wikipedia.org/wiki/Mir-Hossein_Mousavi
99,Iran actor,Abbas Amiri Moghaddam,,https://x.com/nan,iranian_actors,missing,https://en.wikipedia.org/wiki/Abbas_Amiri_Moghaddam
112,Iran candidate,sepideqoliyan,sepideqoliyan,https://x.com/sepideqoliyan,Candidates,active,https://en.wikipedia.org/wiki/Sepideh_Qolian
114,Iran candidate,Shahin Najafi 𓃬☼,shahinnajafi80,https://x.com/shahinnajafi80,Candidates,active,https://en.wikipedia.org/wiki/Shahin_Najafi
116,Iran candidate,shahrumkashani,shahrumkashani,https://x.com/shahrumkashani,Candidates,active,https://en.wikipedia.org/wiki/Shahrum_Kashani
119,Iran candidate,Alireza Soleimanpour,soleimanpour,https://x.com/soleimanpour,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Soleimani
121,Iran candidate,SorayaSarhaddiNelson,sorayanelson,https://x.com/sorayanelson,Candidates,active,https://en.wikipedia.org/wiki/Soraya_Sarhaddi_Nelson
