Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
1,Iran actor,Michael Shahrestani,2015,https://x.com/2015,iranian_actors,suspended,https://en.wikipedia.org/wiki/Michael_Shahrestani
2,Iran actor,Arian Moayed,2023,https://x.com/2023,iranian_actors,suspended,https://en.wikipedia.org/wiki/Arian_Moayed
3,Iran actor,Sahel Rosa,21Sahel,https://x.com/21Sahel,iranian_actors,active,https://en.wikipedia.org/wiki/Sahel_Rosa
4,Iran candidate,25Band,25BandMusic,https://x.com/25BandMusic,Candidates,active,https://en.wikipedia.org/wiki/25band
5,Iran candidate,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,iranian_journalists,active,https://en.wikipedia.org/wiki/Mohammad_Mosaed
6,Iran actor,Omid Abtahi,AbtahiOmid,https://x.com/AbtahiOmid,iranian_actors,active,https://en.wikipedia.org/wiki/Omid_Abtahi
7,Iran actor,Mahnaz Afshar,AfsharMahnaz,https://x.com/AfsharMahnaz,iranian_actors,active,https://en.wikipedia.org/wiki/Mahnaz_Afshar
8,Iran candidate,Afshin Molavi,AfshinMolavi,https://x.com/AfshinMolavi,iranian_journalists,active,https://en.wikipedia.org/wiki/Afshin_Molavi
9,Iran candidate,Mahmoud Ahmadinejad,Ahmadinejad1956,https://x.com/Ahmadinejad1956,iranian_politicians,active,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad
10,Iran candidate,Ali Azimi,AliAzimiMusic,https://x.com/AliAzimiMusic,Candidates,active,https://en.wikipedia.org/wiki/Ali_Azimi
11,Iran candidate,Yerlan Alimbayev,AlimbayevYerlan,https://x.com/AlimbayevYerlan,Candidates,active,https://en.wikipedia.org/wiki/Yerlan_Alimbayev
12,Iran candidate,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,iranian_singers,active,https://en.wikipedia.org/wiki/Alireza_Talischi
13,Iran candidate,Amir Taheri,AmirTaheri4,https://x.com/AmirTaheri4,iranian_journalists,active,https://en.wikipedia.org/wiki/Amir_Taheri
14,Iran candidate,Anousheh Ansari,AnoushehAnsari,https://x.com/AnoushehAnsari,Candidates,active,https://en.wikipedia.org/wiki/Anousheh_Ansari
15,Iran candidate,Arash Markazi,ArashMarkazi,https://x.com/ArashMarkazi,iranian_journalists,active,https://en.wikipedia.org/wiki/Arash_Markazi
16,Iran actor,Bahman Ghobadi,ArminGhobadi,https://x.com/ArminGhobadi,iranian_actors,active,https://en.wikipedia.org/wiki/Bahman_Ghobadi
17,Iran candidate,Fadaei,AshkanFadaei,https://x.com/AshkanFadaei,iranian_singers,active,https://en.wikipedia.org/wiki/Fadaei
18,Iran candidate,Azadeh Ensha,AzadehEnsha,https://x.com/AzadehEnsha,iranian_journalists,active,https://en.wikipedia.org/wiki/Azadeh_Ensha
19,Iran candidate,Kasra Naji,BBCKasraNaji,https://x.com/BBCKasraNaji,iranian_journalists,active,https://en.wikipedia.org/wiki/Kasra_Naji
20,Iran writer,Jafar Panahi,BLOGS,https://x.com/BLOGS,iranian_writers,active,https://en.wikipedia.org/wiki/Jafar_Panahi
21,Iran candidate,Bahram Radan,BahramRadan,https://x.com/BahramRadan,Candidates,active,https://en.wikipedia.org/wiki/Bahram_Radan
22,Iran candidate,Abolhassan Banisadr,Banisadr,https://x.com/Banisadr,iranian_journalists,active,https://en.wikipedia.org/wiki/Abolhassan_Banisadr
23,Iran candidate,Behrouz Boochani,BehrouzBoochani,https://x.com/BehrouzBoochani,iranian_journalists,active,https://en.wikipedia.org/wiki/Behrouz_Boochani
24,Iran actor,Bita Elahian,BitaAlahyan,https://x.com/BitaAlahyan,iranian_actors,active,https://en.wikipedia.org/wiki/Bita_Elahian
