username,display_name,description,followers_count,following_count,statuses_count,location,profile_image_url,verified,account_status
music,Music,,9400000,117,21500,,https://pbs.twimg.com/profile_images/1999716844123422722/4nR0d_Ig_200x200.jpg,False,active
statedept,Department of State,"Leading U.S. foreign policy and American diplomacy since 1789. 
For all Department accounts: 
state.gov/social",6500000,445,85400,"Washington, DC",https://pbs.twimg.com/profile_images/1883303881632804864/d638Kku-_200x200.jpg,False,active
tcsavunma,T.C. Millî Savunma Bakanlığı,T.C. Millî Savunma Bakanlığı Resmî X Hesabı / Official X Account of the Republic of Türkiye Ministry of National Defence,3600000,34,25400,Bakanlıklar/ANKARA,https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_200x200.jpg,False,active
refugees,"UNHCR, the UN Refugee Agency","We protect the rights of refugees, stateless people and all who are forced to flee.
 We hide or delete comments with hate/spam/misinfo/disinfo.",2700000,2466,102000,120 countries,https://pbs.twimg.com/profile_images/486539514010013696/nwAvlZ0v_200x200.png,False,active
alikarimi_ak8,ali karimi,,2100000,30,631,تهران،ایران,https://pbs.twimg.com/profile_images/1526469339267866625/1B9GVkrM_200x200.jpg,False,active
IranIntl,ايران اينترنشنال,"#ایران_اینترنشنال تنها شبکه خبری ۲۴ ساعته فارسی‌زبان که تازه‌ترین خبرها را در سریع‌ترین زمان پوشش می‌دهد.
 00447830007000
 
telegram.me/iranintltv",2100000,61,326400,"London, UK",https://pbs.twimg.com/profile_images/1380225668428992513/midYaSKA_200x200.jpg,False,active
khamenei_ir,Khamenei.ir,"News, messages & statements from Imam Sayyid Ali Khamenei, Iran's Supreme Leader--- BN: 
@KhameneiBangla
 l AZ: 
@az_Khamenei
 l FA: 
@Khamenei_fa
 l AR: 
@ar_Khamenei",2000000,26,13200,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1302228092354736129/wnYxXfpl_200x200.jpg,False,active
amnesty,Amnesty International,"We defend human rights around the world. Let's get to work.
For media enquiries, please contact 
@amnestypress
 at press@amnesty.org",2000000,3550,28300,Global,https://pbs.twimg.com/profile_images/1103357372410617856/0V1h5QGq_200x200.png,False,active
iranintlbrk,ایران اینترنشنال - خبر فوری,"حساب خبر فوری و تازه‌ترین اخبار تلویزیون #ایران_اینترنشنال.
حساب اصلی ایران اینترنشنال: 
@IranIntl",1700000,9,295700,"London, UK",https://pbs.twimg.com/profile_images/1380229333277671429/wcsqRU42_200x200.jpg,False,active
JZarif,Javad Zarif,"Husband, father, grandfather; 
Founder/President of Possibilities Architects (
PAIAB.org)
Professor;
former diplomat, ambassador, foreign minister
Views personal",1600000,10,1478,,https://pbs.twimg.com/profile_images/1980968815040090112/MemVy5ke_200x200.jpg,False,active
PahlaviReza,Reza Pahlavi,"زن زندگی آزادی مرد میهن آبادی 
@PahlaviComms",1600000,67,4555,,https://pbs.twimg.com/profile_images/1213223562598850560/ZThdbU1H_200x200.jpg,False,active
SeppBlatter,Joseph S Blatter,Football Philosopher,1300000,282,2533,Switzerland,https://pbs.twimg.com/profile_images/1478717941826871297/gwYYqN0m_200x200.jpg,False,active
HaiderAlAbadi,Haider Al-Abadi حيدر العبادي,"Prime Minister- Iraq
2014 - 2018",1200000,1,6496,"Baghdad, Iraq",https://pbs.twimg.com/profile_images/1109153736738435072/KU97NEG-_200x200.jpg,False,active
V_and_A,V&A,The V&A is a family of museums dedicated to the power of creativity.,1200000,2143,27600,"South Kensington, London",https://pbs.twimg.com/profile_images/1699369248403963905/CWFLugLq_200x200.jpg,False,active
manotonews,اتاق خبر منوتو,WhatsApp/Telegram: +44 7590 899 999 #گزارشگرمنوتو,1200000,26,194400,London,https://pbs.twimg.com/profile_images/1462775861992689672/hrg33h66_200x200.jpg,False,active
manototv,تلویزیون منوتو,JOIN KON,1100000,21,54300,London,https://pbs.twimg.com/profile_images/1895195719041961984/zeTrCxha_200x200.jpg,False,active
Golshifteh,Golshifteh Farahani,,1000000,98,516,,https://pbs.twimg.com/profile_images/1175696821433327616/MpGnACeu_200x200.jpg,False,active
nourialmalikiiq,Nouri Al-Maliki,Leader of State of Law coalition,1000000,24,1042,"Baghdad, Iraq",https://pbs.twimg.com/profile_images/1204405751365562368/NSfKWkAW_200x200.jpg,False,active
