Name,Wikipedia_Link,wikidata_qid,wikidata_url
Abdul Aziz Malazada,https://en.wikipedia.org/wiki/Abdul_Aziz_Malazada,Q5928065,https://www.wikidata.org/wiki/Q5928065
Ali Afshari,https://en.wikipedia.org/wiki/Ali_Afshari,Q4724564,https://www.wikidata.org/wiki/Q4724564
Jamal al-Din al-Afghani,https://en.wikipedia.org/wiki/Jamal_al-Din_al-Afghani,Q298434,https://www.wikidata.org/wiki/Q298434
Naza Alakija,https://en.wikipedia.org/wiki/Naza_Alakija,Q106992486,https://www.wikidata.org/wiki/Q106992486
Mohammad-Reza Ali-Zamani,https://en.wikipedia.org/wiki/Mohammad-Reza_Ali-Zamani,Q3380720,https://www.wikidata.org/wiki/Q3380720
Mohsen Alijani-Zamani,https://en.wikipedia.org/wiki/Mohsen_Alijani-Zamani,Q24759964,https://www.wikidata.org/wiki/Q24759964
Alireza Shir Mohammad Ali,https://en.wikipedia.org/wiki/Alireza_Shir_Mohammad_Ali,Q64564909,https://www.wikidata.org/wiki/Q64564909
Taqi Arani,https://en.wikipedia.org/wiki/Taqi_Arani,Q3113725,https://www.wikidata.org/wiki/Q3113725
Yasaman Aryani,https://en.wikipedia.org/wiki/Yasaman_Aryani,Q71330356,https://www.wikidata.org/wiki/Q71330356
Atefe Asadi,https://en.wikipedia.org/wiki/Atefe_Asadi,Q131274387,https://www.wikidata.org/wiki/Q131274387
Akbar Atri,https://en.wikipedia.org/wiki/Akbar_Atri,Q4700405,https://www.wikidata.org/wiki/Q4700405
Yousef Azizi (Bani-Torof),https://en.wikipedia.org/wiki/Yousef_Azizi_%28Bani-Torof%29,,
Reza Baluchi,https://en.wikipedia.org/wiki/Reza_Baluchi,Q22002459,https://www.wikidata.org/wiki/Q22002459
Annie Basil,https://en.wikipedia.org/wiki/Annie_Basil,Q110410136,https://www.wikidata.org/wiki/Q110410136
Mahmudali Chehregani,https://en.wikipedia.org/wiki/Mahmudali_Chehregani,Q2512635,https://www.wikidata.org/wiki/Q2512635
Azadeh Bokaie Dadgar,https://en.wikipedia.org/wiki/Azadeh_Bokaie_Dadgar,Q48699999,https://www.wikidata.org/wiki/Q48699999
Keramat Daneshian,https://en.wikipedia.org/wiki/Keramat_Daneshian,Q10290795,https://www.wikidata.org/wiki/Q10290795
Parvin Darabi,https://en.wikipedia.org/wiki/Parvin_Darabi,Q7141332,https://www.wikidata.org/wiki/Q7141332
Dariush (singer),https://en.wikipedia.org/wiki/Dariush_%28singer%29,,
Pirouz Davani,https://en.wikipedia.org/wiki/Pirouz_Davani,Q7198084,https://www.wikidata.org/wiki/Q7198084
Masoud Dehnamaki,https://en.wikipedia.org/wiki/Masoud_Dehnamaki,Q6783871,https://www.wikidata.org/wiki/Q6783871
Ezzat Ebrahim-Nejad,https://en.wikipedia.org/wiki/Ezzat_Ebrahim-Nejad,Q5423459,https://www.wikidata.org/wiki/Q5423459
Amir Farshad Ebrahimi,https://en.wikipedia.org/wiki/Amir_Farshad_Ebrahimi,Q4746549,https://www.wikidata.org/wiki/Q4746549
Elahe Ejbari,https://en.wikipedia.org/wiki/Elahe_Ejbari,Q126179602,https://www.wikidata.org/wiki/Q126179602
Babak Ejlali,https://en.wikipedia.org/wiki/Babak_Ejlali,Q4837457,https://www.wikidata.org/wiki/Q4837457
Maryam Faghihimani,https://en.wikipedia.org/wiki/Maryam_Faghihimani,Q20684076,https://www.wikidata.org/wiki/Q20684076
Roozbeh Farahanipour,https://en.wikipedia.org/wiki/Roozbeh_Farahanipour,Q7366687,https://www.wikidata.org/wiki/Q7366687
Mitra Farazandeh,https://en.wikipedia.org/wiki/Mitra_Farazandeh,Q58916342,https://www.wikidata.org/wiki/Q58916342
Ehsan Fatahian,https://en.wikipedia.org/wiki/Ehsan_Fatahian,Q983123,https://www.wikidata.org/wiki/Q983123
Payam Feili,https://en.wikipedia.org/wiki/Payam_Feili,Q21854932,https://www.wikidata.org/wiki/Q21854932
Parastou Forouhar,https://en.wikipedia.org/wiki/Parastou_Forouhar,Q2051895,https://www.wikidata.org/wiki/Q2051895
Hadi Ghabel,https://en.wikipedia.org/wiki/Hadi_Ghabel,Q5637825,https://www.wikidata.org/wiki/Q5637825
Abolfazl Ghadyani,https://en.wikipedia.org/wiki/Abolfazl_Ghadyani,Q4668246,https://www.wikidata.org/wiki/Q4668246
Death of Sina Ghanbari,https://en.wikipedia.org/wiki/Death_of_Sina_Ghanbari,Q47125943,https://www.wikidata.org/wiki/Q47125943
Parviz Ghelichkhani,https://en.wikipedia.org/wiki/Parviz_Ghelichkhani,Q7141361,https://www.wikidata.org/wiki/Q7141361
Shaya Goldoust,https://en.wikipedia.org/wiki/Shaya_Goldoust,Q116973459,https://www.wikidata.org/wiki/Q116973459
Motahereh Gounei,https://en.wikipedia.org/wiki/Motahereh_Gounei,Q125740126,https://www.wikidata.org/wiki/Q125740126
Rahman Hatfi,https://en.wikipedia.org/wiki/Rahman_Hatfi,Q5959104,https://www.wikidata.org/wiki/Q5959104
Abdolhamid Ismaeelzahi,https://en.wikipedia.org/wiki/Abdolhamid_Ismaeelzahi,Q6895710,https://www.wikidata.org/wiki/Q6895710
Alireza Jafarzadeh,https://en.wikipedia.org/wiki/Alireza_Jafarzadeh,Q4726877,https://www.wikidata.org/wiki/Q4726877
Mohammadreza Jalaeipour,https://en.wikipedia.org/wiki/Mohammadreza_Jalaeipour,Q5955748,https://www.wikidata.org/wiki/Q5955748
Taraneh Javanbakht,https://en.wikipedia.org/wiki/Taraneh_Javanbakht,Q262354,https://www.wikidata.org/wiki/Q262354
Ali Karimi,https://en.wikipedia.org/wiki/Ali_Karimi,Q217384,https://www.wikidata.org/wiki/Q217384
Fatemeh Karroubi,https://en.wikipedia.org/wiki/Fatemeh_Karroubi,Q542378,https://www.wikidata.org/wiki/Q542378
Media Kashigar,https://en.wikipedia.org/wiki/Media_Kashigar,Q5876363,https://www.wikidata.org/wiki/Q5876363
Mirza Reza Kermani,https://en.wikipedia.org/wiki/Mirza_Reza_Kermani,Q3316201,https://www.wikidata.org/wiki/Q3316201
Ahmad Khaleghi Damghani,https://en.wikipedia.org/wiki/Ahmad_Khaleghi_Damghani,Q28673234,https://www.wikidata.org/wiki/Q28673234
Hossein Khezri,https://en.wikipedia.org/wiki/Hossein_Khezri,Q5956944,https://www.wikidata.org/wiki/Q5956944
Ako Kurdnasab,https://en.wikipedia.org/wiki/Ako_Kurdnasab,Q4701486,https://www.wikidata.org/wiki/Q4701486
Habibollah Latifi,https://en.wikipedia.org/wiki/Habibollah_Latifi,Q3676500,https://www.wikidata.org/wiki/Q3676500
