Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Abdul Aziz Malazada,https://en.wikipedia.org/wiki/Abdul_Aziz_Malazada,Q5928065,https://www.wikidata.org/wiki/Q5928065,male,Islamic jurist; mufti,Iran,Central District,1916-12-01T00:00:00Z
Ali Afshari,https://en.wikipedia.org/wiki/Ali_Afshari,Q4724564,https://www.wikidata.org/wiki/Q4724564,male,,Iran,,1973-01-01T00:00:00Z
Jamal al-Din al-Afghani,https://en.wikipedia.org/wiki/Jamal_al-Din_al-Afghani,Q298434,https://www.wikidata.org/wiki/Q298434,male,journal editor; journalist; theologian,Afghanistan,Asadabad,1838-01-01T00:00:00Z
Naza Alakija,https://en.wikipedia.org/wiki/Naza_Alakija,Q106992486,https://www.wikidata.org/wiki/Q106992486,female,environmentalist; manufacturer,,,
Mohammad-Reza Ali-Zamani,https://en.wikipedia.org/wiki/Mohammad-Reza_Ali-Zamani,Q3380720,https://www.wikidata.org/wiki/Q3380720,male,,Iran,Iran,1972-01-01T00:00:00Z
Mohsen Alijani-Zamani,https://en.wikipedia.org/wiki/Mohsen_Alijani-Zamani,Q24759964,https://www.wikidata.org/wiki/Q24759964,male,physician; politician,,Ray,
Alireza Shir Mohammad Ali,https://en.wikipedia.org/wiki/Alireza_Shir_Mohammad_Ali,Q64564909,https://www.wikidata.org/wiki/Q64564909,male,,,Tehran,1998-01-01T00:00:00Z
Taqi Arani,https://en.wikipedia.org/wiki/Taqi_Arani,Q3113725,https://www.wikidata.org/wiki/Q3113725,male,journalist,Iran,Tabriz,1902-09-05T00:00:00Z
Yasaman Aryani,https://en.wikipedia.org/wiki/Yasaman_Aryani,Q71330356,https://www.wikidata.org/wiki/Q71330356,female,women's rights activist,Iran,,1950-01-01T00:00:00Z
Atefe Asadi,https://en.wikipedia.org/wiki/Atefe_Asadi,Q131274387,https://www.wikidata.org/wiki/Q131274387,female,poet; translator; writer,Iran,Tehran,1994-04-01T00:00:00Z
Akbar Atri,https://en.wikipedia.org/wiki/Akbar_Atri,Q4700405,https://www.wikidata.org/wiki/Q4700405,male,politician,Iran,mirage,
Yousef Azizi (Bani-Torof),https://en.wikipedia.org/wiki/Yousef_Azizi_%28Bani-Torof%29,,,,,,,
Reza Baluchi,https://en.wikipedia.org/wiki/Reza_Baluchi,Q22002459,https://www.wikidata.org/wiki/Q22002459,male,,,,1972-01-01T00:00:00Z
Annie Basil,https://en.wikipedia.org/wiki/Annie_Basil,Q110410136,https://www.wikidata.org/wiki/Q110410136,female,actor; stage actor,,,1911-01-01T00:00:00Z
Mahmudali Chehregani,https://en.wikipedia.org/wiki/Mahmudali_Chehregani,Q2512635,https://www.wikidata.org/wiki/Q2512635,male,politician,Iran,Azerbaijan,1958-03-05T00:00:00Z
Azadeh Bokaie Dadgar,https://en.wikipedia.org/wiki/Azadeh_Bokaie_Dadgar,Q48699999,https://www.wikidata.org/wiki/Q48699999,female,journalist,,Iran,1980-08-06T00:00:00Z
Keramat Daneshian,https://en.wikipedia.org/wiki/Keramat_Daneshian,Q10290795,https://www.wikidata.org/wiki/Q10290795,male,poet,Iran,Shiraz,1944-01-01T00:00:00Z
Parvin Darabi,https://en.wikipedia.org/wiki/Parvin_Darabi,Q7141332,https://www.wikidata.org/wiki/Q7141332,female,activist,Iran,,1941-01-01T00:00:00Z
Dariush (singer),https://en.wikipedia.org/wiki/Dariush_%28singer%29,,,,,,,
Pirouz Davani,https://en.wikipedia.org/wiki/Pirouz_Davani,Q7198084,https://www.wikidata.org/wiki/Q7198084,male,journalist,Iran,Iran,1961-01-01T00:00:00Z
Masoud Dehnamaki,https://en.wikipedia.org/wiki/Masoud_Dehnamaki,Q6783871,https://www.wikidata.org/wiki/Q6783871,male,blogger; film director; journalist; politician; screenwriter; television director; writer,Iran,Ahar County,1969-12-29T00:00:00Z
Ezzat Ebrahim-Nejad,https://en.wikipedia.org/wiki/Ezzat_Ebrahim-Nejad,Q5423459,https://www.wikidata.org/wiki/Q5423459,male,politician,Iran,,1975-01-01T00:00:00Z
Amir Farshad Ebrahimi,https://en.wikipedia.org/wiki/Amir_Farshad_Ebrahimi,Q4746549,https://www.wikidata.org/wiki/Q4746549,male,activist; blogger; journalist,Iran,Tehran,1975-08-14T00:00:00Z
