Name,Wikipedia_Link,wikidata_qid,wikidata_url
Hadi Ahmadi,https://en.wikipedia.org/wiki/Hadi_Ahmadi,Q131545595,https://www.wikidata.org/wiki/Q131545595
Einollah Safouri,https://en.wikipedia.org/wiki/Einollah_Safouri,Q136399393,https://www.wikidata.org/wiki/Q136399393
Mahlagha Jaberi,https://en.wikipedia.org/wiki/Mahlagha_Jaberi,Q56754162,https://www.wikidata.org/wiki/Q56754162
Shahram Lasemi,https://en.wikipedia.org/wiki/Shahram_Lasemi,Q20110983,https://www.wikidata.org/wiki/Q20110983
Reza Servati,https://en.wikipedia.org/wiki/Reza_Servati,Q65195749,https://www.wikidata.org/wiki/Q65195749
Habib Tajmiri,https://en.wikipedia.org/wiki/Habib_Tajmiri,Q131958509,https://www.wikidata.org/wiki/Q131958509
Jonathan Ahdout,https://en.wikipedia.org/wiki/Jonathan_Ahdout,Q4808288,https://www.wikidata.org/wiki/Q4808288
Tehran Von Ghasri,https://en.wikipedia.org/wiki/Tehran_Von_Ghasri,Q30072605,https://www.wikidata.org/wiki/Q30072605
Arian Moayed,https://en.wikipedia.org/wiki/Arian_Moayed,Q4790207,https://www.wikidata.org/wiki/Q4790207
Zinat Pirzadeh,https://en.wikipedia.org/wiki/Zinat_Pirzadeh,Q3656326,https://www.wikidata.org/wiki/Q3656326
Nima Taleghani,https://en.wikipedia.org/wiki/Nima_Taleghani,Q121161990,https://www.wikidata.org/wiki/Q121161990
List of Iranian actresses,https://en.wikipedia.org/wiki/List_of_Iranian_actresses,Q6574429,https://www.wikidata.org/wiki/Q6574429
Shirin Abedinirad,https://en.wikipedia.org/wiki/Shirin_Abedinirad,Q44070801,https://www.wikidata.org/wiki/Q44070801
Roya Afshar,https://en.wikipedia.org/wiki/Roya_Afshar,Q16045418,https://www.wikidata.org/wiki/Q16045418
Saghar Azizi,https://en.wikipedia.org/wiki/Saghar_Azizi,Q24817894,https://www.wikidata.org/wiki/Q24817894
Farnaz Rahnama,https://en.wikipedia.org/wiki/Farnaz_Rahnama,Q16050896,https://www.wikidata.org/wiki/Q16050896
Marjaneh Golchin,https://en.wikipedia.org/wiki/Marjaneh_Golchin,Q5938113,https://www.wikidata.org/wiki/Q5938113
Sahar Goldoost,https://en.wikipedia.org/wiki/Sahar_Goldoost,Q134077433,https://www.wikidata.org/wiki/Q134077433
Rana Gorgani,https://en.wikipedia.org/wiki/Rana_Gorgani,Q105490090,https://www.wikidata.org/wiki/Q105490090
Anahita Khalatbari,https://en.wikipedia.org/wiki/Anahita_Khalatbari,Q16209968,https://www.wikidata.org/wiki/Q16209968
Negin Kianfar,https://en.wikipedia.org/wiki/Negin_Kianfar,Q6987350,https://www.wikidata.org/wiki/Q6987350
Setareh Maleki,https://en.wikipedia.org/wiki/Setareh_Maleki,Q126873958,https://www.wikidata.org/wiki/Q126873958
Fatemeh Masoudifar,https://en.wikipedia.org/wiki/Fatemeh_Masoudifar,Q108760111,https://www.wikidata.org/wiki/Q108760111
Ayden Mayeri,https://en.wikipedia.org/wiki/Ayden_Mayeri,Q64438262,https://www.wikidata.org/wiki/Q64438262
Sepideh Moafi,https://en.wikipedia.org/wiki/Sepideh_Moafi,Q66142225,https://www.wikidata.org/wiki/Q66142225
Elham Nami,https://en.wikipedia.org/wiki/Elham_Nami,Q58878015,https://www.wikidata.org/wiki/Q58878015
Tarlan Parvaneh,https://en.wikipedia.org/wiki/Tarlan_Parvaneh,Q5949346,https://www.wikidata.org/wiki/Q5949346
Mahsa Rostami,https://en.wikipedia.org/wiki/Mahsa_Rostami,Q126874187,https://www.wikidata.org/wiki/Q126874187
Shahrzad Seifi,https://en.wikipedia.org/wiki/Shahrzad_Seifi,Q108600425,https://www.wikidata.org/wiki/Q108600425
Minoo Sharifi,https://en.wikipedia.org/wiki/Minoo_Sharifi,Q106652674,https://www.wikidata.org/wiki/Q106652674
Nazli Tabatabai-Khatambakhsh,https://en.wikipedia.org/wiki/Nazli_Tabatabai-Khatambakhsh,Q22279374,https://www.wikidata.org/wiki/Q22279374
Fakhrozzaman Jabbar Vaziri,https://en.wikipedia.org/wiki/Fakhrozzaman_Jabbar_Vaziri,Q5666751,https://www.wikidata.org/wiki/Q5666751
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari,Q6749430,https://www.wikidata.org/wiki/Q6749430
Saman Arastoo,https://en.wikipedia.org/wiki/Saman_Arastoo,Q5906853,https://www.wikidata.org/wiki/Q5906853
Amina Maher,https://en.wikipedia.org/wiki/Amina_Maher,Q22278996,https://www.wikidata.org/wiki/Q22278996
Pooya Mohseni,https://en.wikipedia.org/wiki/Pooya_Mohseni,Q116820648,https://www.wikidata.org/wiki/Q116820648
List of Iranian male actors,https://en.wikipedia.org/wiki/List_of_Iranian_male_actors,Q6574428,https://www.wikidata.org/wiki/Q6574428
Mostafa Abdollahi,https://en.wikipedia.org/wiki/Mostafa_Abdollahi,Q16047387,https://www.wikidata.org/wiki/Q16047387
