Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Hamzeh Ali Pahlevanpour,https://en.wikipedia.org/wiki/Hamzeh_Ali_Pahlevanpour,Q131841388,https://www.wikidata.org/wiki/Q131841388,male,athlete; wrestler,Iran,Tehran,
Mohammad Arzandeh,https://en.wikipedia.org/wiki/Mohammad_Arzandeh,Q3318919,https://www.wikidata.org/wiki/Q3318919,male,athletics competitor,Iran,Borujen,1987-10-30T00:00:00Z
Rouhollah Askari,https://en.wikipedia.org/wiki/Rouhollah_Askari,Q7370928,https://www.wikidata.org/wiki/Q7370928,male,athletics competitor,Iran,Borujen,1982-01-08T00:00:00Z
Nasser Babapour,https://en.wikipedia.org/wiki/Nasser_Babapour,Q29963919,https://www.wikidata.org/wiki/Q29963919,male,athlete; athletics competitor,Iran,,1957-11-06T00:00:00Z
Ali Baghbanbashi,https://en.wikipedia.org/wiki/Ali_Baghbanbashi,Q4724704,https://www.wikidata.org/wiki/Q4724704,male,athletics competitor,Iran,Torqabeh,1924-09-06T00:00:00Z
Nazli Bayat Makoo,https://en.wikipedia.org/wiki/Nazli_Bayat_Makoo,Q47002890,https://www.wikidata.org/wiki/Q47002890,female,athletics competitor,Iran,,1945-09-16T00:00:00Z
Ayoub Bodaghi,https://en.wikipedia.org/wiki/Ayoub_Bodaghi,Q6474925,https://www.wikidata.org/wiki/Q6474925,male,athletics competitor; sprinter,Iran,Tabriz,1948-03-21T00:00:00Z
Reza Entezari,https://en.wikipedia.org/wiki/Reza_Entezari,Q31202722,https://www.wikidata.org/wiki/Q31202722,male,athletics competitor,Iran,Shemiran,1946-07-31T00:00:00Z
Najmeddin Farabi,https://en.wikipedia.org/wiki/Najmeddin_Farabi,Q25424252,https://www.wikidata.org/wiki/Q25424252,male,athletics competitor,Iran,,1933-01-01T00:00:00Z
Farzaneh Fasihi,https://en.wikipedia.org/wiki/Farzaneh_Fasihi,Q48913840,https://www.wikidata.org/wiki/Q48913840,female,sprinter,Iran,Isfahan,1993-01-03T00:00:00Z
Juliet Geverkof,https://en.wikipedia.org/wiki/Juliet_Geverkof,Q25423742,https://www.wikidata.org/wiki/Q25423742,female,athletics competitor,Iran,,1945-08-18T00:00:00Z
Hossein Ghafourizadeh,https://en.wikipedia.org/wiki/Hossein_Ghafourizadeh,Q34225501,https://www.wikidata.org/wiki/Q34225501,male,sprinter,Iran,Isfahan,1943-06-16T00:00:00Z
Pezhman Ghalehnoei,https://en.wikipedia.org/wiki/Pezhman_Ghalehnoei,Q26217983,https://www.wikidata.org/wiki/Q26217983,male,athletics competitor,Iran,Kordkuy,1992-01-29T00:00:00Z
Reza Ghasemi,https://en.wikipedia.org/wiki/Reza_Ghasemi,Q3371012,https://www.wikidata.org/wiki/Q3371012,male,athletics competitor,Iran,Isfahan,1987-07-24T00:00:00Z
Teymour Ghiasi,https://en.wikipedia.org/wiki/Teymour_Ghiasi,Q7708567,https://www.wikidata.org/wiki/Q7708567,male,athletics competitor,Iran,Dargaz,1946-04-12T00:00:00Z
Ehsan Haddadi,https://en.wikipedia.org/wiki/Ehsan_Haddadi,Q1771,https://www.wikidata.org/wiki/Q1771,male,athletics competitor,Iran,Tehran,1985-01-20T00:00:00Z
Salman Hesam,https://en.wikipedia.org/wiki/Salman_Hesam,Q47309509,https://www.wikidata.org/wiki/Q47309509,male,athletics competitor,Iran,,1947-11-30T00:00:00Z
