Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Mohammad-Ali Abtahi,https://en.wikipedia.org/wiki/Mohammad-Ali_Abtahi,Q443298,https://www.wikidata.org/wiki/Q443298,male,blogger; politician; theologian,Iran,Mashhad,1958-09-29T00:00:00Z,,
Bahara Alavi,https://en.wikipedia.org/wiki/Bahara_Alavi,Q105350894,https://www.wikidata.org/wiki/Q105350894,female,,,Iran,1989-01-01T00:00:00Z,,
Mohammad Alikhani (politician),https://en.wikipedia.org/wiki/Mohammad_Alikhani_%28politician%29,,,,,,,,,
Javad Alizadeh,https://en.wikipedia.org/wiki/Javad_Alizadeh,Q6165073,https://www.wikidata.org/wiki/Q6165073,male,blogger; caricaturist; cartoonist; journalist; painter,Iran,Ardabil,1953-01-09T00:00:00Z,,
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari,Q7908627,https://www.wikidata.org/wiki/Q7908627,male,blogger; human rights defender; journalist,Iran,Tehran,1986-04-03T00:00:00Z,iranrights_org,https://x.com/iranrights_org
Ahmad Batebi,https://en.wikipedia.org/wiki/Ahmad_Batebi,Q389117,https://www.wikidata.org/wiki/Q389117,male,blogger; journalist; photographer,Iran,Shiraz,1977-07-25T00:00:00Z,,
Sattar Beheshti,https://en.wikipedia.org/wiki/Sattar_Beheshti,Q24895,https://www.wikidata.org/wiki/Q24895,male,blogger,Iran,Robat Karim,1977-01-01T00:00:00Z,,
Masoud Behnoud,https://en.wikipedia.org/wiki/Masoud_Behnoud,Q3297815,https://www.wikidata.org/wiki/Q3297815,male,blogger; film director; historian; journalist; novelist; screenwriter; writer,Iran,Tehran,1947-01-01T00:00:00Z,,
Dariush (singer),https://en.wikipedia.org/wiki/Dariush_%28singer%29,,,,,,,,,
Bahman Daroshafaei,https://en.wikipedia.org/wiki/Bahman_Daroshafaei,Q22583108,https://www.wikidata.org/wiki/Q22583108,male,blogger; journalist; translator,Iran; United Kingdom,,,,
Hossein Derakhshan,https://en.wikipedia.org/wiki/Hossein_Derakhshan,Q1362305,https://www.wikidata.org/wiki/Q1362305,male,blogger; journalist,Canada; Iran,Iran,1975-01-07T00:00:00Z,h0d3r,https://x.com/h0d3r
Amir Farshad Ebrahimi,https://en.wikipedia.org/wiki/Amir_Farshad_Ebrahimi,Q4746549,https://www.wikidata.org/wiki/Q4746549,male,activist; blogger; journalist,Iran,Tehran,1975-08-14T00:00:00Z,,
Masoumeh Ebtekar,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar,Q738196,https://www.wikidata.org/wiki/Q738196,female,blogger; environmentalist; immunologist; journalist; politician; translator; writer,Iran,Tehran,1960-09-21T00:00:00Z,ebtekarm,https://x.com/ebtekarm
Babak Ejlali,https://en.wikipedia.org/wiki/Babak_Ejlali,Q4837457,https://www.wikidata.org/wiki/Q4837457,male,blogger; correspondent,Iran,Tabriz,1981-01-01T00:00:00Z,,
Mehran Ghassemi,https://en.wikipedia.org/wiki/Mehran_Ghassemi,Q3304565,https://www.wikidata.org/wiki/Q3304565,male,blogger; journalist; linguist; translator,Iran,Shiraz,1977-04-08T00:00:00Z,,
Hamid Golpira,https://en.wikipedia.org/wiki/Hamid_Golpira,Q20668464,https://www.wikidata.org/wiki/Q20668464,male,activist; blogger; journalist; translator; writer,Iran,Baltimore,1960-01-16T00:00:00Z,,
Kouhyar Goudarzi,https://en.wikipedia.org/wiki/Kouhyar_Goudarzi,Q6434510,https://www.wikidata.org/wiki/Q6434510,male,blogger; human rights defender; journalist,Iran,Isfahan,1986-05-05T00:00:00Z,,
Mehdi Jami,https://en.wikipedia.org/wiki/Mehdi_Jami,Q6809325,https://www.wikidata.org/wiki/Q6809325,male,blogger; journalist,Iran,Mashhad,1961-02-01T00:00:00Z,,
Mehdi Khalaji,https://en.wikipedia.org/wiki/Mehdi_Khalaji,Q6809332,https://www.wikidata.org/wiki/Q6809332,male,blogger; journalist; linguist; novelist; translator; writer,Iran,Qom,1973-09-21T00:00:00Z,MehdiKhalaji,https://x.com/MehdiKhalaji
Nikahang Kowsar,https://en.wikipedia.org/wiki/Nikahang_Kowsar,Q7034708,https://www.wikidata.org/wiki/Q7034708,male,blogger; caricaturist; cartoonist; draftsperson; journalist,Iran,Tehran,1969-10-27T00:00:00Z,,
Masoud Lavasani,https://en.wikipedia.org/wiki/Masoud_Lavasani,Q6783879,https://www.wikidata.org/wiki/Q6783879,male,blogger,Iran,Tehran,1979-08-01T00:00:00Z,,
Omid Memarian,https://en.wikipedia.org/wiki/Omid_Memarian,Q7090170,https://www.wikidata.org/wiki/Q7090170,male,blogger; journalist,,,1974-01-01T00:00:00Z,,
Omid Reza Mir Sayafi,https://en.wikipedia.org/wiki/Omid_Reza_Mir_Sayafi,Q7090179,https://www.wikidata.org/wiki/Q7090179,male,blogger; journalist,Iran,,1979-01-01T00:00:00Z,,
Amir Emad Mirmirani,https://en.wikipedia.org/wiki/Amir_Emad_Mirmirani,Q114444277,https://www.wikidata.org/wiki/Q114444277,male,Internet activist; open access activist; open content activist,,,,jadi,https://x.com/jadi
Sina Motalebi,https://en.wikipedia.org/wiki/Sina_Motalebi,Q3246737,https://www.wikidata.org/wiki/Q3246737,male,blogger; journalist,Iran,Iran,1973-04-21T00:00:00Z,,
Mehrnoush Najafi Ragheb,https://en.wikipedia.org/wiki/Mehrnoush_Najafi_Ragheb,Q9384663,https://www.wikidata.org/wiki/Q9384663,female,blogger; lawyer; politician,Iran,,1979-02-03T00:00:00Z,,
Mohammad Nourizad,https://en.wikipedia.org/wiki/Mohammad_Nourizad,Q6892273,https://www.wikidata.org/wiki/Q6892273,male,blogger; film director; politician; screenwriter; television director,Iran,Tehran,1952-12-10T00:00:00Z,,
Vahid Online,https://en.wikipedia.org/wiki/Vahid_Online,Q22279498,https://www.wikidata.org/wiki/Q22279498,male,blogger,Iran,,,vahid,https://x.com/vahid
Maryam Palizban,https://en.wikipedia.org/wiki/Maryam_Palizban,Q6781089,https://www.wikidata.org/wiki/Q6781089,female,actor; blogger; poet; writer,Iran,Urmia,1981-10-06T00:00:00Z,,
Mohammad Reza Pourshajari,https://en.wikipedia.org/wiki/Mohammad_Reza_Pourshajari,Q20987917,https://www.wikidata.org/wiki/Q20987917,male,blogger,,,1901-01-01T00:00:00Z,,
Keyvan Rafiee,https://en.wikipedia.org/wiki/Keyvan_Rafiee,Q5947579,https://www.wikidata.org/wiki/Q5947579,male,blogger; human rights defender; journalist,,Iran,,,
Marzieh Rasouli,https://en.wikipedia.org/wiki/Marzieh_Rasouli,Q17336267,https://www.wikidata.org/wiki/Q17336267,female,blogger; journalist,Iran,,1953-01-01T00:00:00Z,,
Sepehr Salimi,https://en.wikipedia.org/wiki/Sepehr_Salimi,Q20110396,https://www.wikidata.org/wiki/Q20110396,male,blogger; essayist; journalist,Iran,Masjed Soleiman,1981-03-10T00:00:00Z,,
Mojtaba Saminejad,https://en.wikipedia.org/wiki/Mojtaba_Saminejad,Q6895173,https://www.wikidata.org/wiki/Q6895173,male,blogger; journalist; writer,Iran,Tehran,1980-09-30T00:00:00Z,,
Somayeh Tohidlou,https://en.wikipedia.org/wiki/Somayeh_Tohidlou,Q7409590,https://www.wikidata.org/wiki/Q7409590,female,blogger,Iran,,1979-01-01T00:00:00Z,,
