Name,Wikipedia_Link
Saeed Aghakhani,https://en.wikipedia.org/wiki/Saeed_Aghakhani
Hamed Ahangi,https://en.wikipedia.org/wiki/Hamed_Ahangi
Morteza Ahmadi,https://en.wikipedia.org/wiki/Morteza_Ahmadi
Arzhang Amirfazli,https://en.wikipedia.org/wiki/Arzhang_Amirfazli
Siamak Ansari,https://en.wikipedia.org/wiki/Siamak_Ansari
Reza Attaran,https://en.wikipedia.org/wiki/Reza_Attaran
Mohammad Bahrani,https://en.wikipedia.org/wiki/Mohammad_Bahrani
Shaghayegh Dehghan,https://en.wikipedia.org/wiki/Shaghayegh_Dehghan
Javad Ezzati,https://en.wikipedia.org/wiki/Javad_Ezzati
Reza Fieze Norouzi,https://en.wikipedia.org/wiki/Reza_Fieze_Norouzi
Hushang Harirchiyan,https://en.wikipedia.org/wiki/Hushang_Harirchiyan
Amin Hayai,https://en.wikipedia.org/wiki/Amin_Hayai
Rambod Javan,https://en.wikipedia.org/wiki/Rambod_Javan
Hadi Kazemi,https://en.wikipedia.org/wiki/Hadi_Kazemi
Aref Lorestani,https://en.wikipedia.org/wiki/Aref_Lorestani
Mehran Modiri,https://en.wikipedia.org/wiki/Mehran_Modiri
Mohsen Jafari Rad,https://en.wikipedia.org/wiki/Mohsen_Jafari_Rad
Mohammad Naderi (actor),https://en.wikipedia.org/wiki/Mohammad_Naderi_%28actor%29
Saeed Poursamimi,https://en.wikipedia.org/wiki/Saeed_Poursamimi
Ali Pourtash,https://en.wikipedia.org/wiki/Ali_Pourtash
Javad Razavian,https://en.wikipedia.org/wiki/Javad_Razavian
Parviz Sayyad,https://en.wikipedia.org/wiki/Parviz_Sayyad
Soroush Sehhat,https://en.wikipedia.org/wiki/Soroush_Sehhat
Nima Shabannejad,https://en.wikipedia.org/wiki/Nima_Shabannejad
Reza Shafiei-Jam,https://en.wikipedia.org/wiki/Reza_Shafiei-Jam
Hootan Shakiba,https://en.wikipedia.org/wiki/Hootan_Shakiba
Nosratollah Vahdat,https://en.wikipedia.org/wiki/Nosratollah_Vahdat
Elika Abdolrazzaghi,https://en.wikipedia.org/wiki/Elika_Abdolrazzaghi
Enissa Amani,https://en.wikipedia.org/wiki/Enissa_Amani
Behnoosh Bakhtiari,https://en.wikipedia.org/wiki/Behnoosh_Bakhtiari
Farrokhlagha Houshmand,https://en.wikipedia.org/wiki/Farrokhlagha_Houshmand
Iranian stand-up comedy,https://en.wikipedia.org/wiki/Iranian_stand-up_comedy
Dan Ahdoot,https://en.wikipedia.org/wiki/Dan_Ahdoot
Baba Ali,https://en.wikipedia.org/wiki/Baba_Ali
Sepand Amirsoleimani,https://en.wikipedia.org/wiki/Sepand_Amirsoleimani
The Iron Sheik,https://en.wikipedia.org/wiki/The_Iron_Sheik
Amir Mahdi Jule,https://en.wikipedia.org/wiki/Amir_Mahdi_Jule
Mehran Khaghani,https://en.wikipedia.org/wiki/Mehran_Khaghani
Hadi Khorsandi,https://en.wikipedia.org/wiki/Hadi_Khorsandi
Ebrahim Nabavi,https://en.wikipedia.org/wiki/Ebrahim_Nabavi
