Name,Wikipedia_Link
Mahboubeh Abbasgholizadeh,https://en.wikipedia.org/wiki/Mahboubeh_Abbasgholizadeh
Ali Abdi (activist),https://en.wikipedia.org/wiki/Ali_Abdi_%28activist%29
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar
Mina Ahadi,https://en.wikipedia.org/wiki/Mina_Ahadi
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari
Raheleh Ahmadi,https://en.wikipedia.org/wiki/Raheleh_Ahmadi
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini
Shamseddin Amir-Alai,https://en.wikipedia.org/wiki/Shamseddin_Amir-Alai
Mahmood Amiry-Moghaddam,https://en.wikipedia.org/wiki/Mahmood_Amiry-Moghaddam
Parvin Ardalan,https://en.wikipedia.org/wiki/Parvin_Ardalan
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari
Emadeddin Baghi,https://en.wikipedia.org/wiki/Emadeddin_Baghi
Maziar Bahari,https://en.wikipedia.org/wiki/Maziar_Bahari
Jila Baniyaghoob,https://en.wikipedia.org/wiki/Jila_Baniyaghoob
Ahmad Batebi,https://en.wikipedia.org/wiki/Ahmad_Batebi
Mehdi Bazargan,https://en.wikipedia.org/wiki/Mehdi_Bazargan
Pantea Beigi,https://en.wikipedia.org/wiki/Pantea_Beigi
Hossein Kazemeyni Boroujerdi,https://en.wikipedia.org/wiki/Hossein_Kazemeyni_Boroujerdi
Adib Boroumand,https://en.wikipedia.org/wiki/Adib_Boroumand
Habib Chaab,https://en.wikipedia.org/wiki/Habib_Chaab
Mohammad Ali Dadkhah,https://en.wikipedia.org/wiki/Mohammad_Ali_Dadkhah
Mohammad Davari,https://en.wikipedia.org/wiki/Mohammad_Davari
Arzhang Davoodi,https://en.wikipedia.org/wiki/Arzhang_Davoodi
Hossein Derakhshan,https://en.wikipedia.org/wiki/Hossein_Derakhshan
Hootan Dolati,https://en.wikipedia.org/wiki/Hootan_Dolati
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi
Gohar Eshghi,https://en.wikipedia.org/wiki/Gohar_Eshghi
Amir Abbas Fakhravar,https://en.wikipedia.org/wiki/Amir_Abbas_Fakhravar
Mahdi Falahati,https://en.wikipedia.org/wiki/Mahdi_Falahati
Atena Farghadani,https://en.wikipedia.org/wiki/Atena_Farghadani
Farhad Mehrad,https://en.wikipedia.org/wiki/Farhad_Mehrad
Maryam Farman Farmaian,https://en.wikipedia.org/wiki/Maryam_Farman_Farmaian
Fereydoun Farrokhzad,https://en.wikipedia.org/wiki/Fereydoun_Farrokhzad
Kiana Firouz,https://en.wikipedia.org/wiki/Kiana_Firouz
Parvaneh Forouhar,https://en.wikipedia.org/wiki/Parvaneh_Forouhar
Akbar Ganji,https://en.wikipedia.org/wiki/Akbar_Ganji
Hadi Ghabel,https://en.wikipedia.org/wiki/Hadi_Ghabel
Siamak Ghaderi,https://en.wikipedia.org/wiki/Siamak_Ghaderi
Abdul Rahman Ghassemlou,https://en.wikipedia.org/wiki/Abdul_Rahman_Ghassemlou
Ghoncheh Ghavami,https://en.wikipedia.org/wiki/Ghoncheh_Ghavami
Efat Ghazi,https://en.wikipedia.org/wiki/Efat_Ghazi
Parviz Ghelichkhani,https://en.wikipedia.org/wiki/Parviz_Ghelichkhani
Kouhyar Goudarzi,https://en.wikipedia.org/wiki/Kouhyar_Goudarzi
Faezeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Faezeh_Hashemi_Rafsanjani
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat
Kamran Hedayati,https://en.wikipedia.org/wiki/Kamran_Hedayati
Mansoor Hekmat,https://en.wikipedia.org/wiki/Mansoor_Hekmat
Shahram Homayoun,https://en.wikipedia.org/wiki/Shahram_Homayoun
Mohammad Hosseini (broadcaster),https://en.wikipedia.org/wiki/Mohammad_Hosseini_%28broadcaster%29
Behrouz Javid-Tehrani,https://en.wikipedia.org/wiki/Behrouz_Javid-Tehrani
Mohsen Kadivar,https://en.wikipedia.org/wiki/Mohsen_Kadivar
Mehrangiz Kar,https://en.wikipedia.org/wiki/Mehrangiz_Kar
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei
Mehraveh Khandan,https://en.wikipedia.org/wiki/Mehraveh_Khandan
Reza Khandan,https://en.wikipedia.org/wiki/Reza_Khandan
Hussein Khomeini,https://en.wikipedia.org/wiki/Hussein_Khomeini
Ruhollah Khomeini,https://en.wikipedia.org/wiki/Ruhollah_Khomeini
Noushin Ahmadi Khorasani,https://en.wikipedia.org/wiki/Noushin_Ahmadi_Khorasani
