Name,Wikipedia_Link
Ali Espahbodi,https://en.wikipedia.org/wiki/Ali_Espahbodi
Farshad Fatemi,https://en.wikipedia.org/wiki/Farshad_Fatemi
Fereydoun Mahdavi,https://en.wikipedia.org/wiki/Fereydoun_Mahdavi
Hassan Ghalibaf Asl,https://en.wikipedia.org/wiki/Hassan_Ghalibaf_Asl
Mousa Ghaninejad,https://en.wikipedia.org/wiki/Mousa_Ghaninejad
Nader Habibi,https://en.wikipedia.org/wiki/Nader_Habibi
Reza Hamzaee,https://en.wikipedia.org/wiki/Reza_Hamzaee
Abdolnaser Hemmati,https://en.wikipedia.org/wiki/Abdolnaser_Hemmati
Ismael Hossein-zadeh,https://en.wikipedia.org/wiki/Ismael_Hossein-zadeh
Mohammad Reza Hosseinzadeh,https://en.wikipedia.org/wiki/Mohammad_Reza_Hosseinzadeh
Gholam Hossein Jahanshahi,https://en.wikipedia.org/wiki/Gholam_Hossein_Jahanshahi
Masoud Karbasian,https://en.wikipedia.org/wiki/Masoud_Karbasian
Homa Katouzian,https://en.wikipedia.org/wiki/Homa_Katouzian
Firouzeh Khalatbari,https://en.wikipedia.org/wiki/Firouzeh_Khalatbari
Sadeq Khalilian,https://en.wikipedia.org/wiki/Sadeq_Khalilian
Farid Khavari,https://en.wikipedia.org/wiki/Farid_Khavari
Tahmasb Mazaheri,https://en.wikipedia.org/wiki/Tahmasb_Mazaheri
Abbas Mirakhor,https://en.wikipedia.org/wiki/Abbas_Mirakhor
Mohammad-Ali Molavi,https://en.wikipedia.org/wiki/Mohammad-Ali_Molavi
Saeed Moshiri,https://en.wikipedia.org/wiki/Saeed_Moshiri
Mohammad Nahavandian,https://en.wikipedia.org/wiki/Mohammad_Nahavandian
Masoud Nili,https://en.wikipedia.org/wiki/Masoud_Nili
Mohammad Bagher Nobakht,https://en.wikipedia.org/wiki/Mohammad_Bagher_Nobakht
Alireza Nobari,https://en.wikipedia.org/wiki/Alireza_Nobari
Mohsen Nourbakhsh,https://en.wikipedia.org/wiki/Mohsen_Nourbakhsh
Kazem Oraee,https://en.wikipedia.org/wiki/Kazem_Oraee
M. Hashem Pesaran,https://en.wikipedia.org/wiki/M._Hashem_Pesaran
Ali-Ashraf Abdollah Porihoseini,https://en.wikipedia.org/wiki/Ali-Ashraf_Abdollah_Porihoseini
Farhad Rahbar,https://en.wikipedia.org/wiki/Farhad_Rahbar
Fariborz Raisdana,https://en.wikipedia.org/wiki/Fariborz_Raisdana
Mohammad Sattarifar,https://en.wikipedia.org/wiki/Mohammad_Sattarifar
Valiollah Seif,https://en.wikipedia.org/wiki/Valiollah_Seif
Manuchehr Shahrokhi,https://en.wikipedia.org/wiki/Manuchehr_Shahrokhi
Ebrahim Sheibani,https://en.wikipedia.org/wiki/Ebrahim_Sheibani
Gholam Hosein Shiri Aliabad,https://en.wikipedia.org/wiki/Gholam_Hosein_Shiri_Aliabad
Mohammad Reza Tabesh,https://en.wikipedia.org/wiki/Mohammad_Reza_Tabesh
Mohammad Tabibian,https://en.wikipedia.org/wiki/Mohammad_Tabibian
Hossein Abdoh Tabrizi,https://en.wikipedia.org/wiki/Hossein_Abdoh_Tabrizi
Gholamreza Tajgardoon,https://en.wikipedia.org/wiki/Gholamreza_Tajgardoon
Ali Tayebnia,https://en.wikipedia.org/wiki/Ali_Tayebnia
Mehrdad Vahabi,https://en.wikipedia.org/wiki/Mehrdad_Vahabi
Mohammad-Javad Vahaji,https://en.wikipedia.org/wiki/Mohammad-Javad_Vahaji
Behrooz Abdolvand,https://en.wikipedia.org/wiki/Behrooz_Abdolvand
Mohammad Hossein Adeli,https://en.wikipedia.org/wiki/Mohammad_Hossein_Adeli
Alinaghi Alikhani,https://en.wikipedia.org/wiki/Alinaghi_Alikhani
Jahangir Amouzegar,https://en.wikipedia.org/wiki/Jahangir_Amouzegar
Reza Asghari,https://en.wikipedia.org/wiki/Reza_Asghari
Mahmoud Bahmani,https://en.wikipedia.org/wiki/Mahmoud_Bahmani
Mohammad Mehdi Behkish,https://en.wikipedia.org/wiki/Mohammad_Mehdi_Behkish
Davoud Danesh-Jafari,https://en.wikipedia.org/wiki/Davoud_Danesh-Jafari
Eprime Eshag,https://en.wikipedia.org/wiki/Eprime_Eshag
Anvar Khamei,https://en.wikipedia.org/wiki/Anvar_Khamei
Mehdi Samii,https://en.wikipedia.org/wiki/Mehdi_Samii
Hassan Ali Mehran,https://en.wikipedia.org/wiki/Hassan_Ali_Mehran
Hossein Namazi,https://en.wikipedia.org/wiki/Hossein_Namazi
Mohammad Ali Varasteh,https://en.wikipedia.org/wiki/Mohammad_Ali_Varasteh
Mohammad Yeganeh,https://en.wikipedia.org/wiki/Mohammad_Yeganeh
Ehsan Khandozi,https://en.wikipedia.org/wiki/Ehsan_Khandozi
Saeed Laylaz,https://en.wikipedia.org/wiki/Saeed_Laylaz
Hossein Mahdavy,https://en.wikipedia.org/wiki/Hossein_Mahdavy
Ahmad Meydari,https://en.wikipedia.org/wiki/Ahmad_Meydari
Seyed Hossein Mir-Moezi,https://en.wikipedia.org/wiki/Seyed_Hossein_Mir-Moezi
Kazem Najafi Elmi,https://en.wikipedia.org/wiki/Kazem_Najafi_Elmi
Ali Rahnema,https://en.wikipedia.org/wiki/Ali_Rahnema
Masoud Roghani Zanjani,https://en.wikipedia.org/wiki/Masoud_Roghani_Zanjani
Djavad Salehi-Isfahani,https://en.wikipedia.org/wiki/Djavad_Salehi-Isfahani
Hossein Samsami,https://en.wikipedia.org/wiki/Hossein_Samsami
