Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Kourosh Ahari,https://en.wikipedia.org/wiki/Kourosh_Ahari,Q104217628,https://www.wikidata.org/wiki/Q104217628,male,film director; film producer; screenwriter,,Iran,,,
Fereshteh Ahmadi,https://en.wikipedia.org/wiki/Fereshteh_Ahmadi,Q5952646,https://www.wikidata.org/wiki/Q5952646,female,novelist; short story writer,Iran,Kerman,1972-01-01T00:00:00Z,,
Hossein Shanbehzadeh,https://en.wikipedia.org/wiki/Hossein_Shanbehzadeh,Q124770865,https://www.wikidata.org/wiki/Q124770865,male,activism,,,,,
Ali Atshani,https://en.wikipedia.org/wiki/Ali_Atshani,Q5749512,https://www.wikidata.org/wiki/Q5749512,male,film director,Iran,Isfahan,1979-01-01T00:00:00Z,,
Bahram Beyzai,https://en.wikipedia.org/wiki/Bahram_Beyzai,Q803646,https://www.wikidata.org/wiki/Q803646,male,children's writer; director; essayist; film director; film editor; historian; playwright; screenwriter; theatrical director; translator; university teacher; writer,Iran,Tehran,1938-12-26T00:00:00Z,,
Bahram Dehghani,https://en.wikipedia.org/wiki/Bahram_Dehghani,Q5951624,https://www.wikidata.org/wiki/Q5951624,male,film editor,Iran,Shiraz,1954-11-15T00:00:00Z,,
Fereydun Gole,https://en.wikipedia.org/wiki/Fereydun_Gole,Q5444095,https://www.wikidata.org/wiki/Q5444095,male,film director; film editor; screenwriter,Iran,Tehran,1942-01-01T00:00:00Z,,
Morteza Ahmadi Harandi,https://en.wikipedia.org/wiki/Morteza_Ahmadi_Harandi,Q15056348,https://www.wikidata.org/wiki/Q15056348,male,film director; film editor; screenwriter; television director; writer,Iran,Isfahan,1966-05-21T00:00:00Z,,
Varuzh Karim-Masihi,https://en.wikipedia.org/wiki/Varuzh_Karim-Masihi,Q6582692,https://www.wikidata.org/wiki/Q6582692,male,film director; film editor; screenwriter,Iran,Arak,1952-03-23T00:00:00Z,,
Babak Karimi,https://en.wikipedia.org/wiki/Babak_Karimi,Q16048111,https://www.wikidata.org/wiki/Q16048111,male,actor; cinematographer; film director; film editor,Iran,Prague,1960-11-11T00:00:00Z,,
Samuel Khachikian,https://en.wikipedia.org/wiki/Samuel_Khachikian,Q4980507,https://www.wikidata.org/wiki/Q4980507,male,director; film director; film editor; screenwriter,Iran,Tabriz,1923-10-22T00:00:00Z,,
Loghman Khaledi,https://en.wikipedia.org/wiki/Loghman_Khaledi,Q6667406,https://www.wikidata.org/wiki/Q6667406,male,film director; film editor; screenwriter,Iran,Kermanshah,1978-07-23T00:00:00Z,,
Farbod Khoshtinat,https://en.wikipedia.org/wiki/Farbod_Khoshtinat,Q5495658,https://www.wikidata.org/wiki/Q5495658,male,cinematographer; writer,Iran,Tehran,1988-08-08T00:00:00Z,,
Bahman Kiarostami,https://en.wikipedia.org/wiki/Bahman_Kiarostami,Q2879304,https://www.wikidata.org/wiki/Q2879304,male,cinematographer; film director; film editor,Iran,Tehran,1978-08-11T00:00:00Z,,
Amina Maher,https://en.wikipedia.org/wiki/Amina_Maher,Q22278996,https://www.wikidata.org/wiki/Q22278996,trans woman,actor; film director; film editor; filmmaker; screenwriter,Iran,Tehran,1992-03-05T00:00:00Z,,
Mohsen Makhmalbaf,https://en.wikipedia.org/wiki/Mohsen_Makhmalbaf,Q55211,https://www.wikidata.org/wiki/Q55211,male,actor; cinematographer; director; essayist; film director; film editor; film producer; novelist; screenwriter; writer,France; Iran,Tehran,1957-05-29T00:00:00Z,,
Soudabeh Moradian,https://en.wikipedia.org/wiki/Soudabeh_Moradian,Q7564073,https://www.wikidata.org/wiki/Q7564073,female,academic; artist; film director; film editor,Iran,Tehran,1972-12-12T00:00:00Z,,
Hassan Nazer,https://en.wikipedia.org/wiki/Hassan_Nazer,Q21162127,https://www.wikidata.org/wiki/Q21162127,male,film director; film editor; screenwriter,Iran,,1953-01-01T00:00:00Z,,
Jafar Panahi,https://en.wikipedia.org/wiki/Jafar_Panahi,Q31637,https://www.wikidata.org/wiki/Q31637,male,actor; film director; film editor; film producer; screenwriter,Iran,Mianeh,1960-07-11T00:00:00Z,BLOGS,https://x.com/BLOGS
Panah Panahi,https://en.wikipedia.org/wiki/Panah_Panahi,Q111741372,https://www.wikidata.org/wiki/Q111741372,male,film director,Iran,Tehran,1984-01-01T00:00:00Z,BLOGS,https://x.com/BLOGS
Shahin Parhami,https://en.wikipedia.org/wiki/Shahin_Parhami,Q98941993,https://www.wikidata.org/wiki/Q98941993,male,documentary filmmaker; film director; film editor; film producer; writer,,Shiraz,1967-01-01T00:00:00Z,,
Khosrow Parvizi,https://en.wikipedia.org/wiki/Khosrow_Parvizi,Q5958448,https://www.wikidata.org/wiki/Q5958448,male,film director; film editor; screenwriter,Iran,Abadan,1933-01-01T00:00:00Z,,
Kiumars Pourahmad,https://en.wikipedia.org/wiki/Kiumars_Pourahmad,Q3197643,https://www.wikidata.org/wiki/Q3197643,male,film director; film editor; film producer; screenwriter; television director; writer,Iran,Najafabad,1949-12-16T00:00:00Z,,
Hossein Rajabian,https://en.wikipedia.org/wiki/Hossein_Rajabian,Q23868336,https://www.wikidata.org/wiki/Q23868336,male,actor; cinematographer; film director; film editor; photographer; screenwriter; writer,Iran,Sari,1984-07-05T00:00:00Z,hosseinrajabian,https://x.com/hosseinrajabian
Hayedeh Safiyari,https://en.wikipedia.org/wiki/Hayedeh_Safiyari,Q5957972,https://www.wikidata.org/wiki/Q5957972,female,film editor,Iran,Gorgan,1959-06-27T00:00:00Z,,
Mohammad Ali Sajjadi,https://en.wikipedia.org/wiki/Mohammad_Ali_Sajjadi,Q1942648,https://www.wikidata.org/wiki/Q1942648,male,film director; film editor; film producer; poet; screenwriter; writer,Iran,Amol,1957-01-01T00:00:00Z,,
Saman Salur,https://en.wikipedia.org/wiki/Saman_Salur,Q7408556,https://www.wikidata.org/wiki/Q7408556,male,film director; film editor; film producer; screenwriter,Iran,Borujerd,1976-08-13T00:00:00Z,,
Hossein Shahabi,https://en.wikipedia.org/wiki/Hossein_Shahabi,Q16052349,https://www.wikidata.org/wiki/Q16052349,male,cinematographer; film director; film producer; film score composer; poet; screenwriter,Iran; Pahlavi Iran,Tabriz,1967-11-28T00:00:00Z,,
Isa Vandi,https://en.wikipedia.org/wiki/Isa_Vandi,Q16193916,https://www.wikidata.org/wiki/Q16193916,male,film director; film editor; film producer; screenwriter,Iran,Iran,1960-01-01T00:00:00Z,,
Farjam Behnam,https://en.wikipedia.org/wiki/Farjam_Behnam,Q5435362,https://www.wikidata.org/wiki/Q5435362,male,editor,Iran,,1966-01-01T00:00:00Z,,
Hadi Khorsandi,https://en.wikipedia.org/wiki/Hadi_Khorsandi,Q5637832,https://www.wikidata.org/wiki/Q5637832,male,journalist; poet; writer,Iran,Iran,1943-07-22T00:00:00Z,,
Ja'far Modarres-Sadeghi,https://en.wikipedia.org/wiki/Ja%27far_Modarres-Sadeghi,,,,,,,,,
Atoosa Rubenstein,https://en.wikipedia.org/wiki/Atoosa_Rubenstein,Q4120869,https://www.wikidata.org/wiki/Q4120869,female,journalist,Iran,Tehran,1972-01-13T00:00:00Z,,
Faraj Sarkohi,https://en.wikipedia.org/wiki/Faraj_Sarkohi,Q351983,https://www.wikidata.org/wiki/Q351983,male,essayist; journalist; literary critic; opinion journalist; writer,Iran,Shiraz,1947-11-03T00:00:00Z,,
Azam Taleghani,https://en.wikipedia.org/wiki/Azam_Taleghani,Q4832174,https://www.wikidata.org/wiki/Q4832174,female,journalist; politician,Iran,Tehran,1943-01-01T00:00:00Z,,
Hossein Towfigh,https://en.wikipedia.org/wiki/Hossein_Towfigh,Q29110257,https://www.wikidata.org/wiki/Q29110257,male,,,,,,
Ebrahim Zalzadeh,https://en.wikipedia.org/wiki/Ebrahim_Zalzadeh,Q5331991,https://www.wikidata.org/wiki/Q5331991,male,journalist; writer,Iran,Iran,1948-01-01T00:00:00Z,,
Ahmad Zohadi,https://en.wikipedia.org/wiki/Ahmad_Zohadi,Q52272398,https://www.wikidata.org/wiki/Q52272398,male,architect; journalist,,Iran,1969-05-02T00:00:00Z,,
