Name,Wikipedia_Link
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar
Mastoureh Afshar,https://en.wikipedia.org/wiki/Mastoureh_Afshar
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin
Shahnaz Azad,https://en.wikipedia.org/wiki/Shahnaz_Azad
Talat Basari,https://en.wikipedia.org/wiki/Talat_Basari
Golbarg Bashi,https://en.wikipedia.org/wiki/Golbarg_Bashi
Mariam Behnam,https://en.wikipedia.org/wiki/Mariam_Behnam
Homa Darabi,https://en.wikipedia.org/wiki/Homa_Darabi
Ashraf Dehghani,https://en.wikipedia.org/wiki/Ashraf_Dehghani
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi
Mohtaram Eskandari,https://en.wikipedia.org/wiki/Mohtaram_Eskandari
Farhad Mehrad,https://en.wikipedia.org/wiki/Farhad_Mehrad
Shabnam Farshadjoo,https://en.wikipedia.org/wiki/Shabnam_Farshadjoo
Fatemeh Haghighatjoo,https://en.wikipedia.org/wiki/Fatemeh_Haghighatjoo
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat
Jason Jorjani,https://en.wikipedia.org/wiki/Jason_Jorjani
Sems Kesmai,https://en.wikipedia.org/wiki/Sems_Kesmai
Azadeh Kian,https://en.wikipedia.org/wiki/Azadeh_Kian
Farideh Mashini,https://en.wikipedia.org/wiki/Farideh_Mashini
Valentine Moghadam,https://en.wikipedia.org/wiki/Valentine_Moghadam
Shahindokht Molaverdi,https://en.wikipedia.org/wiki/Shahindokht_Molaverdi
Maryam Namazie,https://en.wikipedia.org/wiki/Maryam_Namazie
Armin Navabi,https://en.wikipedia.org/wiki/Armin_Navabi
Shirin Neshat,https://en.wikipedia.org/wiki/Shirin_Neshat
Farrokhroo Parsa,https://en.wikipedia.org/wiki/Farrokhroo_Parsa
Roya Heshmati,https://en.wikipedia.org/wiki/Roya_Heshmati
Mina Sadati,https://en.wikipedia.org/wiki/Mina_Sadati
Zahra Saei,https://en.wikipedia.org/wiki/Zahra_Saei
Eliz Sanasarian,https://en.wikipedia.org/wiki/Eliz_Sanasarian
Mardjan Seighali,https://en.wikipedia.org/wiki/Mardjan_Seighali
Razieh Gholami-Shabani,https://en.wikipedia.org/wiki/Razieh_Gholami-Shabani
Shahla Sherkat,https://en.wikipedia.org/wiki/Shahla_Sherkat
Zandokht Shirazi,https://en.wikipedia.org/wiki/Zandokht_Shirazi
Tadj al-Saltaneh,https://en.wikipedia.org/wiki/Tadj_al-Saltaneh
Roya Toloui,https://en.wikipedia.org/wiki/Roya_Toloui
Khadijeh Afzal Vaziri,https://en.wikipedia.org/wiki/Khadijeh_Afzal_Vaziri
Mahboubeh Abbasgholizadeh,https://en.wikipedia.org/wiki/Mahboubeh_Abbasgholizadeh
Ali Abdi (activist),https://en.wikipedia.org/wiki/Ali_Abdi_%28activist%29
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari
Raheleh Ahmadi,https://en.wikipedia.org/wiki/Raheleh_Ahmadi
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad
Shahrbanou Amani,https://en.wikipedia.org/wiki/Shahrbanou_Amani
Maryam Amid,https://en.wikipedia.org/wiki/Maryam_Amid
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini
Elham Malekpoor Arashlu,https://en.wikipedia.org/wiki/Elham_Malekpoor_Arashlu
Parvin Ardalan,https://en.wikipedia.org/wiki/Parvin_Ardalan
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari
Bibi Khanoom Astarabadi,https://en.wikipedia.org/wiki/Bibi_Khanoom_Astarabadi
Forough Azarakhshi,https://en.wikipedia.org/wiki/Forough_Azarakhshi
Pakhshan Azizi,https://en.wikipedia.org/wiki/Pakhshan_Azizi
Tuba Azmudeh,https://en.wikipedia.org/wiki/Tuba_Azmudeh
Fariba Balouch,https://en.wikipedia.org/wiki/Fariba_Balouch
Jila Baniyaghoob,https://en.wikipedia.org/wiki/Jila_Baniyaghoob
Simin Behbahani,https://en.wikipedia.org/wiki/Simin_Behbahani
Mansoureh Behkish,https://en.wikipedia.org/wiki/Mansoureh_Behkish
Azadeh Bokaie Dadgar,https://en.wikipedia.org/wiki/Azadeh_Bokaie_Dadgar
Atena Daemi,https://en.wikipedia.org/wiki/Atena_Daemi
Sediqeh Dowlatabadi,https://en.wikipedia.org/wiki/Sediqeh_Dowlatabadi
Mehrangiz Dowlatshahi,https://en.wikipedia.org/wiki/Mehrangiz_Dowlatshahi
