Name,Wikipedia_Link
Ardeshir Kazemi,https://en.wikipedia.org/wiki/Ardeshir_Kazemi
Mirsaeed Molavian,https://en.wikipedia.org/wiki/Mirsaeed_Molavian
Elika Abdolrazzaghi,https://en.wikipedia.org/wiki/Elika_Abdolrazzaghi
Nasim Adabi,https://en.wikipedia.org/wiki/Nasim_Adabi
Golab Adineh,https://en.wikipedia.org/wiki/Golab_Adineh
Anahita Afshar,https://en.wikipedia.org/wiki/Anahita_Afshar
Bahareh Kian Afshar,https://en.wikipedia.org/wiki/Bahareh_Kian_Afshar
Mahnaz Afshar,https://en.wikipedia.org/wiki/Mahnaz_Afshar
Roya Afshar,https://en.wikipedia.org/wiki/Roya_Afshar
Bahareh Afshari,https://en.wikipedia.org/wiki/Bahareh_Afshari
Shohreh Aghdashloo,https://en.wikipedia.org/wiki/Shohreh_Aghdashloo
Pegah Ahangarani,https://en.wikipedia.org/wiki/Pegah_Ahangarani
Nazanin Ahmadi,https://en.wikipedia.org/wiki/Nazanin_Ahmadi
Pardis Ahmadieh,https://en.wikipedia.org/wiki/Pardis_Ahmadieh
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti
Mahoor Alvand,https://en.wikipedia.org/wiki/Mahoor_Alvand
Maryam Amir Jalali,https://en.wikipedia.org/wiki/Maryam_Amir_Jalali
Mary Apick,https://en.wikipedia.org/wiki/Mary_Apick
Aram (actress),https://en.wikipedia.org/wiki/Aram_%28actress%29
Afsar Asadi,https://en.wikipedia.org/wiki/Afsar_Asadi
Khatereh Asadi,https://en.wikipedia.org/wiki/Khatereh_Asadi
Vishka Asayesh,https://en.wikipedia.org/wiki/Vishka_Asayesh
Rana Azadivar,https://en.wikipedia.org/wiki/Rana_Azadivar
Asal Badiee,https://en.wikipedia.org/wiki/Asal_Badiee
Pantea Bahram,https://en.wikipedia.org/wiki/Pantea_Bahram
Sara Bahrami,https://en.wikipedia.org/wiki/Sara_Bahrami
Pouri Banayi,https://en.wikipedia.org/wiki/Pouri_Banayi
Maral Baniadam,https://en.wikipedia.org/wiki/Maral_Baniadam
