Name,Wikipedia_Link,wikidata_qid,wikidata_url
Hossein Abdi,https://en.wikipedia.org/wiki/Hossein_Abdi,Q3786860,https://www.wikidata.org/wiki/Q3786860
Nasrollah Abdollahi,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi,Q2478625,https://www.wikidata.org/wiki/Q2478625
Parviz Aboutaleb,https://en.wikipedia.org/wiki/Parviz_Aboutaleb,Q7141353,https://www.wikidata.org/wiki/Q7141353
Human Afazeli,https://en.wikipedia.org/wiki/Human_Afazeli,Q10514520,https://www.wikidata.org/wiki/Q10514520
Markar Aghajanyan,https://en.wikipedia.org/wiki/Markar_Aghajanyan,Q6770564,https://www.wikidata.org/wiki/Q6770564
Mohammad Ahmadzadeh,https://en.wikipedia.org/wiki/Mohammad_Ahmadzadeh,Q6891723,https://www.wikidata.org/wiki/Q6891723
Mohammad Alavi (footballer),https://en.wikipedia.org/wiki/Mohammad_Alavi_%28footballer%29,,
Ahmad Alenemeh,https://en.wikipedia.org/wiki/Ahmad_Alenemeh,Q4695254,https://www.wikidata.org/wiki/Q4695254
Saeed Alhoei,https://en.wikipedia.org/wiki/Saeed_Alhoei,Q123760534,https://www.wikidata.org/wiki/Q123760534
Hamid Alidoosti,https://en.wikipedia.org/wiki/Hamid_Alidoosti,Q339985,https://www.wikidata.org/wiki/Q339985
Mansour Amirasefi,https://en.wikipedia.org/wiki/Mansour_Amirasefi,Q6751835,https://www.wikidata.org/wiki/Q6751835
Mohammad Hassan Ansarifard,https://en.wikipedia.org/wiki/Mohammad_Hassan_Ansarifard,Q6892011,https://www.wikidata.org/wiki/Q6892011
Poya Asbaghi,https://en.wikipedia.org/wiki/Poya_Asbaghi,Q25935708,https://www.wikidata.org/wiki/Q25935708
Fereydoun Asgharzadeh,https://en.wikipedia.org/wiki/Fereydoun_Asgharzadeh,Q96182841,https://www.wikidata.org/wiki/Q96182841
Aziz Asli,https://en.wikipedia.org/wiki/Aziz_Asli,Q4832650,https://www.wikidata.org/wiki/Q4832650
Bahram Atef,https://en.wikipedia.org/wiki/Bahram_Atef,Q4842837,https://www.wikidata.org/wiki/Q4842837
Hassan Azarnia,https://en.wikipedia.org/wiki/Hassan_Azarnia,Q13294031,https://www.wikidata.org/wiki/Q13294031
Bijan Azizi,https://en.wikipedia.org/wiki/Bijan_Azizi,Q33261259,https://www.wikidata.org/wiki/Q33261259
