Name,Wikipedia_Link
Ali Abdi (activist),https://en.wikipedia.org/wiki/Ali_Abdi_%28activist%29
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami
Saba Kord Afshari,https://en.wikipedia.org/wiki/Saba_Kord_Afshari
Nazanin Afshin-Jam,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari
Khosrow Alikordi,https://en.wikipedia.org/wiki/Khosrow_Alikordi
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin
Mahmood Amiry-Moghaddam,https://en.wikipedia.org/wiki/Mahmood_Amiry-Moghaddam
Nahid Angha,https://en.wikipedia.org/wiki/Nahid_Angha
Elham Malekpoor Arashlu,https://en.wikipedia.org/wiki/Elham_Malekpoor_Arashlu
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari
Majid Assadi,https://en.wikipedia.org/wiki/Majid_Assadi
Maziar Bahari,https://en.wikipedia.org/wiki/Maziar_Bahari
Mansoureh Behkish,https://en.wikipedia.org/wiki/Mansoureh_Behkish
Pantea Beigi,https://en.wikipedia.org/wiki/Pantea_Beigi
Niloofar Beyzaie,https://en.wikipedia.org/wiki/Niloofar_Beyzaie
Hossein Kazemeyni Boroujerdi,https://en.wikipedia.org/wiki/Hossein_Kazemeyni_Boroujerdi
Atena Daemi,https://en.wikipedia.org/wiki/Atena_Daemi
Mohammad Davari,https://en.wikipedia.org/wiki/Mohammad_Davari
Amirsalar Davoudi,https://en.wikipedia.org/wiki/Amirsalar_Davoudi
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi
Gohar Eshghi,https://en.wikipedia.org/wiki/Gohar_Eshghi
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi
Atena Farghadani,https://en.wikipedia.org/wiki/Atena_Farghadani
Siamak Ghaderi,https://en.wikipedia.org/wiki/Siamak_Ghaderi
Kazem Gharibabadi,https://en.wikipedia.org/wiki/Kazem_Gharibabadi
Kouhyar Goudarzi,https://en.wikipedia.org/wiki/Kouhyar_Goudarzi
Fatemeh Haghighatjoo,https://en.wikipedia.org/wiki/Fatemeh_Haghighatjoo
Shervin Hajipour,https://en.wikipedia.org/wiki/Shervin_Hajipour
Roya Hakakian,https://en.wikipedia.org/wiki/Roya_Hakakian
Farshid Hakki,https://en.wikipedia.org/wiki/Farshid_Hakki
Soheila Hejab,https://en.wikipedia.org/wiki/Soheila_Hejab
Iranian Complainant Mothers,https://en.wikipedia.org/wiki/Iranian_Complainant_Mothers
Nasrin Javadi,https://en.wikipedia.org/wiki/Nasrin_Javadi
Behrouz Javid-Tehrani,https://en.wikipedia.org/wiki/Behrouz_Javid-Tehrani
Maximilien Jazani,https://en.wikipedia.org/wiki/Maximilien_Jazani
Mohammad Seddigh Kaboudvand,https://en.wikipedia.org/wiki/Mohammad_Seddigh_Kaboudvand
Sheema Kalbasi,https://en.wikipedia.org/wiki/Sheema_Kalbasi
Farzad Kamangar,https://en.wikipedia.org/wiki/Farzad_Kamangar
Saleh Kamrani,https://en.wikipedia.org/wiki/Saleh_Kamrani
