Name,Wikipedia_Link
Prosecution of Hamid Ghareh-Hassanlou,https://en.wikipedia.org/wiki/Prosecution_of_Hamid_Ghareh-Hassanlou
Golchin Gilani,https://en.wikipedia.org/wiki/Golchin_Gilani
Hakim Ghulam Imam,https://en.wikipedia.org/wiki/Hakim_Ghulam_Imam
Reza Malekzadeh,https://en.wikipedia.org/wiki/Reza_Malekzadeh
Mehdi Younesi Rostami,https://en.wikipedia.org/wiki/Mehdi_Younesi_Rostami
Avideh Nazeri,https://en.wikipedia.org/wiki/Avideh_Nazeri
Parastoo Bakhshi,https://en.wikipedia.org/wiki/Parastoo_Bakhshi
Shirin Rouhanirad,https://en.wikipedia.org/wiki/Shirin_Rouhanirad
Zahra Sheikhi,https://en.wikipedia.org/wiki/Zahra_Sheikhi
Karim Vessal,https://en.wikipedia.org/wiki/Karim_Vessal
Abu al-Qasim al-Habib Neishapuri,https://en.wikipedia.org/wiki/Abu_al-Qasim_al-Habib_Neishapuri
Ahmad ibn 'Imad al-Din,https://en.wikipedia.org/wiki/Ahmad_ibn_%27Imad_al-Din
Ibn Abi Sadiq,https://en.wikipedia.org/wiki/Ibn_Abi_Sadiq
Abbas Adham,https://en.wikipedia.org/wiki/Abbas_Adham
Yahya Adl,https://en.wikipedia.org/wiki/Yahya_Adl
Abass Alavi,https://en.wikipedia.org/wiki/Abass_Alavi
William Cormick,https://en.wikipedia.org/wiki/William_Cormick
Javad Heyat,https://en.wikipedia.org/wiki/Javad_Heyat
Maqsud-Ali Tabrizi,https://en.wikipedia.org/wiki/Maqsud-Ali_Tabrizi
Hamid Ahmadieh,https://en.wikipedia.org/wiki/Hamid_Ahmadieh
Abbas Ardehali,https://en.wikipedia.org/wiki/Abbas_Ardehali
Abdol Karim Ayadi,https://en.wikipedia.org/wiki/Abdol_Karim_Ayadi
Pejman Azarmina,https://en.wikipedia.org/wiki/Pejman_Azarmina
Kamran Bagheri Lankarani,https://en.wikipedia.org/wiki/Kamran_Bagheri_Lankarani
Zahra Bani Yaghoub,https://en.wikipedia.org/wiki/Zahra_Bani_Yaghoub
Fereydoon Batmanghelidj,https://en.wikipedia.org/wiki/Fereydoon_Batmanghelidj
Mohamadreza Baghaban Eslaminejad,https://en.wikipedia.org/wiki/Mohamadreza_Baghaban_Eslaminejad
Alimorad Farshchian,https://en.wikipedia.org/wiki/Alimorad_Farshchian
Gary Ghahremani,https://en.wikipedia.org/wiki/Gary_Ghahremani
Hossein Gharib,https://en.wikipedia.org/wiki/Hossein_Gharib
Mohammad Gharib,https://en.wikipedia.org/wiki/Mohammad_Gharib
Armen Kocharian,https://en.wikipedia.org/wiki/Armen_Kocharian
Noah McKay,https://en.wikipedia.org/wiki/Noah_McKay
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran
Minoo Mohraz,https://en.wikipedia.org/wiki/Minoo_Mohraz
Azarakhsh Mokri,https://en.wikipedia.org/wiki/Azarakhsh_Mokri
Seyed Hossein Mousavian (physician),https://en.wikipedia.org/wiki/Seyed_Hossein_Mousavian_%28physician%29
Ali Rıza Öreroğlu,https://en.wikipedia.org/wiki/Ali_R%C4%B1za_%C3%96rero%C4%9Flu
Hossein Ravazadeh,https://en.wikipedia.org/wiki/Hossein_Ravazadeh
Majid Samii,https://en.wikipedia.org/wiki/Majid_Samii
Nasser Simforoosh,https://en.wikipedia.org/wiki/Nasser_Simforoosh
Abolfazl Soroush,https://en.wikipedia.org/wiki/Abolfazl_Soroush
Shirin Towfigh,https://en.wikipedia.org/wiki/Shirin_Towfigh
Ali Akbar Velayati,https://en.wikipedia.org/wiki/Ali_Akbar_Velayati
List of medieval and pre-modern Iranian doctors,https://en.wikipedia.org/wiki/List_of_medieval_and_pre-modern_Iranian_doctors
Apollonides of Cos,https://en.wikipedia.org/wiki/Apollonides_of_Cos
Ctesias,https://en.wikipedia.org/wiki/Ctesias
Udjahorresnet,https://en.wikipedia.org/wiki/Udjahorresnet
Sayyed Bozorg Mahmoody,https://en.wikipedia.org/wiki/Sayyed_Bozorg_Mahmoody
Andranik Ovassapian,https://en.wikipedia.org/wiki/Andranik_Ovassapian
Manouchehr Hakim,https://en.wikipedia.org/wiki/Manouchehr_Hakim
Rashid Massumi,https://en.wikipedia.org/wiki/Rashid_Massumi
Mohammad-Reza Zafarghandi,https://en.wikipedia.org/wiki/Mohammad-Reza_Zafarghandi
Iraj Nazeri,https://en.wikipedia.org/wiki/Iraj_Nazeri
Fereydoun Ala,https://en.wikipedia.org/wiki/Fereydoun_Ala
Mina Izadyar,https://en.wikipedia.org/wiki/Mina_Izadyar
Khosrow Jamshidi,https://en.wikipedia.org/wiki/Khosrow_Jamshidi
Masoud Soleimani,https://en.wikipedia.org/wiki/Masoud_Soleimani
Asghar Aghamohammadi,https://en.wikipedia.org/wiki/Asghar_Aghamohammadi
Masoumeh Ebtekar,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar
Behrouz Nikbin,https://en.wikipedia.org/wiki/Behrouz_Nikbin
Samuel Rahbar,https://en.wikipedia.org/wiki/Samuel_Rahbar
Nima Rezaei,https://en.wikipedia.org/wiki/Nima_Rezaei
Neda Alijani,https://en.wikipedia.org/wiki/Neda_Alijani
Manouchehr Eghbal,https://en.wikipedia.org/wiki/Manouchehr_Eghbal
Alireza Yalda,https://en.wikipedia.org/wiki/Alireza_Yalda
Mehdi Azar,https://en.wikipedia.org/wiki/Mehdi_Azar
Behrouz Boroumand,https://en.wikipedia.org/wiki/Behrouz_Boroumand
Mohammad-Reza Khatami,https://en.wikipedia.org/wiki/Mohammad-Reza_Khatami
Ali Nobakht,https://en.wikipedia.org/wiki/Ali_Nobakht
Morvarid Karimi,https://en.wikipedia.org/wiki/Morvarid_Karimi
Mohammad Ali Sahraian,https://en.wikipedia.org/wiki/Mohammad_Ali_Sahraian
Siroos Mirzaei,https://en.wikipedia.org/wiki/Siroos_Mirzaei
Sadegh Nezam-mafi,https://en.wikipedia.org/wiki/Sadegh_Nezam-mafi
Habibollah Hedayat,https://en.wikipedia.org/wiki/Habibollah_Hedayat
Camran Nezhat,https://en.wikipedia.org/wiki/Camran_Nezhat
Jahanshah Saleh,https://en.wikipedia.org/wiki/Jahanshah_Saleh
Marzieh Vahid-Dastjerdi,https://en.wikipedia.org/wiki/Marzieh_Vahid-Dastjerdi
Azin Alizadehasl,https://en.wikipedia.org/wiki/Azin_Alizadehasl
Abbas Bagheri Lotfabad,https://en.wikipedia.org/wiki/Abbas_Bagheri_Lotfabad
Bahram Eynollahi,https://en.wikipedia.org/wiki/Bahram_Eynollahi
Hassan Ghazizadeh Hashemi,https://en.wikipedia.org/wiki/Hassan_Ghazizadeh_Hashemi
Ali Asghar Khodadoust,https://en.wikipedia.org/wiki/Ali_Asghar_Khodadoust
Mehrdad Afarid,https://en.wikipedia.org/wiki/Mehrdad_Afarid
Gholam A. Peyman,https://en.wikipedia.org/wiki/Gholam_A._Peyman
Muhammad Zarrindast,https://en.wikipedia.org/wiki/Muhammad_Zarrindast
Moslem Bahadori,https://en.wikipedia.org/wiki/Moslem_Bahadori
Naser Kamalian,https://en.wikipedia.org/wiki/Naser_Kamalian
Homa Darabi,https://en.wikipedia.org/wiki/Homa_Darabi
Hossein Fakhraee,https://en.wikipedia.org/wiki/Hossein_Fakhraee
Alireza Marandi,https://en.wikipedia.org/wiki/Alireza_Marandi
Parvaneh Vossough,https://en.wikipedia.org/wiki/Parvaneh_Vossough
Jafar Bolhari,https://en.wikipedia.org/wiki/Jafar_Bolhari
Ebrahim Chehrazi,https://en.wikipedia.org/wiki/Ebrahim_Chehrazi
Levon Davidian,https://en.wikipedia.org/wiki/Levon_Davidian
Hossein Fatemi (psychiatrist),https://en.wikipedia.org/wiki/Hossein_Fatemi_%28psychiatrist%29
Nassir Ghaemi,https://en.wikipedia.org/wiki/Nassir_Ghaemi
Hamid Ghodse,https://en.wikipedia.org/wiki/Hamid_Ghodse
Javad Nurbakhsh,https://en.wikipedia.org/wiki/Javad_Nurbakhsh
Nossrat Peseschkian,https://en.wikipedia.org/wiki/Nossrat_Peseschkian
Gholam-Hossein Sa'edi,https://en.wikipedia.org/wiki/Gholam-Hossein_Sa%27edi
Kazem Sami,https://en.wikipedia.org/wiki/Kazem_Sami
Mohammadreza Sargolzaee,https://en.wikipedia.org/wiki/Mohammadreza_Sargolzaee
Bahman Sholevar,https://en.wikipedia.org/wiki/Bahman_Sholevar
Afshin Yadollahi,https://en.wikipedia.org/wiki/Afshin_Yadollahi
Kamiar and Arash Alaei incident,https://en.wikipedia.org/wiki/Kamiar_and_Arash_Alaei_incident
Hossein Malek-Afzali,https://en.wikipedia.org/wiki/Hossein_Malek-Afzali
Abolhassan Ziyā-Zarifi,https://en.wikipedia.org/wiki/Abolhassan_Ziy%C4%81-Zarifi
Rahmatollah Hafezi,https://en.wikipedia.org/wiki/Rahmatollah_Hafezi
Iradj Fazel,https://en.wikipedia.org/wiki/Iradj_Fazel
Minoo Lenarz,https://en.wikipedia.org/wiki/Minoo_Lenarz
Aboutorab Naficy,https://en.wikipedia.org/wiki/Aboutorab_Naficy
Younan Nowzaradan,https://en.wikipedia.org/wiki/Younan_Nowzaradan
Sakineh Peri,https://en.wikipedia.org/wiki/Sakineh_Peri
Ali Asqar Peyvandi,https://en.wikipedia.org/wiki/Ali_Asqar_Peyvandi
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian
Noraladin Pirmoazzen,https://en.wikipedia.org/wiki/Noraladin_Pirmoazzen
