Name,Wikipedia_Link,wikidata_qid,wikidata_url
Bahar Dehkordi,https://en.wikipedia.org/wiki/Bahar_Dehkordi,Q125429300,https://www.wikidata.org/wiki/Q125429300
Erfan (rapper),https://en.wikipedia.org/wiki/Erfan_%28rapper%29,,
Fadaei,https://en.wikipedia.org/wiki/Fadaei,Q114949969,https://www.wikidata.org/wiki/Q114949969
Moltafet,https://en.wikipedia.org/wiki/Moltafet,Q124079907,https://www.wikidata.org/wiki/Q124079907
Shahin Najafi,https://en.wikipedia.org/wiki/Shahin_Najafi,Q983297,https://www.wikidata.org/wiki/Q983297
Nazar (rapper),https://en.wikipedia.org/wiki/Nazar_%28rapper%29,,
Bahram Nouraei,https://en.wikipedia.org/wiki/Bahram_Nouraei,Q4842856,https://www.wikidata.org/wiki/Q4842856
Reveal (rapper),https://en.wikipedia.org/wiki/Reveal_%28rapper%29,,
Toomaj Salehi,https://en.wikipedia.org/wiki/Toomaj_Salehi,Q108611372,https://www.wikidata.org/wiki/Q108611372
Sasy,https://en.wikipedia.org/wiki/Sasy,Q4682251,https://www.wikidata.org/wiki/Q4682251
Ali Sorena,https://en.wikipedia.org/wiki/Ali_Sorena,Q47540436,https://www.wikidata.org/wiki/Q47540436
Amir Tataloo,https://en.wikipedia.org/wiki/Amir_Tataloo,Q6417825,https://www.wikidata.org/wiki/Q6417825
Yas (rapper),https://en.wikipedia.org/wiki/Yas_%28rapper%29,,
Zedbazi,https://en.wikipedia.org/wiki/Zedbazi,Q5949579,https://www.wikidata.org/wiki/Q5949579
Ghogha (rapper),https://en.wikipedia.org/wiki/Ghogha_%28rapper%29,,
Salome MC,https://en.wikipedia.org/wiki/Salome_MC,Q7405619,https://www.wikidata.org/wiki/Q7405619
