Name,Wikipedia_Link
Ali Bakouei,https://en.wikipedia.org/wiki/Ali_Bakouei
Akbar Motalebizadeh,https://en.wikipedia.org/wiki/Akbar_Motalebizadeh
Mohammad Mehdi Tehranchi,https://en.wikipedia.org/wiki/Mohammad_Mehdi_Tehranchi
Al-Isfizari,https://en.wikipedia.org/wiki/Al-Isfizari
Shahram Amiri,https://en.wikipedia.org/wiki/Shahram_Amiri
Arezoo Ardekani,https://en.wikipedia.org/wiki/Arezoo_Ardekani
Hossein Baharvand,https://en.wikipedia.org/wiki/Hossein_Baharvand
Armen Der Kiureghian,https://en.wikipedia.org/wiki/Armen_Der_Kiureghian
Saeid Eslamian,https://en.wikipedia.org/wiki/Saeid_Eslamian
Mehdi Golshani,https://en.wikipedia.org/wiki/Mehdi_Golshani
Caro Lucas,https://en.wikipedia.org/wiki/Caro_Lucas
Masoud Molavi,https://en.wikipedia.org/wiki/Masoud_Molavi
Mahmoud Nili Ahmadabadi,https://en.wikipedia.org/wiki/Mahmoud_Nili_Ahmadabadi
Masoud Soleimani,https://en.wikipedia.org/wiki/Masoud_Soleimani
Al-Tughra'i,https://en.wikipedia.org/wiki/Al-Tughra%27i
Abolhassan Astaneh-Asl,https://en.wikipedia.org/wiki/Abolhassan_Astaneh-Asl
Encieh Erfani,https://en.wikipedia.org/wiki/Encieh_Erfani
Shireen Hunter,https://en.wikipedia.org/wiki/Shireen_Hunter
Seifallah Randjbar-Daemi,https://en.wikipedia.org/wiki/Seifallah_Randjbar-Daemi
Kazem Sadegh-Zadeh,https://en.wikipedia.org/wiki/Kazem_Sadegh-Zadeh
Mehrdad Abedi,https://en.wikipedia.org/wiki/Mehrdad_Abedi
Ali Alavi,https://en.wikipedia.org/wiki/Ali_Alavi
Manuel Berberian,https://en.wikipedia.org/wiki/Manuel_Berberian
Mina Bissell,https://en.wikipedia.org/wiki/Mina_Bissell
Nader Engheta,https://en.wikipedia.org/wiki/Nader_Engheta
Kamran Eshraghian,https://en.wikipedia.org/wiki/Kamran_Eshraghian
Nikta Fakhri,https://en.wikipedia.org/wiki/Nikta_Fakhri
Hossein Gol-e-Golab,https://en.wikipedia.org/wiki/Hossein_Gol-e-Golab
Mahmoud Hessabi,https://en.wikipedia.org/wiki/Mahmoud_Hessabi
Pedram Javaheri,https://en.wikipedia.org/wiki/Pedram_Javaheri
Ali Javan,https://en.wikipedia.org/wiki/Ali_Javan
Amir Banoo Karimi,https://en.wikipedia.org/wiki/Amir_Banoo_Karimi
Mohammad Khorrami (physicist),https://en.wikipedia.org/wiki/Mohammad_Khorrami_%28physicist%29
Eugene N. Kozloff,https://en.wikipedia.org/wiki/Eugene_N._Kozloff
Simin Meydani,https://en.wikipedia.org/wiki/Simin_Meydani
Maryam Mirzakhani,https://en.wikipedia.org/wiki/Maryam_Mirzakhani
Ali Montazeri,https://en.wikipedia.org/wiki/Ali_Montazeri
Kaveh Pahlavan,https://en.wikipedia.org/wiki/Kaveh_Pahlavan
Hashem Rafii Tabar,https://en.wikipedia.org/wiki/Hashem_Rafii_Tabar
Sajjad Sadeghi,https://en.wikipedia.org/wiki/Sajjad_Sadeghi
Azadeh Tabazadeh,https://en.wikipedia.org/wiki/Azadeh_Tabazadeh
Mahyat Shafapour Tehrany,https://en.wikipedia.org/wiki/Mahyat_Shafapour_Tehrany
Cumrun Vafa,https://en.wikipedia.org/wiki/Cumrun_Vafa
Moussa B. H. Youdim,https://en.wikipedia.org/wiki/Moussa_B._H._Youdim
Houman Younessi,https://en.wikipedia.org/wiki/Houman_Younessi
Gholamreza Aavani,https://en.wikipedia.org/wiki/Gholamreza_Aavani
Mohammad Reza Aref,https://en.wikipedia.org/wiki/Mohammad_Reza_Aref
Mehdi Bahadori,https://en.wikipedia.org/wiki/Mehdi_Bahadori
Mostafa Mohaghegh Damad,https://en.wikipedia.org/wiki/Mostafa_Mohaghegh_Damad
Reza Davari Ardakani,https://en.wikipedia.org/wiki/Reza_Davari_Ardakani
Gholamhossein Ebrahimi Dinani,https://en.wikipedia.org/wiki/Gholamhossein_Ebrahimi_Dinani
Rasul Jafarian,https://en.wikipedia.org/wiki/Rasul_Jafarian
Abouzar Shahpari,https://en.wikipedia.org/wiki/Abouzar_Shahpari
Saeed Sohrabpour,https://en.wikipedia.org/wiki/Saeed_Sohrabpour
Lotfollah Yarmohammadi,https://en.wikipedia.org/wiki/Lotfollah_Yarmohammadi
Babak Amin Tafreshi,https://en.wikipedia.org/wiki/Babak_Amin_Tafreshi
Alenush Terian,https://en.wikipedia.org/wiki/Alenush_Terian
Mahmoud Behzad,https://en.wikipedia.org/wiki/Mahmoud_Behzad
Mohamadreza Baghaban Eslaminejad,https://en.wikipedia.org/wiki/Mohamadreza_Baghaban_Eslaminejad
Abdolmajid Mahdavi Damghani,https://en.wikipedia.org/wiki/Abdolmajid_Mahdavi_Damghani
Samuel Rahbar,https://en.wikipedia.org/wiki/Samuel_Rahbar
Mostafa Ronaghi,https://en.wikipedia.org/wiki/Mostafa_Ronaghi
Saba Valadkhan,https://en.wikipedia.org/wiki/Saba_Valadkhan
Mohsen Adeli,https://en.wikipedia.org/wiki/Mohsen_Adeli
Ahmad ibn 'Imad al-Din,https://en.wikipedia.org/wiki/Ahmad_ibn_%27Imad_al-Din
Najm al-Din al-Qazwini al-Katibi,https://en.wikipedia.org/wiki/Najm_al-Din_al-Qazwini_al-Katibi
Ibn al-Nadim,https://en.wikipedia.org/wiki/Ibn_al-Nadim
Saeed Balalaie,https://en.wikipedia.org/wiki/Saeed_Balalaie
