Name,Wikipedia_Link,wikidata_qid,wikidata_url
Ali Bakouei,https://en.wikipedia.org/wiki/Ali_Bakouei,Q134932455,https://www.wikidata.org/wiki/Q134932455
Akbar Motalebizadeh,https://en.wikipedia.org/wiki/Akbar_Motalebizadeh,Q134893972,https://www.wikidata.org/wiki/Q134893972
Mohammad Mehdi Tehranchi,https://en.wikipedia.org/wiki/Mohammad_Mehdi_Tehranchi,Q25423500,https://www.wikidata.org/wiki/Q25423500
Al-Isfizari,https://en.wikipedia.org/wiki/Al-Isfizari,Q17984072,https://www.wikidata.org/wiki/Q17984072
Shahram Amiri,https://en.wikipedia.org/wiki/Shahram_Amiri,Q983856,https://www.wikidata.org/wiki/Q983856
Arezoo Ardekani,https://en.wikipedia.org/wiki/Arezoo_Ardekani,Q58799765,https://www.wikidata.org/wiki/Q58799765
Hossein Baharvand,https://en.wikipedia.org/wiki/Hossein_Baharvand,Q16864026,https://www.wikidata.org/wiki/Q16864026
Armen Der Kiureghian,https://en.wikipedia.org/wiki/Armen_Der_Kiureghian,Q20513098,https://www.wikidata.org/wiki/Q20513098
Saeid Eslamian,https://en.wikipedia.org/wiki/Saeid_Eslamian,Q16194048,https://www.wikidata.org/wiki/Q16194048
Mehdi Golshani,https://en.wikipedia.org/wiki/Mehdi_Golshani,Q6809313,https://www.wikidata.org/wiki/Q6809313
Caro Lucas,https://en.wikipedia.org/wiki/Caro_Lucas,Q5044195,https://www.wikidata.org/wiki/Q5044195
Masoud Molavi,https://en.wikipedia.org/wiki/Masoud_Molavi,Q89910276,https://www.wikidata.org/wiki/Q89910276
Mahmoud Nili Ahmadabadi,https://en.wikipedia.org/wiki/Mahmoud_Nili_Ahmadabadi,Q17149777,https://www.wikidata.org/wiki/Q17149777
Masoud Soleimani,https://en.wikipedia.org/wiki/Masoud_Soleimani,Q78170418,https://www.wikidata.org/wiki/Q78170418
Al-Tughra'i,https://en.wikipedia.org/wiki/Al-Tughra%27i,,
Abolhassan Astaneh-Asl,https://en.wikipedia.org/wiki/Abolhassan_Astaneh-Asl,Q19864867,https://www.wikidata.org/wiki/Q19864867
Encieh Erfani,https://en.wikipedia.org/wiki/Encieh_Erfani,Q132493607,https://www.wikidata.org/wiki/Q132493607
Shireen Hunter,https://en.wikipedia.org/wiki/Shireen_Hunter,Q7498538,https://www.wikidata.org/wiki/Q7498538
Seifallah Randjbar-Daemi,https://en.wikipedia.org/wiki/Seifallah_Randjbar-Daemi,Q7446654,https://www.wikidata.org/wiki/Q7446654
Kazem Sadegh-Zadeh,https://en.wikipedia.org/wiki/Kazem_Sadegh-Zadeh,Q6381005,https://www.wikidata.org/wiki/Q6381005
Mehrdad Abedi,https://en.wikipedia.org/wiki/Mehrdad_Abedi,Q6809818,https://www.wikidata.org/wiki/Q6809818
Ali Alavi,https://en.wikipedia.org/wiki/Ali_Alavi,Q19897807,https://www.wikidata.org/wiki/Q19897807
Manuel Berberian,https://en.wikipedia.org/wiki/Manuel_Berberian,Q6752447,https://www.wikidata.org/wiki/Q6752447
Mina Bissell,https://en.wikipedia.org/wiki/Mina_Bissell,Q4794835,https://www.wikidata.org/wiki/Q4794835
Nader Engheta,https://en.wikipedia.org/wiki/Nader_Engheta,Q6957556,https://www.wikidata.org/wiki/Q6957556
Kamran Eshraghian,https://en.wikipedia.org/wiki/Kamran_Eshraghian,Q6359588,https://www.wikidata.org/wiki/Q6359588
Nikta Fakhri,https://en.wikipedia.org/wiki/Nikta_Fakhri,Q59085202,https://www.wikidata.org/wiki/Q59085202
Hossein Gol-e-Golab,https://en.wikipedia.org/wiki/Hossein_Gol-e-Golab,Q5763208,https://www.wikidata.org/wiki/Q5763208
Mahmoud Hessabi,https://en.wikipedia.org/wiki/Mahmoud_Hessabi,Q3091734,https://www.wikidata.org/wiki/Q3091734
Pedram Javaheri,https://en.wikipedia.org/wiki/Pedram_Javaheri,Q7159373,https://www.wikidata.org/wiki/Q7159373
Ali Javan,https://en.wikipedia.org/wiki/Ali_Javan,Q120216,https://www.wikidata.org/wiki/Q120216
Amir Banoo Karimi,https://en.wikipedia.org/wiki/Amir_Banoo_Karimi,Q5931830,https://www.wikidata.org/wiki/Q5931830
Mohammad Khorrami (physicist),https://en.wikipedia.org/wiki/Mohammad_Khorrami_%28physicist%29,,
Eugene N. Kozloff,https://en.wikipedia.org/wiki/Eugene_N._Kozloff,Q5407564,https://www.wikidata.org/wiki/Q5407564
Simin Meydani,https://en.wikipedia.org/wiki/Simin_Meydani,Q16732527,https://www.wikidata.org/wiki/Q16732527
Maryam Mirzakhani,https://en.wikipedia.org/wiki/Maryam_Mirzakhani,Q1771279,https://www.wikidata.org/wiki/Q1771279
Ali Montazeri,https://en.wikipedia.org/wiki/Ali_Montazeri,Q22006979,https://www.wikidata.org/wiki/Q22006979
Kaveh Pahlavan,https://en.wikipedia.org/wiki/Kaveh_Pahlavan,Q4357481,https://www.wikidata.org/wiki/Q4357481
Hashem Rafii Tabar,https://en.wikipedia.org/wiki/Hashem_Rafii_Tabar,Q56360820,https://www.wikidata.org/wiki/Q56360820
Sajjad Sadeghi,https://en.wikipedia.org/wiki/Sajjad_Sadeghi,Q134571215,https://www.wikidata.org/wiki/Q134571215
Azadeh Tabazadeh,https://en.wikipedia.org/wiki/Azadeh_Tabazadeh,Q5939966,https://www.wikidata.org/wiki/Q5939966
Mahyat Shafapour Tehrany,https://en.wikipedia.org/wiki/Mahyat_Shafapour_Tehrany,Q58661807,https://www.wikidata.org/wiki/Q58661807
Cumrun Vafa,https://en.wikipedia.org/wiki/Cumrun_Vafa,Q1143841,https://www.wikidata.org/wiki/Q1143841
Moussa B. H. Youdim,https://en.wikipedia.org/wiki/Moussa_B._H._Youdim,Q16105430,https://www.wikidata.org/wiki/Q16105430
Houman Younessi,https://en.wikipedia.org/wiki/Houman_Younessi,Q15503563,https://www.wikidata.org/wiki/Q15503563
