Name,Wikipedia_Link
List of Iranian singers,https://en.wikipedia.org/wiki/List_of_Iranian_singers
Naser Abdollahi,https://en.wikipedia.org/wiki/Naser_Abdollahi
Marjan Farsad,https://en.wikipedia.org/wiki/Marjan_Farsad
Rahim Moazenzadeh Ardabili,https://en.wikipedia.org/wiki/Rahim_Moazenzadeh_Ardabili
Salim Moazenzadeh Ardabili,https://en.wikipedia.org/wiki/Salim_Moazenzadeh_Ardabili
Ali Tabatabaee,https://en.wikipedia.org/wiki/Ali_Tabatabaee
Davood Younesi,https://en.wikipedia.org/wiki/Davood_Younesi
Ali Abdolmaleki,https://en.wikipedia.org/wiki/Ali_Abdolmaleki
Kaveh Afagh,https://en.wikipedia.org/wiki/Kaveh_Afagh
Nazanin Afshin-Jam,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam
Nematollah Aghasi,https://en.wikipedia.org/wiki/Nematollah_Aghasi
Majid Akhshabi,https://en.wikipedia.org/wiki/Majid_Akhshabi
Andy (singer),https://en.wikipedia.org/wiki/Andy_%28singer%29
Arash (singer),https://en.wikipedia.org/wiki/Arash_%28singer%29
Amir Hossein Arman,https://en.wikipedia.org/wiki/Amir_Hossein_Arman
Mehrdad Asemani,https://en.wikipedia.org/wiki/Mehrdad_Asemani
Faramarz Aslani,https://en.wikipedia.org/wiki/Faramarz_Aslani
Alireza Assar,https://en.wikipedia.org/wiki/Alireza_Assar
Ali Azimi,https://en.wikipedia.org/wiki/Ali_Azimi
Gholam-Hossein Banan,https://en.wikipedia.org/wiki/Gholam-Hossein_Banan
Behrad Ali Konari,https://en.wikipedia.org/wiki/Behrad_Ali_Konari
Sami Beigi,https://en.wikipedia.org/wiki/Sami_Beigi
Shahkar Bineshpajooh,https://en.wikipedia.org/wiki/Shahkar_Bineshpajooh
Cameron Cartio,https://en.wikipedia.org/wiki/Cameron_Cartio
George Chaharbakhshi,https://en.wikipedia.org/wiki/George_Chaharbakhshi
Dariush (singer),https://en.wikipedia.org/wiki/Dariush_%28singer%29
Sussan Deyhim,https://en.wikipedia.org/wiki/Sussan_Deyhim
Dorcci,https://en.wikipedia.org/wiki/Dorcci
Ebi,https://en.wikipedia.org/wiki/Ebi
Mohammad Esfahani,https://en.wikipedia.org/wiki/Mohammad_Esfahani
Fadaei,https://en.wikipedia.org/wiki/Fadaei
Cyrus Faryar,https://en.wikipedia.org/wiki/Cyrus_Faryar
Farzad Farzin,https://en.wikipedia.org/wiki/Farzad_Farzin
Fereydoon Foroughi,https://en.wikipedia.org/wiki/Fereydoon_Foroughi
Farshad Ghanbari,https://en.wikipedia.org/wiki/Farshad_Ghanbari
Alireza Ghorbani,https://en.wikipedia.org/wiki/Alireza_Ghorbani
Akbar Golpayegani,https://en.wikipedia.org/wiki/Akbar_Golpayegani
Googoosh,https://en.wikipedia.org/wiki/Googoosh
Shusha Guppy,https://en.wikipedia.org/wiki/Shusha_Guppy
Habib (singer),https://en.wikipedia.org/wiki/Habib_%28singer%29
Omid Hajili,https://en.wikipedia.org/wiki/Omid_Hajili
Hayedeh,https://en.wikipedia.org/wiki/Hayedeh
Hichkas,https://en.wikipedia.org/wiki/Hichkas
Ramin Karimloo,https://en.wikipedia.org/wiki/Ramin_Karimloo
Shahrum Kashani,https://en.wikipedia.org/wiki/Shahrum_Kashani
Mamak Khadem,https://en.wikipedia.org/wiki/Mamak_Khadem
Ehsan Khajeh Amiri,https://en.wikipedia.org/wiki/Ehsan_Khajeh_Amiri
Sirvan Khosravi,https://en.wikipedia.org/wiki/Sirvan_Khosravi
Xaniar Khosravi,https://en.wikipedia.org/wiki/Xaniar_Khosravi
Kian Pourtorab,https://en.wikipedia.org/wiki/Kian_Pourtorab
Ali Lohrasbi,https://en.wikipedia.org/wiki/Ali_Lohrasbi
Mahasti,https://en.wikipedia.org/wiki/Mahasti
Mahvash,https://en.wikipedia.org/wiki/Mahvash
Mansour (singer),https://en.wikipedia.org/wiki/Mansour_%28singer%29
Marjan (singer),https://en.wikipedia.org/wiki/Marjan_%28singer%29
Marzieh (singer),https://en.wikipedia.org/wiki/Marzieh_%28singer%29
Sahar Mohammadi,https://en.wikipedia.org/wiki/Sahar_Mohammadi
Morteza (singer),https://en.wikipedia.org/wiki/Morteza_%28singer%29
Mohammad Motamedi,https://en.wikipedia.org/wiki/Mohammad_Motamedi
Bahram Nouraei,https://en.wikipedia.org/wiki/Bahram_Nouraei
Giti Pashaei,https://en.wikipedia.org/wiki/Giti_Pashaei
Morteza Pashaei,https://en.wikipedia.org/wiki/Morteza_Pashaei
Pouran (singer),https://en.wikipedia.org/wiki/Pouran_%28singer%29
Pyruz,https://en.wikipedia.org/wiki/Pyruz
Bahram Radan,https://en.wikipedia.org/wiki/Bahram_Radan
Ramesh (singer),https://en.wikipedia.org/wiki/Ramesh_%28singer%29
Reza Rooygari,https://en.wikipedia.org/wiki/Reza_Rooygari
Sahar (singer),https://en.wikipedia.org/wiki/Sahar_%28singer%29
Sattar (singer),https://en.wikipedia.org/wiki/Sattar_%28singer%29
Shahrzad Sepanlou,https://en.wikipedia.org/wiki/Shahrzad_Sepanlou
Sepideh (singer),https://en.wikipedia.org/wiki/Sepideh_%28singer%29
Sevdaliza,https://en.wikipedia.org/wiki/Sevdaliza
Shab (singer),https://en.wikipedia.org/wiki/Shab_%28singer%29
Shahram Shabpareh,https://en.wikipedia.org/wiki/Shahram_Shabpareh
Shahrokh (singer),https://en.wikipedia.org/wiki/Shahrokh_%28singer%29
Homayoun Shajarian,https://en.wikipedia.org/wiki/Homayoun_Shajarian
Mojgan Shajarian,https://en.wikipedia.org/wiki/Mojgan_Shajarian
Arash Sobhani,https://en.wikipedia.org/wiki/Arash_Sobhani
Shohreh (singer),https://en.wikipedia.org/wiki/Shohreh_%28singer%29
Jasmin Tabatabai,https://en.wikipedia.org/wiki/Jasmin_Tabatabai
