Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Arash Estilaf,https://en.wikipedia.org/wiki/Arash_Estilaf,Q105846650,https://www.wikidata.org/wiki/Q105846650,male,,,,,,
Elika Abdolrazzaghi,https://en.wikipedia.org/wiki/Elika_Abdolrazzaghi,Q5946917,https://www.wikidata.org/wiki/Q5946917,female,actor,Iran,Tehran,1979-08-09T00:00:00Z,,
Nasim Adabi,https://en.wikipedia.org/wiki/Nasim_Adabi,Q20109504,https://www.wikidata.org/wiki/Q20109504,female,actor,Iran,Tehran,1976-01-01T00:00:00Z,,
Golab Adineh,https://en.wikipedia.org/wiki/Golab_Adineh,Q3109977,https://www.wikidata.org/wiki/Q3109977,female,actor,Iran; Pahlavi Iran,Tehran,1953-11-14T00:00:00Z,,
Anahita Afshar,https://en.wikipedia.org/wiki/Anahita_Afshar,Q11689093,https://www.wikidata.org/wiki/Q11689093,female,actor; film actor,Iran,Tehran,1986-07-29T00:00:00Z,,
Bahareh Kian Afshar,https://en.wikipedia.org/wiki/Bahareh_Kian_Afshar,Q13453217,https://www.wikidata.org/wiki/Q13453217,female,actor; songwriter,Iran,Tehran,1983-04-30T00:00:00Z,,
Mahnaz Afshar,https://en.wikipedia.org/wiki/Mahnaz_Afshar,Q3113907,https://www.wikidata.org/wiki/Q3113907,female,actor; model,Iran,Tehran,1977-06-11T00:00:00Z,AfsharMahnaz,https://x.com/AfsharMahnaz
Bahareh Afshari,https://en.wikipedia.org/wiki/Bahareh_Afshari,Q5740014,https://www.wikidata.org/wiki/Q5740014,female,actor,Iran,Shahrud,1984-07-05T00:00:00Z,,
Shohreh Aghdashloo,https://en.wikipedia.org/wiki/Shohreh_Aghdashloo,Q229766,https://www.wikidata.org/wiki/Q229766,female,actor; film actor; stage actor; television actor; voice actor,Iran,Tehran,1952-05-11T00:00:00Z,SAghdashloo,https://x.com/SAghdashloo
Nazanin Ahmadi,https://en.wikipedia.org/wiki/Nazanin_Ahmadi,Q84849960,https://www.wikidata.org/wiki/Q84849960,female,actor; film actor,Iran,Tehran,1986-01-01T00:00:00Z,,
