Name,Wikipedia_Link,wikidata_qid,wikidata_url
Mahsa Arasteh,https://en.wikipedia.org/wiki/Mahsa_Arasteh,Q124150989,https://www.wikidata.org/wiki/Q124150989
Reza Abedini (volleyball),https://en.wikipedia.org/wiki/Reza_Abedini_%28volleyball%29,,
Mahmoud Afshardoust,https://en.wikipedia.org/wiki/Mahmoud_Afshardoust,Q18515433,https://www.wikidata.org/wiki/Q18515433
Matin Ahmadi,https://en.wikipedia.org/wiki/Matin_Ahmadi,Q135479471,https://www.wikidata.org/wiki/Q135479471
Abdolreza Alizadeh,https://en.wikipedia.org/wiki/Abdolreza_Alizadeh,Q18882401,https://www.wikidata.org/wiki/Q18882401
Amir Mohammad Golzadeh,https://en.wikipedia.org/wiki/Amir_Mohammad_Golzadeh,Q120745459,https://www.wikidata.org/wiki/Q120745459
Armin Ghelichniazi,https://en.wikipedia.org/wiki/Armin_Ghelichniazi,Q135554547,https://www.wikidata.org/wiki/Q135554547
Armin Afshin Far,https://en.wikipedia.org/wiki/Armin_Afshin_Far,Q121303057,https://www.wikidata.org/wiki/Q121303057
Behrouz Ataei,https://en.wikipedia.org/wiki/Behrouz_Ataei,Q19575214,https://www.wikidata.org/wiki/Q19575214
Mehdi Bazargard,https://en.wikipedia.org/wiki/Mehdi_Bazargard,Q15073196,https://www.wikidata.org/wiki/Q15073196
Alireza Behboudi,https://en.wikipedia.org/wiki/Alireza_Behboudi,Q16048715,https://www.wikidata.org/wiki/Q16048715
Rahman Davoudi,https://en.wikipedia.org/wiki/Rahman_Davoudi,Q14656605,https://www.wikidata.org/wiki/Q14656605
Milad Ebadipour,https://en.wikipedia.org/wiki/Milad_Ebadipour,Q17992921,https://www.wikidata.org/wiki/Q17992921
Erfan Norouzi,https://en.wikipedia.org/wiki/Erfan_Norouzi,Q120798413,https://www.wikidata.org/wiki/Q120798413
Amirhossein Esfandiar,https://en.wikipedia.org/wiki/Amirhossein_Esfandiar,Q66098692,https://www.wikidata.org/wiki/Q66098692
Amin Esmaeilnezhad,https://en.wikipedia.org/wiki/Amin_Esmaeilnezhad,Q109552512,https://www.wikidata.org/wiki/Q109552512
Saman Faezi,https://en.wikipedia.org/wiki/Saman_Faezi,Q15793493,https://www.wikidata.org/wiki/Q15793493
