Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Mahsa Arasteh,https://en.wikipedia.org/wiki/Mahsa_Arasteh,Q124150989,https://www.wikidata.org/wiki/Q124150989,female,volleyball coach; volleyball player,Iran,Qom,1989-01-28T00:00:00Z,,
Reza Abedini (volleyball),https://en.wikipedia.org/wiki/Reza_Abedini_%28volleyball%29,,,,,,,,,
Mahmoud Afshardoust,https://en.wikipedia.org/wiki/Mahmoud_Afshardoust,Q18515433,https://www.wikidata.org/wiki/Q18515433,male,volleyball player,Iran,Karaj,1975-05-22T00:00:00Z,,
Matin Ahmadi,https://en.wikipedia.org/wiki/Matin_Ahmadi,Q135479471,https://www.wikidata.org/wiki/Q135479471,male,volleyball player,,,2001-05-15T00:00:00Z,,
Abdolreza Alizadeh,https://en.wikipedia.org/wiki/Abdolreza_Alizadeh,Q18882401,https://www.wikidata.org/wiki/Q18882401,male,volleyball player,Iran,Urmia,1987-02-19T00:00:00Z,,
Amir Mohammad Golzadeh,https://en.wikipedia.org/wiki/Amir_Mohammad_Golzadeh,Q120745459,https://www.wikidata.org/wiki/Q120745459,male,,,,2003-05-09T00:00:00Z,,
Armin Ghelichniazi,https://en.wikipedia.org/wiki/Armin_Ghelichniazi,Q135554547,https://www.wikidata.org/wiki/Q135554547,male,,Iran,,2005-01-20T00:00:00Z,,
Armin Afshin Far,https://en.wikipedia.org/wiki/Armin_Afshin_Far,Q121303057,https://www.wikidata.org/wiki/Q121303057,male,volleyball player,Iran,Tehran,1998-03-10T00:00:00Z,,
Behrouz Ataei,https://en.wikipedia.org/wiki/Behrouz_Ataei,Q19575214,https://www.wikidata.org/wiki/Q19575214,male,volleyball coach; volleyball player,Iran,Amol,1970-08-05T00:00:00Z,,
Mehdi Bazargard,https://en.wikipedia.org/wiki/Mehdi_Bazargard,Q15073196,https://www.wikidata.org/wiki/Q15073196,male,volleyball player,Iran,Tehran,1979-03-16T00:00:00Z,,
Alireza Behboudi,https://en.wikipedia.org/wiki/Alireza_Behboudi,Q16048715,https://www.wikidata.org/wiki/Q16048715,male,volleyball player,Iran,Qazvin,1979-03-10T00:00:00Z,,
Rahman Davoudi,https://en.wikipedia.org/wiki/Rahman_Davoudi,Q14656605,https://www.wikidata.org/wiki/Q14656605,male,volleyball player,Iran,Malayer,1988-02-18T00:00:00Z,,
Milad Ebadipour,https://en.wikipedia.org/wiki/Milad_Ebadipour,Q17992921,https://www.wikidata.org/wiki/Q17992921,male,volleyball player,Iran,Urmia,1993-10-17T00:00:00Z,,
Erfan Norouzi,https://en.wikipedia.org/wiki/Erfan_Norouzi,Q120798413,https://www.wikidata.org/wiki/Q120798413,male,volleyball player,Iran,Amol,2003-07-12T00:00:00Z,,
Amirhossein Esfandiar,https://en.wikipedia.org/wiki/Amirhossein_Esfandiar,Q66098692,https://www.wikidata.org/wiki/Q66098692,male,volleyball player,,Amol,1999-01-24T00:00:00Z,,
Amin Esmaeilnezhad,https://en.wikipedia.org/wiki/Amin_Esmaeilnezhad,Q109552512,https://www.wikidata.org/wiki/Q109552512,male,volleyball player,,Malekan,1996-01-01T00:00:00Z,,
Saman Faezi,https://en.wikipedia.org/wiki/Saman_Faezi,Q15793493,https://www.wikidata.org/wiki/Q15793493,male,volleyball player,Iran,Tehran,1991-08-23T00:00:00Z,,
Bahram Farid,https://en.wikipedia.org/wiki/Bahram_Farid,Q18635454,https://www.wikidata.org/wiki/Q18635454,male,volleyball player,Iran,Urmia,1984-01-01T00:00:00Z,,
Purya Fayazi,https://en.wikipedia.org/wiki/Purya_Fayazi,Q15503132,https://www.wikidata.org/wiki/Q15503132,male,volleyball player,Iran,Urmia,1993-01-12T00:00:00Z,,
Farhad Ghaemi,https://en.wikipedia.org/wiki/Farhad_Ghaemi,Q4814846,https://www.wikidata.org/wiki/Q4814846,male,volleyball player,Iran,Gonbad-e Kavus,1989-08-28T00:00:00Z,,
Amir Ghafour,https://en.wikipedia.org/wiki/Amir_Ghafour,Q5942765,https://www.wikidata.org/wiki/Q5942765,male,volleyball player,Iran,Kashan,1991-06-06T00:00:00Z,,
Adel Gholami,https://en.wikipedia.org/wiki/Adel_Gholami,Q5846707,https://www.wikidata.org/wiki/Q5846707,male,beach volleyball player; volleyball player,Iran,Amol,1986-02-09T00:00:00Z,,
Masoud Gholami,https://en.wikipedia.org/wiki/Masoud_Gholami,Q20871000,https://www.wikidata.org/wiki/Q20871000,male,volleyball player,Iran,Iran,1991-04-02T00:00:00Z,,
Ali Hajipour (volleyball),https://en.wikipedia.org/wiki/Ali_Hajipour_%28volleyball%29,,,,,,,,,
Mohammad Reza Hazratpour,https://en.wikipedia.org/wiki/Mohammad_Reza_Hazratpour,Q61560950,https://www.wikidata.org/wiki/Q61560950,male,volleyball player,Iran,Urmia,1999-03-31T00:00:00Z,,
