Name,Wikipedia_Link
Elham Hosseini,https://en.wikipedia.org/wiki/Elham_Hosseini
Yekta Jamali,https://en.wikipedia.org/wiki/Yekta_Jamali
Mozaffar Ajali,https://en.wikipedia.org/wiki/Mozaffar_Ajali
Saeid Alihosseini,https://en.wikipedia.org/wiki/Saeid_Alihosseini
Mohammad Ami-Tehrani,https://en.wikipedia.org/wiki/Mohammad_Ami-Tehrani
Mongashti Amirian,https://en.wikipedia.org/wiki/Mongashti_Amirian
Sajjad Anoushiravani,https://en.wikipedia.org/wiki/Sajjad_Anoushiravani
Majid Askari,https://en.wikipedia.org/wiki/Majid_Askari
Mehdi Attar-Ashrafi,https://en.wikipedia.org/wiki/Mehdi_Attar-Ashrafi
Alireza Azari,https://en.wikipedia.org/wiki/Alireza_Azari
Saeid Azari,https://en.wikipedia.org/wiki/Saeid_Azari
Kourosh Bagheri,https://en.wikipedia.org/wiki/Kourosh_Bagheri
Mohsen Bahramzadeh,https://en.wikipedia.org/wiki/Mohsen_Bahramzadeh
Mohammad Reza Barari,https://en.wikipedia.org/wiki/Mohammad_Reza_Barari
Mohammad Hossein Barkhah,https://en.wikipedia.org/wiki/Mohammad_Hossein_Barkhah
Jaber Behrouzi,https://en.wikipedia.org/wiki/Jaber_Behrouzi
Sajjad Behrouzi,https://en.wikipedia.org/wiki/Sajjad_Behrouzi
Mohsen Beiranvand,https://en.wikipedia.org/wiki/Mohsen_Beiranvand
Reza Beiranvand,https://en.wikipedia.org/wiki/Reza_Beiranvand
Manouchehr Boroumand,https://en.wikipedia.org/wiki/Manouchehr_Boroumand
Ali Davoudi,https://en.wikipedia.org/wiki/Ali_Davoudi
Reza Dehdar,https://en.wikipedia.org/wiki/Reza_Dehdar
Alireza Dehghan,https://en.wikipedia.org/wiki/Alireza_Dehghan
Fazlollah Dehkhoda,https://en.wikipedia.org/wiki/Fazlollah_Dehkhoda
Nasrollah Dehnavi,https://en.wikipedia.org/wiki/Nasrollah_Dehnavi
Asghar Ebrahimi,https://en.wikipedia.org/wiki/Asghar_Ebrahimi
Esmaeil Elmkhah,https://en.wikipedia.org/wiki/Esmaeil_Elmkhah
Reza Esteki,https://en.wikipedia.org/wiki/Reza_Esteki
Mohammad Ali Falahatinejad,https://en.wikipedia.org/wiki/Mohammad_Ali_Falahatinejad
Abdollah Fatemi,https://en.wikipedia.org/wiki/Abdollah_Fatemi
Hassan Ferdos,https://en.wikipedia.org/wiki/Hassan_Ferdos
Daniel Gevargiz,https://en.wikipedia.org/wiki/Daniel_Gevargiz
Kia Ghadami,https://en.wikipedia.org/wiki/Kia_Ghadami
Hafez Ghashghaei,https://en.wikipedia.org/wiki/Hafez_Ghashghaei
Ali Hashemi (weightlifter),https://en.wikipedia.org/wiki/Ali_Hashemi_%28weightlifter%29
Amir Hoghoughi,https://en.wikipedia.org/wiki/Amir_Hoghoughi
Parviz Jalayer,https://en.wikipedia.org/wiki/Parviz_Jalayer
Mirmostafa Javadi,https://en.wikipedia.org/wiki/Mirmostafa_Javadi
Houshang Kargarnejad,https://en.wikipedia.org/wiki/Houshang_Kargarnejad
