Name,Wikipedia_Link,wikidata_qid,wikidata_url
Elham Hosseini,https://en.wikipedia.org/wiki/Elham_Hosseini,Q68340225,https://www.wikidata.org/wiki/Q68340225
Yekta Jamali,https://en.wikipedia.org/wiki/Yekta_Jamali,Q107124270,https://www.wikidata.org/wiki/Q107124270
Mozaffar Ajali,https://en.wikipedia.org/wiki/Mozaffar_Ajali,Q62035605,https://www.wikidata.org/wiki/Q62035605
Saeid Alihosseini,https://en.wikipedia.org/wiki/Saeid_Alihosseini,Q7398275,https://www.wikidata.org/wiki/Q7398275
Mohammad Ami-Tehrani,https://en.wikipedia.org/wiki/Mohammad_Ami-Tehrani,Q25424312,https://www.wikidata.org/wiki/Q25424312
Mongashti Amirian,https://en.wikipedia.org/wiki/Mongashti_Amirian,Q31202459,https://www.wikidata.org/wiki/Q31202459
Sajjad Anoushiravani,https://en.wikipedia.org/wiki/Sajjad_Anoushiravani,Q3039613,https://www.wikidata.org/wiki/Q3039613
Majid Askari,https://en.wikipedia.org/wiki/Majid_Askari,Q19634504,https://www.wikidata.org/wiki/Q19634504
Mehdi Attar-Ashrafi,https://en.wikipedia.org/wiki/Mehdi_Attar-Ashrafi,Q31202565,https://www.wikidata.org/wiki/Q31202565
Alireza Azari,https://en.wikipedia.org/wiki/Alireza_Azari,Q83981396,https://www.wikidata.org/wiki/Q83981396
Saeid Azari,https://en.wikipedia.org/wiki/Saeid_Azari,Q7398216,https://www.wikidata.org/wiki/Q7398216
Kourosh Bagheri,https://en.wikipedia.org/wiki/Kourosh_Bagheri,Q6434712,https://www.wikidata.org/wiki/Q6434712
Mohsen Bahramzadeh,https://en.wikipedia.org/wiki/Mohsen_Bahramzadeh,Q20987919,https://www.wikidata.org/wiki/Q20987919
Mohammad Reza Barari,https://en.wikipedia.org/wiki/Mohammad_Reza_Barari,Q16147025,https://www.wikidata.org/wiki/Q16147025
Mohammad Hossein Barkhah,https://en.wikipedia.org/wiki/Mohammad_Hossein_Barkhah,Q6892035,https://www.wikidata.org/wiki/Q6892035
Jaber Behrouzi,https://en.wikipedia.org/wiki/Jaber_Behrouzi,Q20987845,https://www.wikidata.org/wiki/Q20987845
Sajjad Behrouzi,https://en.wikipedia.org/wiki/Sajjad_Behrouzi,Q20987969,https://www.wikidata.org/wiki/Q20987969
Mohsen Beiranvand,https://en.wikipedia.org/wiki/Mohsen_Beiranvand,Q868785,https://www.wikidata.org/wiki/Q868785
Reza Beiranvand,https://en.wikipedia.org/wiki/Reza_Beiranvand,Q58362640,https://www.wikidata.org/wiki/Q58362640
Manouchehr Boroumand,https://en.wikipedia.org/wiki/Manouchehr_Boroumand,Q6751460,https://www.wikidata.org/wiki/Q6751460
Ali Davoudi,https://en.wikipedia.org/wiki/Ali_Davoudi,Q28100746,https://www.wikidata.org/wiki/Q28100746
Reza Dehdar,https://en.wikipedia.org/wiki/Reza_Dehdar,Q68584560,https://www.wikidata.org/wiki/Q68584560
Alireza Dehghan,https://en.wikipedia.org/wiki/Alireza_Dehghan,Q23884732,https://www.wikidata.org/wiki/Q23884732
Fazlollah Dehkhoda,https://en.wikipedia.org/wiki/Fazlollah_Dehkhoda,Q31202652,https://www.wikidata.org/wiki/Q31202652
