Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Elham Hosseini,https://en.wikipedia.org/wiki/Elham_Hosseini,Q68340225,https://www.wikidata.org/wiki/Q68340225,female,weightlifter,Iran,Azna,1988-09-16T00:00:00Z
Yekta Jamali,https://en.wikipedia.org/wiki/Yekta_Jamali,Q107124270,https://www.wikidata.org/wiki/Q107124270,female,weightlifter,,Sedeh Lenjan,2004-12-16T00:00:00Z
Mozaffar Ajali,https://en.wikipedia.org/wiki/Mozaffar_Ajali,Q62035605,https://www.wikidata.org/wiki/Q62035605,male,weightlifter,,,1962-01-01T00:00:00Z
Saeid Alihosseini,https://en.wikipedia.org/wiki/Saeid_Alihosseini,Q7398275,https://www.wikidata.org/wiki/Q7398275,male,weightlifter,Iran,Ardabil,1988-02-02T00:00:00Z
Mohammad Ami-Tehrani,https://en.wikipedia.org/wiki/Mohammad_Ami-Tehrani,Q25424312,https://www.wikidata.org/wiki/Q25424312,male,weightlifter,Iran,Behshahr,1935-09-20T00:00:00Z
Mongashti Amirian,https://en.wikipedia.org/wiki/Mongashti_Amirian,Q31202459,https://www.wikidata.org/wiki/Q31202459,male,weightlifter,Iran,Haftkel,1936-02-03T00:00:00Z
Sajjad Anoushiravani,https://en.wikipedia.org/wiki/Sajjad_Anoushiravani,Q3039613,https://www.wikidata.org/wiki/Q3039613,male,weightlifter,Iran,Ardabil,1984-05-12T00:00:00Z
Majid Askari,https://en.wikipedia.org/wiki/Majid_Askari,Q19634504,https://www.wikidata.org/wiki/Q19634504,male,weightlifter,Iran,,1991-11-08T00:00:00Z
Mehdi Attar-Ashrafi,https://en.wikipedia.org/wiki/Mehdi_Attar-Ashrafi,Q31202565,https://www.wikidata.org/wiki/Q31202565,male,weightlifter,Iran,,1948-12-23T00:00:00Z
Alireza Azari,https://en.wikipedia.org/wiki/Alireza_Azari,Q83981396,https://www.wikidata.org/wiki/Q83981396,male,weightlifter,,,1968-06-12T00:00:00Z
Saeid Azari,https://en.wikipedia.org/wiki/Saeid_Azari,Q7398216,https://www.wikidata.org/wiki/Q7398216,male,weightlifter,Iran,Kashan,1956-06-06T00:00:00Z
Kourosh Bagheri,https://en.wikipedia.org/wiki/Kourosh_Bagheri,Q6434712,https://www.wikidata.org/wiki/Q6434712,male,weightlifter,Iran,Kermanshah,1977-09-21T00:00:00Z
Mohsen Bahramzadeh,https://en.wikipedia.org/wiki/Mohsen_Bahramzadeh,Q20987919,https://www.wikidata.org/wiki/Q20987919,male,weightlifter,Iran,,1990-08-13T00:00:00Z
Mohammad Reza Barari,https://en.wikipedia.org/wiki/Mohammad_Reza_Barari,Q16147025,https://www.wikidata.org/wiki/Q16147025,male,weightlifter,Iran,Sari,1988-03-31T00:00:00Z
Mohammad Hossein Barkhah,https://en.wikipedia.org/wiki/Mohammad_Hossein_Barkhah,Q6892035,https://www.wikidata.org/wiki/Q6892035,male,weightlifter,Iran,Tehran,1977-01-24T00:00:00Z
Jaber Behrouzi,https://en.wikipedia.org/wiki/Jaber_Behrouzi,Q20987845,https://www.wikidata.org/wiki/Q20987845,male,weightlifter,Iran,Ahvaz,1991-08-22T00:00:00Z
Sajjad Behrouzi,https://en.wikipedia.org/wiki/Sajjad_Behrouzi,Q20987969,https://www.wikidata.org/wiki/Q20987969,male,weightlifter,Iran,Marvdasht,1989-09-20T00:00:00Z
Mohsen Beiranvand,https://en.wikipedia.org/wiki/Mohsen_Beiranvand,Q868785,https://www.wikidata.org/wiki/Q868785,male,weightlifter,Iran,Yazd,1981-06-09T00:00:00Z
Reza Beiranvand,https://en.wikipedia.org/wiki/Reza_Beiranvand,Q58362640,https://www.wikidata.org/wiki/Q58362640,male,weightlifter,Iran,Borujerd,1997-04-01T00:00:00Z
Manouchehr Boroumand,https://en.wikipedia.org/wiki/Manouchehr_Boroumand,Q6751460,https://www.wikidata.org/wiki/Q6751460,male,weightlifter,Iran,Babolsar,1934-03-26T00:00:00Z
Ali Davoudi,https://en.wikipedia.org/wiki/Ali_Davoudi,Q28100746,https://www.wikidata.org/wiki/Q28100746,male,weightlifter,Iran,Tehran,1999-03-22T00:00:00Z
Reza Dehdar,https://en.wikipedia.org/wiki/Reza_Dehdar,Q68584560,https://www.wikidata.org/wiki/Q68584560,male,weightlifter,,Ramhormoz,1995-07-02T00:00:00Z
Alireza Dehghan,https://en.wikipedia.org/wiki/Alireza_Dehghan,Q23884732,https://www.wikidata.org/wiki/Q23884732,male,weightlifter,Iran,,1996-12-27T00:00:00Z
Fazlollah Dehkhoda,https://en.wikipedia.org/wiki/Fazlollah_Dehkhoda,Q31202652,https://www.wikidata.org/wiki/Q31202652,male,weightlifter,Iran,,1949-01-01T00:00:00Z
Nasrollah Dehnavi,https://en.wikipedia.org/wiki/Nasrollah_Dehnavi,Q16145006,https://www.wikidata.org/wiki/Q16145006,male,weightlifter,Iran,Masjed Soleiman,1950-06-23T00:00:00Z
Asghar Ebrahimi,https://en.wikipedia.org/wiki/Asghar_Ebrahimi,Q373078,https://www.wikidata.org/wiki/Q373078,male,weightlifter,Iran,Rasht,1982-04-01T00:00:00Z
Esmaeil Elmkhah,https://en.wikipedia.org/wiki/Esmaeil_Elmkhah,Q372714,https://www.wikidata.org/wiki/Q372714,male,weightlifter,Iran,Tehran,1936-12-30T00:00:00Z
Reza Esteki,https://en.wikipedia.org/wiki/Reza_Esteki,Q79519405,https://www.wikidata.org/wiki/Q79519405,male,athlete,,Isfahan,1937-05-11T00:00:00Z
Mohammad Ali Falahatinejad,https://en.wikipedia.org/wiki/Mohammad_Ali_Falahatinejad,Q6891760,https://www.wikidata.org/wiki/Q6891760,male,weightlifter,Iran,Tehran,1976-02-25T00:00:00Z
Abdollah Fatemi,https://en.wikipedia.org/wiki/Abdollah_Fatemi,Q84080874,https://www.wikidata.org/wiki/Q84080874,male,weightlifter,,,1958-09-16T00:00:00Z
Hassan Ferdos,https://en.wikipedia.org/wiki/Hassan_Ferdos,Q27132604,https://www.wikidata.org/wiki/Q27132604,male,weightlifter,Iran,,1929-09-29T00:00:00Z
Daniel Gevargiz,https://en.wikipedia.org/wiki/Daniel_Gevargiz,Q80559247,https://www.wikidata.org/wiki/Q80559247,male,weightlifter,Iran,Urmia,1940-04-08T00:00:00Z
