Name,Wikipedia_Link,wikidata_qid,wikidata_url
Nazanin Afshin-Jam,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam,Q447592,https://www.wikidata.org/wiki/Q447592
Parastoo Ahmadi,https://en.wikipedia.org/wiki/Parastoo_Ahmadi,Q131429477,https://www.wikidata.org/wiki/Q131429477
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad,Q6783266,https://www.wikidata.org/wiki/Q6783266
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini,Q21475060,https://www.wikidata.org/wiki/Q21475060
Yasaman Aryani,https://en.wikipedia.org/wiki/Yasaman_Aryani,Q71330356,https://www.wikidata.org/wiki/Q71330356
Gelareh Bagherzadeh,https://en.wikipedia.org/wiki/Gelareh_Bagherzadeh,Q56599884,https://www.wikidata.org/wiki/Q56599884
Farahnaz Bahrami,https://en.wikipedia.org/wiki/Farahnaz_Bahrami,Q16170420,https://www.wikidata.org/wiki/Q16170420
Niloufar Bayani,https://en.wikipedia.org/wiki/Niloufar_Bayani,Q85624058,https://www.wikidata.org/wiki/Q85624058
Atena Daemi,https://en.wikipedia.org/wiki/Atena_Daemi,Q28016688,https://www.wikidata.org/wiki/Q28016688
Ana Diamond,https://en.wikipedia.org/wiki/Ana_Diamond,Q72219195,https://www.wikidata.org/wiki/Q72219195
Mehrangiz Dowlatshahi,https://en.wikipedia.org/wiki/Mehrangiz_Dowlatshahi,Q5945232,https://www.wikidata.org/wiki/Q5945232
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152
Elahe Ejbari,https://en.wikipedia.org/wiki/Elahe_Ejbari,Q126179602,https://www.wikidata.org/wiki/Q126179602
Gohar Eshghi,https://en.wikipedia.org/wiki/Gohar_Eshghi,Q12240017,https://www.wikidata.org/wiki/Q12240017
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi,Q144181,https://www.wikidata.org/wiki/Q144181
Atena Farghadani,https://en.wikipedia.org/wiki/Atena_Farghadani,Q19960495,https://www.wikidata.org/wiki/Q19960495
Maryam Farman Farmaian,https://en.wikipedia.org/wiki/Maryam_Farman_Farmaian,Q6781074,https://www.wikidata.org/wiki/Q6781074
Kiana Firouz,https://en.wikipedia.org/wiki/Kiana_Firouz,Q1740761,https://www.wikidata.org/wiki/Q1740761
Parvaneh Forouhar,https://en.wikipedia.org/wiki/Parvaneh_Forouhar,Q7141259,https://www.wikidata.org/wiki/Q7141259
Ghoncheh Ghavami,https://en.wikipedia.org/wiki/Ghoncheh_Ghavami,Q18249211,https://www.wikidata.org/wiki/Q18249211
Motahereh Gounei,https://en.wikipedia.org/wiki/Motahereh_Gounei,Q125740126,https://www.wikidata.org/wiki/Q125740126
Neda Hassani,https://en.wikipedia.org/wiki/Neda_Hassani,Q16015845,https://www.wikidata.org/wiki/Q16015845
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat,Q4842451,https://www.wikidata.org/wiki/Q4842451
Shamsi Hekmat,https://en.wikipedia.org/wiki/Shamsi_Hekmat,Q23414790,https://www.wikidata.org/wiki/Q23414790
Iranian Complainant Mothers,https://en.wikipedia.org/wiki/Iranian_Complainant_Mothers,Q109550320,https://www.wikidata.org/wiki/Q109550320
Faezeh Jalali,https://en.wikipedia.org/wiki/Faezeh_Jalali,Q17744435,https://www.wikidata.org/wiki/Q17744435
Azam Jangravi,https://en.wikipedia.org/wiki/Azam_Jangravi,Q114552923,https://www.wikidata.org/wiki/Q114552923
Sheema Kalbasi,https://en.wikipedia.org/wiki/Sheema_Kalbasi,Q4994679,https://www.wikidata.org/wiki/Q4994679
Shokufeh Kavani,https://en.wikipedia.org/wiki/Shokufeh_Kavani,Q7500187,https://www.wikidata.org/wiki/Q7500187
Simin Keramati,https://en.wikipedia.org/wiki/Simin_Keramati,Q114576283,https://www.wikidata.org/wiki/Q114576283
Mandana Khazraei,https://en.wikipedia.org/wiki/Mandana_Khazraei,Q131561349,https://www.wikidata.org/wiki/Q131561349
Azar Majedi,https://en.wikipedia.org/wiki/Azar_Majedi,Q2875091,https://www.wikidata.org/wiki/Q2875091
Nazila Maroufian,https://en.wikipedia.org/wiki/Nazila_Maroufian,Q122200508,https://www.wikidata.org/wiki/Q122200508
Yassamine Mather,https://en.wikipedia.org/wiki/Yassamine_Mather,Q20111205,https://www.wikidata.org/wiki/Q20111205
Lily Mazahery,https://en.wikipedia.org/wiki/Lily_Mazahery,Q6548538,https://www.wikidata.org/wiki/Q6548538
Parvaneh Milani,https://en.wikipedia.org/wiki/Parvaneh_Milani,Q23678494,https://www.wikidata.org/wiki/Q23678494
Elham Modaressi,https://en.wikipedia.org/wiki/Elham_Modaressi,Q130124926,https://www.wikidata.org/wiki/Q130124926
Narges Mohammadi,https://en.wikipedia.org/wiki/Narges_Mohammadi,Q4967771,https://www.wikidata.org/wiki/Q4967771
