Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Azar Andami,https://en.wikipedia.org/wiki/Azar_Andami,Q2875087,https://www.wikidata.org/wiki/Q2875087,female,bacteriologist; university teacher; vaccinologist,Iran,Rasht,1926-12-08T00:00:00Z
Homa Darabi,https://en.wikipedia.org/wiki/Homa_Darabi,Q165488,https://www.wikidata.org/wiki/Q165488,female,psychiatrist; university teacher; women's rights activist,Iran,Tehran,1940-01-01T00:00:00Z
Masoumeh Ebtekar,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar,Q738196,https://www.wikidata.org/wiki/Q738196,female,blogger; environmentalist; immunologist; journalist; politician; translator; writer,Iran,Tehran,1960-09-21T00:00:00Z
Morvarid Karimi,https://en.wikipedia.org/wiki/Morvarid_Karimi,Q39058309,https://www.wikidata.org/wiki/Q39058309,female,scientist,,Isfahan,1971-09-25T00:00:00Z
Minoo Mohraz,https://en.wikipedia.org/wiki/Minoo_Mohraz,Q5835086,https://www.wikidata.org/wiki/Q5835086,female,physician; researcher,Iran,Tehran,1946-01-19T00:00:00Z
Farrokhroo Parsa,https://en.wikipedia.org/wiki/Farrokhroo_Parsa,Q2986892,https://www.wikidata.org/wiki/Q2986892,female,physician; politician,Iran,Qom,1922-03-22T00:00:00Z
Sakineh Peri,https://en.wikipedia.org/wiki/Sakineh_Peri,Q115202021,https://www.wikidata.org/wiki/Q115202021,female,physician,,,1902-01-01T00:00:00Z
Homa Shaibany,https://en.wikipedia.org/wiki/Homa_Shaibany,Q5887331,https://www.wikidata.org/wiki/Q5887331,female,scientist; surgeon,Iran,Tehran,1913-01-01T00:00:00Z
Farzaneh Sharifi,https://en.wikipedia.org/wiki/Farzaneh_Sharifi,Q129032570,https://www.wikidata.org/wiki/Q129032570,female,urologist,Iran,,1961-01-01T00:00:00Z
Badri Teymourtash,https://en.wikipedia.org/wiki/Badri_Teymourtash,Q4841130,https://www.wikidata.org/wiki/Q4841130,female,dentist; physician,Iran,Mashhad,1911-01-01T00:00:00Z
Parvaneh Vossough,https://en.wikipedia.org/wiki/Parvaneh_Vossough,Q16048346,https://www.wikidata.org/wiki/Q16048346,female,philanthropist; physician,Iran,,1936-02-01T00:00:00Z
Neda Alijani,https://en.wikipedia.org/wiki/Neda_Alijani,Q85164946,https://www.wikidata.org/wiki/Q85164946,female,infectious disease physician,,,1981-01-01T00:00:00Z
Maryam Lustberg,https://en.wikipedia.org/wiki/Maryam_Lustberg,Q92301825,https://www.wikidata.org/wiki/Q92301825,female,editor; physician,,,1975-01-01T00:00:00Z
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran,Q43249705,https://www.wikidata.org/wiki/Q43249705,female,cardiologist; researcher,,,2000-01-01T00:00:00Z
Masoumeh Pashaei Bahram,https://en.wikipedia.org/wiki/Masoumeh_Pashaei_Bahram,Q86653695,https://www.wikidata.org/wiki/Q86653695,female,politician,,,1981-01-01T00:00:00Z
Akram Pedramnia,https://en.wikipedia.org/wiki/Akram_Pedramnia,Q56367355,https://www.wikidata.org/wiki/Q56367355,female,literary critic; novelist; physician; poet; translator; writer,,Iran,1969-02-17T00:00:00Z
Aida Rostami,https://en.wikipedia.org/wiki/Aida_Rostami,Q115787019,https://www.wikidata.org/wiki/Q115787019,female,physician,Iran,,1986-01-01T00:00:00Z
Saba Valadkhan,https://en.wikipedia.org/wiki/Saba_Valadkhan,Q4795299,https://www.wikidata.org/wiki/Q4795299,female,biologist; researcher; university teacher,Iran; United States,,
