Name,Wikipedia_Link
Meisam Amini,https://en.wikipedia.org/wiki/Meisam_Amini
Ataullah Behmanesh,https://en.wikipedia.org/wiki/Ataullah_Behmanesh
Hamzeh Ali Pahlevanpour,https://en.wikipedia.org/wiki/Hamzeh_Ali_Pahlevanpour
Khalil Oghab,https://en.wikipedia.org/wiki/Khalil_Oghab
Reza Beyk Imanverdi,https://en.wikipedia.org/wiki/Reza_Beyk_Imanverdi
Kamal Shalorus,https://en.wikipedia.org/wiki/Kamal_Shalorus
Pahlevan of Iran,https://en.wikipedia.org/wiki/Pahlevan_of_Iran
Ayoub Baninosrat,https://en.wikipedia.org/wiki/Ayoub_Baninosrat
Parviz Hadi,https://en.wikipedia.org/wiki/Parviz_Hadi
Fardin Masoumi,https://en.wikipedia.org/wiki/Fardin_Masoumi
Mansour Mehdizadeh,https://en.wikipedia.org/wiki/Mansour_Mehdizadeh
Mahmoud Miran,https://en.wikipedia.org/wiki/Mahmoud_Miran
Abolghasem Sakhdari,https://en.wikipedia.org/wiki/Abolghasem_Sakhdari
Alireza Soleimani,https://en.wikipedia.org/wiki/Alireza_Soleimani
Reza Soukhtehsaraei,https://en.wikipedia.org/wiki/Reza_Soukhtehsaraei
Gholamreza Takhti,https://en.wikipedia.org/wiki/Gholamreza_Takhti
Abbas Zandi,https://en.wikipedia.org/wiki/Abbas_Zandi
List of Iranian Pahlevani armband holders,https://en.wikipedia.org/wiki/List_of_Iranian_Pahlevani_armband_holders
Ariya Daivari,https://en.wikipedia.org/wiki/Ariya_Daivari
Shawn Daivari,https://en.wikipedia.org/wiki/Shawn_Daivari
Matt Ghaffari,https://en.wikipedia.org/wiki/Matt_Ghaffari
The Iron Sheik,https://en.wikipedia.org/wiki/The_Iron_Sheik
Alireza Abdevali,https://en.wikipedia.org/wiki/Alireza_Abdevali
Saeid Abdevali,https://en.wikipedia.org/wiki/Saeid_Abdevali
Davoud Abedinzadeh,https://en.wikipedia.org/wiki/Davoud_Abedinzadeh
Ahmad Afghan,https://en.wikipedia.org/wiki/Ahmad_Afghan
Execution of Navid Afkari,https://en.wikipedia.org/wiki/Execution_of_Navid_Afkari
Payam Ahmadi,https://en.wikipedia.org/wiki/Payam_Ahmadi
Ezzatollah Akbari,https://en.wikipedia.org/wiki/Ezzatollah_Akbari
Hashem Akbarian,https://en.wikipedia.org/wiki/Hashem_Akbarian
Ali Akbarnejad,https://en.wikipedia.org/wiki/Ali_Akbarnejad
Habibollah Akhlaghi,https://en.wikipedia.org/wiki/Habibollah_Akhlaghi
Rahim Aliabadi,https://en.wikipedia.org/wiki/Rahim_Aliabadi
Amir Aliakbari,https://en.wikipedia.org/wiki/Amir_Aliakbari
Mehdi Aliyari,https://en.wikipedia.org/wiki/Mehdi_Aliyari
Farshad Alizadeh,https://en.wikipedia.org/wiki/Farshad_Alizadeh
Firouz Alizadeh,https://en.wikipedia.org/wiki/Firouz_Alizadeh
Jafar Alizadeh,https://en.wikipedia.org/wiki/Jafar_Alizadeh
Nasser Alizadeh,https://en.wikipedia.org/wiki/Nasser_Alizadeh
Ehsan Amini,https://en.wikipedia.org/wiki/Ehsan_Amini
Erfan Amiri,https://en.wikipedia.org/wiki/Erfan_Amiri
Jasem Amiri,https://en.wikipedia.org/wiki/Jasem_Amiri
Makwan Amirkhani,https://en.wikipedia.org/wiki/Makwan_Amirkhani
Rahman Amouzad,https://en.wikipedia.org/wiki/Rahman_Amouzad
Reza Andouz,https://en.wikipedia.org/wiki/Reza_Andouz
Abolfazl Anvari,https://en.wikipedia.org/wiki/Abolfazl_Anvari
