Name,Wikipedia_Link,wikidata_qid,wikidata_url
List of Iranian writers,https://en.wikipedia.org/wiki/List_of_Iranian_writers,Q622665,https://www.wikidata.org/wiki/Q622665
Kader Abdolah,https://en.wikipedia.org/wiki/Kader_Abdolah,Q381254,https://www.wikidata.org/wiki/Q381254
Janet Afary,https://en.wikipedia.org/wiki/Janet_Afary,Q4355531,https://www.wikidata.org/wiki/Q4355531
Agha Zia ol Din Araghi,https://en.wikipedia.org/wiki/Agha_Zia_ol_Din_Araghi,Q16126420,https://www.wikidata.org/wiki/Q16126420
Hashem Aghajari,https://en.wikipedia.org/wiki/Hashem_Aghajari,Q1588191,https://www.wikidata.org/wiki/Q1588191
Alireza Alavitabar,https://en.wikipedia.org/wiki/Alireza_Alavitabar,Q4726865,https://www.wikidata.org/wiki/Q4726865
Mohammad Reza Ale Ebrahim,https://en.wikipedia.org/wiki/Mohammad_Reza_Ale_Ebrahim,Q5955323,https://www.wikidata.org/wiki/Q5955323
Hasan Amid,https://en.wikipedia.org/wiki/Hasan_Amid,Q5956739,https://www.wikidata.org/wiki/Q5956739
Maryam Amid,https://en.wikipedia.org/wiki/Maryam_Amid,Q5946620,https://www.wikidata.org/wiki/Q5946620
Lady Amin,https://en.wikipedia.org/wiki/Lady_Amin,Q6469930,https://www.wikidata.org/wiki/Q6469930
Mahshid Amirshahi,https://en.wikipedia.org/wiki/Mahshid_Amirshahi,Q6734917,https://www.wikidata.org/wiki/Q6734917
Amir Ahmadi Arian,https://en.wikipedia.org/wiki/Amir_Ahmadi_Arian,Q129909371,https://www.wikidata.org/wiki/Q129909371
Ghamar Ariyan,https://en.wikipedia.org/wiki/Ghamar_Ariyan,Q5962773,https://www.wikidata.org/wiki/Q5962773
Nazanin Armanian,https://en.wikipedia.org/wiki/Nazanin_Armanian,Q20972617,https://www.wikidata.org/wiki/Q20972617
Mirza Mahdi Ashtiani,https://en.wikipedia.org/wiki/Mirza_Mahdi_Ashtiani,Q5878724,https://www.wikidata.org/wiki/Q5878724
Mohammad Reza Aslani,https://en.wikipedia.org/wiki/Mohammad_Reza_Aslani,Q5964329,https://www.wikidata.org/wiki/Q5964329
Abdolmohammad Ayati,https://en.wikipedia.org/wiki/Abdolmohammad_Ayati,Q5956105,https://www.wikidata.org/wiki/Q5956105
Sousan Azadi,https://en.wikipedia.org/wiki/Sousan_Azadi,Q7565238,https://www.wikidata.org/wiki/Q7565238
Lila Azam Zanganeh,https://en.wikipedia.org/wiki/Lila_Azam_Zanganeh,Q13613187,https://www.wikidata.org/wiki/Q13613187
Mozhgan Babamarandi,https://en.wikipedia.org/wiki/Mozhgan_Babamarandi,Q17993784,https://www.wikidata.org/wiki/Q17993784
Ahmad Bahar,https://en.wikipedia.org/wiki/Ahmad_Bahar,Q4695273,https://www.wikidata.org/wiki/Q4695273
Andy Baraghani,https://en.wikipedia.org/wiki/Andy_Baraghani,Q111536197,https://www.wikidata.org/wiki/Q111536197
Najmieh Batmanglij,https://en.wikipedia.org/wiki/Najmieh_Batmanglij,Q6960050,https://www.wikidata.org/wiki/Q6960050
Hedayatollah Behboudi,https://en.wikipedia.org/wiki/Hedayatollah_Behboudi,Q77040009,https://www.wikidata.org/wiki/Q77040009
Jamshid Behnam,https://en.wikipedia.org/wiki/Jamshid_Behnam,Q6148231,https://www.wikidata.org/wiki/Q6148231
Gholamhossein Bigdeli,https://en.wikipedia.org/wiki/Gholamhossein_Bigdeli,Q5556893,https://www.wikidata.org/wiki/Q5556893
Soraya Darabi,https://en.wikipedia.org/wiki/Soraya_Darabi,Q23816417,https://www.wikidata.org/wiki/Q23816417
Ali Dashti,https://en.wikipedia.org/wiki/Ali_Dashti,Q325262,https://www.wikidata.org/wiki/Q325262
Ali Dehbashi,https://en.wikipedia.org/wiki/Ali_Dehbashi,Q4724751,https://www.wikidata.org/wiki/Q4724751
Maryam Diener-Sachs,https://en.wikipedia.org/wiki/Maryam_Diener-Sachs,Q6781083,https://www.wikidata.org/wiki/Q6781083
Chahdortt Djavann,https://en.wikipedia.org/wiki/Chahdortt_Djavann,Q788200,https://www.wikidata.org/wiki/Q788200
Parvin Dowlatabadi,https://en.wikipedia.org/wiki/Parvin_Dowlatabadi,Q5953966,https://www.wikidata.org/wiki/Q5953966
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152
Ehsan Hemmati,https://en.wikipedia.org/wiki/Ehsan_Hemmati,Q118945316,https://www.wikidata.org/wiki/Q118945316
Gholamreza Emrani,https://en.wikipedia.org/wiki/Gholamreza_Emrani,Q6562788,https://www.wikidata.org/wiki/Q6562788
Camelia Entekhabifard,https://en.wikipedia.org/wiki/Camelia_Entekhabifard,Q5025894,https://www.wikidata.org/wiki/Q5025894
Hasan Yousefi Eshkevari,https://en.wikipedia.org/wiki/Hasan_Yousefi_Eshkevari,Q1588592,https://www.wikidata.org/wiki/Q1588592
Amin Faghiri,https://en.wikipedia.org/wiki/Amin_Faghiri,Q5947465,https://www.wikidata.org/wiki/Q5947465
Amir Abbas Fakhravar,https://en.wikipedia.org/wiki/Amir_Abbas_Fakhravar,Q4746499,https://www.wikidata.org/wiki/Q4746499
Abdoldjavad Falaturi,https://en.wikipedia.org/wiki/Abdoldjavad_Falaturi,Q4665055,https://www.wikidata.org/wiki/Q4665055
Mohammad Taghi Falsafi,https://en.wikipedia.org/wiki/Mohammad_Taghi_Falsafi,Q5701482,https://www.wikidata.org/wiki/Q5701482
Roozbeh Farahanipour,https://en.wikipedia.org/wiki/Roozbeh_Farahanipour,Q7366687,https://www.wikidata.org/wiki/Q7366687
Soudabeh Fazaeli,https://en.wikipedia.org/wiki/Soudabeh_Fazaeli,Q32860557,https://www.wikidata.org/wiki/Q32860557
