Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Behkadeh Raji,https://en.wikipedia.org/wiki/Behkadeh_Raji,Q814508,https://www.wikidata.org/wiki/Q814508,,,,,
Charity Foundation for Special Diseases,https://en.wikipedia.org/wiki/Charity_Foundation_for_Special_Diseases,Q17991499,https://www.wikidata.org/wiki/Q17991499,,,,,
Iranian Blood Transfusion Organization,https://en.wikipedia.org/wiki/Iranian_Blood_Transfusion_Organization,Q5961695,https://www.wikidata.org/wiki/Q5961695,,,,,
Iranian Legal Medicine Organization,https://en.wikipedia.org/wiki/Iranian_Legal_Medicine_Organization,Q5773860,https://www.wikidata.org/wiki/Q5773860,,,,,
Iranian Mental Health Research Network,https://en.wikipedia.org/wiki/Iranian_Mental_Health_Research_Network,Q6067299,https://www.wikidata.org/wiki/Q6067299,,,,,
Iranian Red Crescent Society,https://en.wikipedia.org/wiki/Iranian_Red_Crescent_Society,Q7303956,https://www.wikidata.org/wiki/Q7303956,,,,,
Mahak,https://en.wikipedia.org/wiki/Mahak,Q6732853,https://www.wikidata.org/wiki/Q6732853,,,,,
Medical Council of Iran,https://en.wikipedia.org/wiki/Medical_Council_of_Iran,Q5944740,https://www.wikidata.org/wiki/Q5944740,,,,,
Medicine shortage in Iran,https://en.wikipedia.org/wiki/Medicine_shortage_in_Iran,Q132573137,https://www.wikidata.org/wiki/Q132573137,,,,,
Ministry of Health and Medical Education,https://en.wikipedia.org/wiki/Ministry_of_Health_and_Medical_Education,Q1091528,https://www.wikidata.org/wiki/Q1091528,,,,,
Iranian National Museum of Medical Sciences History,https://en.wikipedia.org/wiki/Iranian_National_Museum_of_Medical_Sciences_History,Q3014430,https://www.wikidata.org/wiki/Q3014430,,,,,
Psychology and Counseling Organization of Iran,https://en.wikipedia.org/wiki/Psychology_and_Counseling_Organization_of_Iran,Q5867049,https://www.wikidata.org/wiki/Q5867049,,,,,
Razi Vaccine and Serum Research Institute,https://en.wikipedia.org/wiki/Razi_Vaccine_and_Serum_Research_Institute,Q5702717,https://www.wikidata.org/wiki/Q5702717,,,,,
Red Lion and Sun Society,https://en.wikipedia.org/wiki/Red_Lion_and_Sun_Society,Q1550603,https://www.wikidata.org/wiki/Q1550603,,,,,
Research Centre for Emerging and Reemerging Infectious Diseases,https://en.wikipedia.org/wiki/Research_Centre_for_Emerging_and_Reemerging_Infectious_Diseases,Q25112051,https://www.wikidata.org/wiki/Q25112051,,,,,
Sport Sciences Research Institute of Iran,https://en.wikipedia.org/wiki/Sport_Sciences_Research_Institute_of_Iran,Q7579383,https://www.wikidata.org/wiki/Q7579383,,,,,
Tehran Psychiatric Institute,https://en.wikipedia.org/wiki/Tehran_Psychiatric_Institute,Q7694892,https://www.wikidata.org/wiki/Q7694892,,,,,
Cinnagen,https://en.wikipedia.org/wiki/Cinnagen,Q5121014,https://www.wikidata.org/wiki/Q5121014,,,,,
List of hospitals in Iran,https://en.wikipedia.org/wiki/List_of_hospitals_in_Iran,Q16151245,https://www.wikidata.org/wiki/Q16151245,,,,,
Alejalil Hospital,https://en.wikipedia.org/wiki/Alejalil_Hospital,Q97355670,https://www.wikidata.org/wiki/Q97355670,,,,,
Ayatollah Mousavi Hospital,https://en.wikipedia.org/wiki/Ayatollah_Mousavi_Hospital,Q97191706,https://www.wikidata.org/wiki/Q97191706,,,,,
Iran International Neuroscience Institute,https://en.wikipedia.org/wiki/Iran_International_Neuroscience_Institute,Q46246401,https://www.wikidata.org/wiki/Q46246401,,,,,
Iranian National Ion Therapy Center,https://en.wikipedia.org/wiki/Iranian_National_Ion_Therapy_Center,Q136402327,https://www.wikidata.org/wiki/Q136402327,,,,,
Isfahan Healthcare city,https://en.wikipedia.org/wiki/Isfahan_Healthcare_city,Q101071848,https://www.wikidata.org/wiki/Q101071848,,,,,
Khalili Hospital,https://en.wikipedia.org/wiki/Khalili_Hospital,Q10320942,https://www.wikidata.org/wiki/Q10320942,,,,,
Najmieh Hospital,https://en.wikipedia.org/wiki/Najmieh_Hospital,Q5940005,https://www.wikidata.org/wiki/Q5940005,,,,,
Namazi Hospital,https://en.wikipedia.org/wiki/Namazi_Hospital,Q6961352,https://www.wikidata.org/wiki/Q6961352,,,,,
Razavi Hospital,https://en.wikipedia.org/wiki/Razavi_Hospital,Q22134324,https://www.wikidata.org/wiki/Q22134324,,,,,
Razi Hospital Kukherd,https://en.wikipedia.org/wiki/Razi_Hospital_Kukherd,Q12242610,https://www.wikidata.org/wiki/Q12242610,,,,,
Sayad Shirazi Hospital,https://en.wikipedia.org/wiki/Sayad_Shirazi_Hospital,Q97354476,https://www.wikidata.org/wiki/Q97354476,,,,,
Shahid Dastgheib Hospital,https://en.wikipedia.org/wiki/Shahid_Dastgheib_Hospital,Q97354440,https://www.wikidata.org/wiki/Q97354440,,,,,
Sina Hospital,https://en.wikipedia.org/wiki/Sina_Hospital,Q574872,https://www.wikidata.org/wiki/Q574872,,,,,
Iradj Fazel,https://en.wikipedia.org/wiki/Iradj_Fazel,Q6066374,https://www.wikidata.org/wiki/Q6066374,male,physician; politician; surgeon,Iran,Ardestan,1939-01-01T00:00:00Z
Iranian Academy of Medical Sciences,https://en.wikipedia.org/wiki/Iranian_Academy_of_Medical_Sciences,Q5950451,https://www.wikidata.org/wiki/Q5950451,,,,,
Tofy Mussivand,https://en.wikipedia.org/wiki/Tofy_Mussivand,Q10292349,https://www.wikidata.org/wiki/Q10292349,male,cardiologist; physician; scientist; surgeon,Iran,Hamadan,1936-01-01T00:00:00Z
Farrokh Saidi,https://en.wikipedia.org/wiki/Farrokh_Saidi,Q5436325,https://www.wikidata.org/wiki/Q5436325,male,academic,Iran,Tehran,1929-11-22T00:00:00Z
Ali Akbar Velayati,https://en.wikipedia.org/wiki/Ali_Akbar_Velayati,Q439354,https://www.wikidata.org/wiki/Q439354,male,physician; politician,Iran,Tehran,1945-06-24T00:00:00Z
Islamic Association of Iranian Medical Society,https://en.wikipedia.org/wiki/Islamic_Association_of_Iranian_Medical_Society,Q24897461,https://www.wikidata.org/wiki/Q24897461,,,,,
Islamic Association of Physicians of Iran,https://en.wikipedia.org/wiki/Islamic_Association_of_Physicians_of_Iran,Q24897436,https://www.wikidata.org/wiki/Q24897436,,,,,
Avicenna Research Institute,https://en.wikipedia.org/wiki/Avicenna_Research_Institute,Q4828766,https://www.wikidata.org/wiki/Q4828766,,,,,
Endocrine & Metabolism Research Institute,https://en.wikipedia.org/wiki/Endocrine_%26_Metabolism_Research_Institute,,,,,,,
Pasteur Institute of Iran,https://en.wikipedia.org/wiki/Pasteur_Institute_of_Iran,Q17013593,https://www.wikidata.org/wiki/Q17013593,,,,,
List of medical schools in Iran,https://en.wikipedia.org/wiki/List_of_medical_schools_in_Iran,Q15963276,https://www.wikidata.org/wiki/Q15963276,,,,,
Alborz University of Medical Sciences,https://en.wikipedia.org/wiki/Alborz_University_of_Medical_Sciences,Q5940463,https://www.wikidata.org/wiki/Q5940463,,,,,
Abadan University of Medical Sciences,https://en.wikipedia.org/wiki/Abadan_University_of_Medical_Sciences,Q30590249,https://www.wikidata.org/wiki/Q30590249,,,,,
Ahvaz Jundishapur University of Medical Sciences,https://en.wikipedia.org/wiki/Ahvaz_Jundishapur_University_of_Medical_Sciences,Q4696433,https://www.wikidata.org/wiki/Q4696433,,,,,
AJA University of Medical Sciences,https://en.wikipedia.org/wiki/AJA_University_of_Medical_Sciences,Q5913556,https://www.wikidata.org/wiki/Q5913556,,,,,
Arak University of Medical Sciences,https://en.wikipedia.org/wiki/Arak_University_of_Medical_Sciences,Q4783795,https://www.wikidata.org/wiki/Q4783795,,,,,
Ardabil University of Medical Sciences,https://en.wikipedia.org/wiki/Ardabil_University_of_Medical_Sciences,Q10854122,https://www.wikidata.org/wiki/Q10854122,,,,,
Babol University of Medical Sciences,https://en.wikipedia.org/wiki/Babol_University_of_Medical_Sciences,Q4837979,https://www.wikidata.org/wiki/Q4837979,,,,,
Bam University of Medical Sciences,https://en.wikipedia.org/wiki/Bam_University_of_Medical_Sciences,Q85970179,https://www.wikidata.org/wiki/Q85970179,,,,,
Baqiyatallah University of Medical Sciences,https://en.wikipedia.org/wiki/Baqiyatallah_University_of_Medical_Sciences,Q4857819,https://www.wikidata.org/wiki/Q4857819,,,,,
Birjand University of Medical Sciences,https://en.wikipedia.org/wiki/Birjand_University_of_Medical_Sciences,Q4916370,https://www.wikidata.org/wiki/Q4916370,,,,,
Bushehr University of Medical Sciences,https://en.wikipedia.org/wiki/Bushehr_University_of_Medical_Sciences,Q5001479,https://www.wikidata.org/wiki/Q5001479,,,,,
Gilan University of Medical Sciences,https://en.wikipedia.org/wiki/Gilan_University_of_Medical_Sciences,Q5560714,https://www.wikidata.org/wiki/Q5560714,,,,,
Gonabad University of Medical Sciences,https://en.wikipedia.org/wiki/Gonabad_University_of_Medical_Sciences,Q20831481,https://www.wikidata.org/wiki/Q20831481,,,,,
Hamedan University of Medical Sciences,https://en.wikipedia.org/wiki/Hamedan_University_of_Medical_Sciences,Q6559935,https://www.wikidata.org/wiki/Q6559935,,,,,
Ilam University of Medical Sciences,https://en.wikipedia.org/wiki/Ilam_University_of_Medical_Sciences,Q5704726,https://www.wikidata.org/wiki/Q5704726,,,,,
Template:Iran medical universities,https://en.wikipedia.org/wiki/Template%3AIran_medical_universities,,,,,,,
Iran University of Medical Sciences,https://en.wikipedia.org/wiki/Iran_University_of_Medical_Sciences,Q1526908,https://www.wikidata.org/wiki/Q1526908,,,,,
Iranshahr University of Medical Sciences,https://en.wikipedia.org/wiki/Iranshahr_University_of_Medical_Sciences,Q27063169,https://www.wikidata.org/wiki/Q27063169,,,,,
Isfahan University of Medical Sciences,https://en.wikipedia.org/wiki/Isfahan_University_of_Medical_Sciences,Q6079799,https://www.wikidata.org/wiki/Q6079799,,,,,
"Islamic Azad University, Najafabad Branch",https://en.wikipedia.org/wiki/Islamic_Azad_University%2C_Najafabad_Branch,,,,,,,
"Islamic Azad University, Tehran Medical Branch",https://en.wikipedia.org/wiki/Islamic_Azad_University%2C_Tehran_Medical_Branch,,,,,,,
Jahrom University of Medical Sciences,https://en.wikipedia.org/wiki/Jahrom_University_of_Medical_Sciences,Q16047163,https://www.wikidata.org/wiki/Q16047163,,,,,
Jiroft University of Medical Sciences,https://en.wikipedia.org/wiki/Jiroft_University_of_Medical_Sciences,Q85970184,https://www.wikidata.org/wiki/Q85970184,,,,,
Kashan University of Medical Sciences,https://en.wikipedia.org/wiki/Kashan_University_of_Medical_Sciences,Q6374203,https://www.wikidata.org/wiki/Q6374203,,,,,
Kerman University of Medical Sciences,https://en.wikipedia.org/wiki/Kerman_University_of_Medical_Sciences,Q5950750,https://www.wikidata.org/wiki/Q5950750,,,,,
Kermanshah University of Medical Sciences,https://en.wikipedia.org/wiki/Kermanshah_University_of_Medical_Sciences,Q6393994,https://www.wikidata.org/wiki/Q6393994,,,,,
Mashhad University of Medical Sciences,https://en.wikipedia.org/wiki/Mashhad_University_of_Medical_Sciences,Q10854129,https://www.wikidata.org/wiki/Q10854129,,,,,
Mazandaran University of Medical Sciences,https://en.wikipedia.org/wiki/Mazandaran_University_of_Medical_Sciences,Q6555497,https://www.wikidata.org/wiki/Q6555497,,,,,
Qazvin University of Medical Sciences,https://en.wikipedia.org/wiki/Qazvin_University_of_Medical_Sciences,Q5927506,https://www.wikidata.org/wiki/Q5927506,,,,,
Qom University of Medical Sciences,https://en.wikipedia.org/wiki/Qom_University_of_Medical_Sciences,Q6555694,https://www.wikidata.org/wiki/Q6555694,,,,,
Rafsanjan University of Medical Sciences,https://en.wikipedia.org/wiki/Rafsanjan_University_of_Medical_Sciences,Q5946797,https://www.wikidata.org/wiki/Q5946797,,,,,
Sabzevar University of Medical Sciences,https://en.wikipedia.org/wiki/Sabzevar_University_of_Medical_Sciences,Q10854127,https://www.wikidata.org/wiki/Q10854127,,,,,
Shahid Beheshti University of Medical Sciences,https://en.wikipedia.org/wiki/Shahid_Beheshti_University_of_Medical_Sciences,Q637387,https://www.wikidata.org/wiki/Q637387,,,,,
Shahid Sadoughi University of Medical Sciences,https://en.wikipedia.org/wiki/Shahid_Sadoughi_University_of_Medical_Sciences,Q17070306,https://www.wikidata.org/wiki/Q17070306,,,,,
Shahrekord University of Medical Sciences,https://en.wikipedia.org/wiki/Shahrekord_University_of_Medical_Sciences,Q16053407,https://www.wikidata.org/wiki/Q16053407,,,,,
Shahroud University of Medical Sciences,https://en.wikipedia.org/wiki/Shahroud_University_of_Medical_Sciences,Q20110175,https://www.wikidata.org/wiki/Q20110175,,,,,
Shiraz University of Medical Sciences,https://en.wikipedia.org/wiki/Shiraz_University_of_Medical_Sciences,Q10320942,https://www.wikidata.org/wiki/Q10320942,,,,,
Tabriz University of Medical Sciences,https://en.wikipedia.org/wiki/Tabriz_University_of_Medical_Sciences,Q7673574,https://www.wikidata.org/wiki/Q7673574,,,,,
Tehran University of Medical Sciences,https://en.wikipedia.org/wiki/Tehran_University_of_Medical_Sciences,Q7694901,https://www.wikidata.org/wiki/Q7694901,,,,,
Torbat Heydarieh University of Medical Sciences,https://en.wikipedia.org/wiki/Torbat_Heydarieh_University_of_Medical_Sciences,Q16047153,https://www.wikidata.org/wiki/Q16047153,,,,,
Urmia University of Medical Sciences,https://en.wikipedia.org/wiki/Urmia_University_of_Medical_Sciences,Q10854124,https://www.wikidata.org/wiki/Q10854124,,,,,
Yasuj University of Medical Sciences,https://en.wikipedia.org/wiki/Yasuj_University_of_Medical_Sciences,Q30174776,https://www.wikidata.org/wiki/Q30174776,,,,,
Zanjan University of Medical Sciences,https://en.wikipedia.org/wiki/Zanjan_University_of_Medical_Sciences,Q5914596,https://www.wikidata.org/wiki/Q5914596,,,,,
Akbarieh,https://en.wikipedia.org/wiki/Akbarieh,Q4700479,https://www.wikidata.org/wiki/Q4700479,,,,,
AryoGen,https://en.wikipedia.org/wiki/AryoGen,Q4802714,https://www.wikidata.org/wiki/Q4802714,,,,,
Barkat Pharmaceutical Group,https://en.wikipedia.org/wiki/Barkat_Pharmaceutical_Group,Q63922339,https://www.wikidata.org/wiki/Q63922339,,,,,
Barkat Ventures,https://en.wikipedia.org/wiki/Barkat_Ventures,Q85974146,https://www.wikidata.org/wiki/Q85974146,,,,,
Behestan Darou,https://en.wikipedia.org/wiki/Behestan_Darou,Q4880779,https://www.wikidata.org/wiki/Q4880779,,,,,
Cobel Darou,https://en.wikipedia.org/wiki/Cobel_Darou,Q5138856,https://www.wikidata.org/wiki/Q5138856,,,,,
Darou Pakhsh,https://en.wikipedia.org/wiki/Darou_Pakhsh,Q10843479,https://www.wikidata.org/wiki/Q10843479,,,,,
Jaber Ebne Hayyan Pharmaceutical Company,https://en.wikipedia.org/wiki/Jaber_Ebne_Hayyan_Pharmaceutical_Company,Q13564794,https://www.wikidata.org/wiki/Q13564794,,,,,
