username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,target_population,locals_vs_diaspora,person_vs_organization,comments
_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,379.0,529.0,961.0,False,November 2012,"Kollam, India",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
addyperry20,LilyPerry,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,510.0,3722.0,1567.0,False,May 2025,where the vibes are,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
_uselessgothdm,Definitely Not a Mimic,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,19.0,124.0,36.0,False,June 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,2,
_nam11,Nathan,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",4887.0,2796.0,,False,May 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
aliceparkny,Alice Park,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",13400.0,469.0,4818.0,False,March 2009,New York NY,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
abkoga,A.B. Koga,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,643.0,633.0,1953.0,False,September 2022,Scottsdale,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
_sgtslaughter,SGT SLAUGHTER,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",,107.0,6124.0,False,September 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",,2092.0,1356.0,False,August 2012,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,0,
_hannahritchie,Hannah Ritchie,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,79800.0,1337.0,7978.0,False,July 2014,"Edinburgh, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,5939.0,521.0,964.0,False,July 2014,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,0,
adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",385900.0,676.0,1315.0,False,September 2013,Paris,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,0,
ajbends,big boy synthetique,@issues  //  @badwolves  // FEWDFWM //,,1286.0,1350.0,False,December 2011,"Pasadena, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
