iteration,training_type,K,algorithm,feature_set,balanced,#classes,accuracy,AUC
6,LOOCV,527.0,RandomForest,TFIDF_description+username + NUM,False,2.0,0.793168880455408,0.8064255983350677
6,KFold,5.0,RandomForest,TFIDF_description+username + NUM,False,2.0,0.7912713472485768,0.802896288588276
6,LOOCV,527.0,RandomForest,TFIDF_description+username+full_name + NUM,False,2.0,0.7874762808349146,0.8012660423170309
6,LOOCV,527.0,RandomForest,TFIDF_description + NUM,False,2.0,0.7950664136622391,0.7995404092958724
6,KFold,5.0,RandomForest,TFIDF_description+username+full_name + NUM,False,2.0,0.7836812144212524,0.7988380159556018
6,KFold,5.0,RandomForest,TFIDF_description + NUM,False,2.0,0.7855787476280834,0.7972337842525148
6,LOOCV,527.0,RandomForest,TFIDF_description+full_name + NUM,False,2.0,0.793168880455408,0.7960024280263613
6,KFold,5.0,RandomForest,TFIDF_description+full_name + NUM,False,2.0,0.7703984819734345,0.7889958376690946
6,KFold,5.0,XGBoost,TFIDF_description+username + NUM,False,2.0,0.7571157495256167,0.7758758237946581
6,LOOCV,527.0,XGBoost,TFIDF_description + NUM,False,2.0,0.7666034155597723,0.7743496357960459
6,LOOCV,527.0,XGBoost,TFIDF_description+full_name + NUM,False,2.0,0.7666034155597723,0.7732917100242803
6,LOOCV,527.0,XGBoost,TFIDF_description+username + NUM,False,2.0,0.7628083491461101,0.7728061047519945
6,KFold,5.0,XGBoost,TFIDF_description + NUM,False,2.0,0.7703984819734345,0.7711238293444329
6,LOOCV,527.0,XGBoost,TFIDF_description+username+full_name + NUM,False,2.0,0.7609108159392789,0.770950398890045
6,KFold,5.0,XGBoost,TFIDF_description+full_name + NUM,False,2.0,0.7628083491461101,0.7699618453000346
6,KFold,5.0,XGBoost,TFIDF_description+username+full_name + NUM,False,2.0,0.7571157495256167,0.7677245924384322
6,LOOCV,527.0,SVM,TFIDF_description+username + NUM,False,2.0,0.7912713472485768,0.7564516129032259
6,LOOCV,527.0,SVM,TFIDF_description+username+full_name + NUM,False,2.0,0.793168880455408,0.7510839403399238
6,LOOCV,527.0,LogReg,TFIDF_description+full_name + NUM,False,2.0,0.7950664136622391,0.7444155393687132
6,LOOCV,527.0,LogReg,TFIDF_description+username+full_name + NUM,False,2.0,0.7950664136622391,0.7442594519597641
