Name,Wikipedia_Link
List of presidents of Iran,https://en.wikipedia.org/wiki/List_of_presidents_of_Iran
President of Iran,https://en.wikipedia.org/wiki/President_of_Iran
Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad
Abolhassan Banisadr,https://en.wikipedia.org/wiki/Abolhassan_Banisadr
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei
Mohammad Khatami,https://en.wikipedia.org/wiki/Mohammad_Khatami
Mohammad Mokhber,https://en.wikipedia.org/wiki/Mohammad_Mokhber
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian
Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani
Ebrahim Raisi,https://en.wikipedia.org/wiki/Ebrahim_Raisi
Mohammad-Ali Rajai,https://en.wikipedia.org/wiki/Mohammad-Ali_Rajai
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani
List of spouses of the president of Iran,https://en.wikipedia.org/wiki/List_of_spouses_of_the_president_of_Iran
2003 Iranian local elections,https://en.wikipedia.org/wiki/2003_Iranian_local_elections
2007 gasoline rationing plan in Iran,https://en.wikipedia.org/wiki/2007_gasoline_rationing_plan_in_Iran
2009 Iranian presidential election,https://en.wikipedia.org/wiki/2009_Iranian_presidential_election
Davoud Ahmadinejad,https://en.wikipedia.org/wiki/Davoud_Ahmadinejad
Mahmoud Ahmadinejad and Israel,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_Israel
Parvin Ahmadinejad,https://en.wikipedia.org/wiki/Parvin_Ahmadinejad
Controversies of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Controversies_of_Mahmoud_Ahmadinejad
Council for Spreading Mahmoud Ahmadinejad's Thoughts,https://en.wikipedia.org/wiki/Council_for_Spreading_Mahmoud_Ahmadinejad%27s_Thoughts
Deviant current,https://en.wikipedia.org/wiki/Deviant_current
Electoral history of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Electoral_history_of_Mahmoud_Ahmadinejad
Azam al-Sadat Farahi,https://en.wikipedia.org/wiki/Azam_al-Sadat_Farahi
Foreign policy of the Mahmoud Ahmadinejad administration,https://en.wikipedia.org/wiki/Foreign_policy_of_the_Mahmoud_Ahmadinejad_administration
Presidency of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Presidency_of_Mahmoud_Ahmadinejad
The Green Scroll Campaign,https://en.wikipedia.org/wiki/The_Green_Scroll_Campaign
Mahmoud Ahmadinejad and the 1979 hostage crisis,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_the_1979_hostage_crisis
Template:Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Template%3AMahmoud_Ahmadinejad
Ozra Hosseini,https://en.wikipedia.org/wiki/Ozra_Hosseini
1980 October Surprise theory,https://en.wikipedia.org/wiki/1980_October_Surprise_theory
Faezeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Faezeh_Hashemi_Rafsanjani
Fatemeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Fatemeh_Hashemi_Rafsanjani
Mohsen Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mohsen_Hashemi_Rafsanjani
Mojtaba Khamenei,https://en.wikipedia.org/wiki/Mojtaba_Khamenei
Mostafa Khamenei,https://en.wikipedia.org/wiki/Mostafa_Khamenei
Masoud Khamenei,https://en.wikipedia.org/wiki/Masoud_Khamenei
Mehdi Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mehdi_Hashemi_Rafsanjani
Yasser Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Yasser_Hashemi_Rafsanjani
Akbar Hashemi Rafsanjani 2013 presidential campaign,https://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani_2013_presidential_campaign
De-escalation policy of the Islamic Republic of Iran,https://en.wikipedia.org/wiki/De-escalation_policy_of_the_Islamic_Republic_of_Iran
Death and state funeral of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Akbar_Hashemi_Rafsanjani
Electoral history of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Electoral_history_of_Akbar_Hashemi_Rafsanjani
Presidency of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Presidency_of_Akbar_Hashemi_Rafsanjani
Template:Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Template%3AAkbar_Hashemi_Rafsanjani
