Name,Wikipedia_Link,wikidata_qid,wikidata_url
List of presidents of Iran,https://en.wikipedia.org/wiki/List_of_presidents_of_Iran,Q742419,https://www.wikidata.org/wiki/Q742419
President of Iran,https://en.wikipedia.org/wiki/President_of_Iran,Q838380,https://www.wikidata.org/wiki/Q838380
Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad,Q34448,https://www.wikidata.org/wiki/Q34448
Abolhassan Banisadr,https://en.wikipedia.org/wiki/Abolhassan_Banisadr,Q273866,https://www.wikidata.org/wiki/Q273866
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei,Q57336,https://www.wikidata.org/wiki/Q57336
Mohammad Khatami,https://en.wikipedia.org/wiki/Mohammad_Khatami,Q180795,https://www.wikidata.org/wiki/Q180795
Mohammad Mokhber,https://en.wikipedia.org/wiki/Mohammad_Mokhber,Q5703610,https://www.wikidata.org/wiki/Q5703610
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian,Q5933752,https://www.wikidata.org/wiki/Q5933752
Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani,Q186111,https://www.wikidata.org/wiki/Q186111
Ebrahim Raisi,https://en.wikipedia.org/wiki/Ebrahim_Raisi,Q5947347,https://www.wikidata.org/wiki/Q5947347
Mohammad-Ali Rajai,https://en.wikipedia.org/wiki/Mohammad-Ali_Rajai,Q310592,https://www.wikidata.org/wiki/Q310592
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani,Q348144,https://www.wikidata.org/wiki/Q348144
List of spouses of the president of Iran,https://en.wikipedia.org/wiki/List_of_spouses_of_the_president_of_Iran,Q5453156,https://www.wikidata.org/wiki/Q5453156
2003 Iranian local elections,https://en.wikipedia.org/wiki/2003_Iranian_local_elections,Q6067246,https://www.wikidata.org/wiki/Q6067246
2007 gasoline rationing plan in Iran,https://en.wikipedia.org/wiki/2007_gasoline_rationing_plan_in_Iran,Q4218763,https://www.wikidata.org/wiki/Q4218763
2009 Iranian presidential election,https://en.wikipedia.org/wiki/2009_Iranian_presidential_election,Q143304,https://www.wikidata.org/wiki/Q143304
Davoud Ahmadinejad,https://en.wikipedia.org/wiki/Davoud_Ahmadinejad,Q5937602,https://www.wikidata.org/wiki/Q5937602
Mahmoud Ahmadinejad and Israel,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_Israel,Q4116709,https://www.wikidata.org/wiki/Q4116709
Parvin Ahmadinejad,https://en.wikipedia.org/wiki/Parvin_Ahmadinejad,Q10860429,https://www.wikidata.org/wiki/Q10860429
Controversies of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Controversies_of_Mahmoud_Ahmadinejad,Q621077,https://www.wikidata.org/wiki/Q621077
Council for Spreading Mahmoud Ahmadinejad's Thoughts,https://en.wikipedia.org/wiki/Council_for_Spreading_Mahmoud_Ahmadinejad%27s_Thoughts,,
Deviant current,https://en.wikipedia.org/wiki/Deviant_current,Q5964508,https://www.wikidata.org/wiki/Q5964508
Electoral history of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Electoral_history_of_Mahmoud_Ahmadinejad,Q20987782,https://www.wikidata.org/wiki/Q20987782
Azam al-Sadat Farahi,https://en.wikipedia.org/wiki/Azam_al-Sadat_Farahi,Q2915351,https://www.wikidata.org/wiki/Q2915351
Foreign policy of the Mahmoud Ahmadinejad administration,https://en.wikipedia.org/wiki/Foreign_policy_of_the_Mahmoud_Ahmadinejad_administration,Q5468435,https://www.wikidata.org/wiki/Q5468435
Presidency of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Presidency_of_Mahmoud_Ahmadinejad,Q19895191,https://www.wikidata.org/wiki/Q19895191
The Green Scroll Campaign,https://en.wikipedia.org/wiki/The_Green_Scroll_Campaign,Q7738211,https://www.wikidata.org/wiki/Q7738211
Mahmoud Ahmadinejad and the 1979 hostage crisis,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_the_1979_hostage_crisis,Q6580411,https://www.wikidata.org/wiki/Q6580411
Template:Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Template%3AMahmoud_Ahmadinejad,,
Ozra Hosseini,https://en.wikipedia.org/wiki/Ozra_Hosseini,Q25425200,https://www.wikidata.org/wiki/Q25425200
1980 October Surprise theory,https://en.wikipedia.org/wiki/1980_October_Surprise_theory,Q16934346,https://www.wikidata.org/wiki/Q16934346
Faezeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Faezeh_Hashemi_Rafsanjani,Q433500,https://www.wikidata.org/wiki/Q433500
Fatemeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Fatemeh_Hashemi_Rafsanjani,Q29653433,https://www.wikidata.org/wiki/Q29653433
Mohsen Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mohsen_Hashemi_Rafsanjani,Q5943665,https://www.wikidata.org/wiki/Q5943665
Mojtaba Khamenei,https://en.wikipedia.org/wiki/Mojtaba_Khamenei,Q2919350,https://www.wikidata.org/wiki/Q2919350
Mostafa Khamenei,https://en.wikipedia.org/wiki/Mostafa_Khamenei,Q56364142,https://www.wikidata.org/wiki/Q56364142
Masoud Khamenei,https://en.wikipedia.org/wiki/Masoud_Khamenei,Q80121951,https://www.wikidata.org/wiki/Q80121951
Mehdi Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mehdi_Hashemi_Rafsanjani,Q6809317,https://www.wikidata.org/wiki/Q6809317
Yasser Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Yasser_Hashemi_Rafsanjani,Q8049890,https://www.wikidata.org/wiki/Q8049890
Akbar Hashemi Rafsanjani 2013 presidential campaign,https://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani_2013_presidential_campaign,Q16960557,https://www.wikidata.org/wiki/Q16960557
De-escalation policy of the Islamic Republic of Iran,https://en.wikipedia.org/wiki/De-escalation_policy_of_the_Islamic_Republic_of_Iran,Q16053356,https://www.wikidata.org/wiki/Q16053356
Death and state funeral of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Akbar_Hashemi_Rafsanjani,Q28194396,https://www.wikidata.org/wiki/Q28194396
Electoral history of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Electoral_history_of_Akbar_Hashemi_Rafsanjani,Q20987779,https://www.wikidata.org/wiki/Q20987779
Presidency of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Presidency_of_Akbar_Hashemi_Rafsanjani,Q5589169,https://www.wikidata.org/wiki/Q5589169
Template:Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Template%3AAkbar_Hashemi_Rafsanjani,,
Mohammad Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mohammad_Hashemi_Rafsanjani,Q6892004,https://www.wikidata.org/wiki/Q6892004
Effat Marashi,https://en.wikipedia.org/wiki/Effat_Marashi,Q5953339,https://www.wikidata.org/wiki/Q5953339
People's Experts,https://en.wikipedia.org/wiki/People%27s_Experts,,
Tehran Communiqué,https://en.wikipedia.org/wiki/Tehran_Communiqu%C3%A9,,
First inauguration of Hassan Rouhani,https://en.wikipedia.org/wiki/First_inauguration_of_Hassan_Rouhani,Q14325643,https://www.wikidata.org/wiki/Q14325643
