Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
List of presidents of Iran,https://en.wikipedia.org/wiki/List_of_presidents_of_Iran,Q742419,https://www.wikidata.org/wiki/Q742419,,,,,
President of Iran,https://en.wikipedia.org/wiki/President_of_Iran,Q838380,https://www.wikidata.org/wiki/Q838380,,,,,
Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad,Q34448,https://www.wikidata.org/wiki/Q34448,male,engineer; politician; university teacher,Iran,Aradan,1956-10-28T00:00:00Z
Abolhassan Banisadr,https://en.wikipedia.org/wiki/Abolhassan_Banisadr,Q273866,https://www.wikidata.org/wiki/Q273866,male,economist; essayist; journalist; politician; writer,Iran; Pahlavi Iran,Hamadan,1933-03-22T00:00:00Z
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei,Q57336,https://www.wikidata.org/wiki/Q57336,male,Islamic jurist; poet; politician; translator; writer,Iran; Pahlavi Iran,Mashhad,1939-04-19T00:00:00Z
Mohammad Khatami,https://en.wikipedia.org/wiki/Mohammad_Khatami,Q180795,https://www.wikidata.org/wiki/Q180795,male,librarian; military personnel; politician; scholar; writer,Iran,Ardakan,1943-09-29T00:00:00Z
Mohammad Mokhber,https://en.wikipedia.org/wiki/Mohammad_Mokhber,Q5703610,https://www.wikidata.org/wiki/Q5703610,male,politician,Iran,Dezful,1955-06-26T00:00:00Z
Masoud Pezeshkian,https://en.wikipedia.org/wiki/Masoud_Pezeshkian,Q5933752,https://www.wikidata.org/wiki/Q5933752,male,academic; cardiac surgeon; general practitioner; general surgeon; politician,Iran,Mahabad,1954-09-29T00:00:00Z
Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani,Q186111,https://www.wikidata.org/wiki/Q186111,male,akhoond; entrepreneur; politician; writer,Iran,Bahreman,1934-08-25T00:00:00Z
Ebrahim Raisi,https://en.wikipedia.org/wiki/Ebrahim_Raisi,Q5947347,https://www.wikidata.org/wiki/Q5947347,male,Islamic jurist; politician; qadi,Iran; Pahlavi Iran,Mashhad,1960-12-14T00:00:00Z
Mohammad-Ali Rajai,https://en.wikipedia.org/wiki/Mohammad-Ali_Rajai,Q310592,https://www.wikidata.org/wiki/Q310592,male,politician; teacher,Iran,Qazvin,1933-06-15T00:00:00Z
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani,Q348144,https://www.wikidata.org/wiki/Q348144,male,cleric; diplomat; lawyer; politician; writer,Iran,Sorkheh,1948-11-12T00:00:00Z
List of spouses of the president of Iran,https://en.wikipedia.org/wiki/List_of_spouses_of_the_president_of_Iran,Q5453156,https://www.wikidata.org/wiki/Q5453156,,,,,
2003 Iranian local elections,https://en.wikipedia.org/wiki/2003_Iranian_local_elections,Q6067246,https://www.wikidata.org/wiki/Q6067246,,,,,
2007 gasoline rationing plan in Iran,https://en.wikipedia.org/wiki/2007_gasoline_rationing_plan_in_Iran,Q4218763,https://www.wikidata.org/wiki/Q4218763,,,,,
2009 Iranian presidential election,https://en.wikipedia.org/wiki/2009_Iranian_presidential_election,Q143304,https://www.wikidata.org/wiki/Q143304,,,,,
Davoud Ahmadinejad,https://en.wikipedia.org/wiki/Davoud_Ahmadinejad,Q5937602,https://www.wikidata.org/wiki/Q5937602,male,politician,Iran,,1950-03-13T00:00:00Z
Mahmoud Ahmadinejad and Israel,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_Israel,Q4116709,https://www.wikidata.org/wiki/Q4116709,,,,,
Parvin Ahmadinejad,https://en.wikipedia.org/wiki/Parvin_Ahmadinejad,Q10860429,https://www.wikidata.org/wiki/Q10860429,female,politician,Iran,Garmsar,1962-02-03T00:00:00Z
Controversies of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Controversies_of_Mahmoud_Ahmadinejad,Q621077,https://www.wikidata.org/wiki/Q621077,,,,,
Council for Spreading Mahmoud Ahmadinejad's Thoughts,https://en.wikipedia.org/wiki/Council_for_Spreading_Mahmoud_Ahmadinejad%27s_Thoughts,,,,,,,
Deviant current,https://en.wikipedia.org/wiki/Deviant_current,Q5964508,https://www.wikidata.org/wiki/Q5964508,,,,,
Electoral history of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Electoral_history_of_Mahmoud_Ahmadinejad,Q20987782,https://www.wikidata.org/wiki/Q20987782,,,,,
Azam al-Sadat Farahi,https://en.wikipedia.org/wiki/Azam_al-Sadat_Farahi,Q2915351,https://www.wikidata.org/wiki/Q2915351,female,teacher,Iran,Tehran,1958-01-01T00:00:00Z
Foreign policy of the Mahmoud Ahmadinejad administration,https://en.wikipedia.org/wiki/Foreign_policy_of_the_Mahmoud_Ahmadinejad_administration,Q5468435,https://www.wikidata.org/wiki/Q5468435,,,,,
Presidency of Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Presidency_of_Mahmoud_Ahmadinejad,Q19895191,https://www.wikidata.org/wiki/Q19895191,,,,,
The Green Scroll Campaign,https://en.wikipedia.org/wiki/The_Green_Scroll_Campaign,Q7738211,https://www.wikidata.org/wiki/Q7738211,,,,,
Mahmoud Ahmadinejad and the 1979 hostage crisis,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad_and_the_1979_hostage_crisis,Q6580411,https://www.wikidata.org/wiki/Q6580411,,,,,
Template:Mahmoud Ahmadinejad,https://en.wikipedia.org/wiki/Template%3AMahmoud_Ahmadinejad,,,,,,,
Ozra Hosseini,https://en.wikipedia.org/wiki/Ozra_Hosseini,Q25425200,https://www.wikidata.org/wiki/Q25425200,female,revolutionary,Iran,Hamadan,
1980 October Surprise theory,https://en.wikipedia.org/wiki/1980_October_Surprise_theory,Q16934346,https://www.wikidata.org/wiki/Q16934346,,,,,
Faezeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Faezeh_Hashemi_Rafsanjani,Q433500,https://www.wikidata.org/wiki/Q433500,female,activist,Iran,Tehran,1962-01-07T00:00:00Z
Fatemeh Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Fatemeh_Hashemi_Rafsanjani,Q29653433,https://www.wikidata.org/wiki/Q29653433,female,philanthropist; politician,,,1959-01-01T00:00:00Z
Mohsen Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mohsen_Hashemi_Rafsanjani,Q5943665,https://www.wikidata.org/wiki/Q5943665,male,politician,Iran,Kerman,1961-10-24T00:00:00Z
Mojtaba Khamenei,https://en.wikipedia.org/wiki/Mojtaba_Khamenei,Q2919350,https://www.wikidata.org/wiki/Q2919350,male,cleric,Iran,Mashhad,1969-09-08T00:00:00Z
Mostafa Khamenei,https://en.wikipedia.org/wiki/Mostafa_Khamenei,Q56364142,https://www.wikidata.org/wiki/Q56364142,male,,,,1960-01-01T00:00:00Z
Masoud Khamenei,https://en.wikipedia.org/wiki/Masoud_Khamenei,Q80121951,https://www.wikidata.org/wiki/Q80121951,male,religious figure; theologian,Iran,Mashhad,1972-03-15T00:00:00Z
Mehdi Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mehdi_Hashemi_Rafsanjani,Q6809317,https://www.wikidata.org/wiki/Q6809317,male,entrepreneur; politician,Iran,Tehran,1969-09-20T00:00:00Z
